trace_id,ticker,quarter,guidance_availability,actual,baseline_prediction,online_anchor_prediction,pre_ram_prediction,final_came_prediction,compressed_base_delta_log,compressed_base_support,intrinsic_delta_log,intrinsic_support,temporal_delta_log,temporal_support,guidance_delta_log,guidance_support,guidance_active,base_weight,intrinsic_weight,temporal_weight,guidance_weight,blend_support_sum,ram_active,ram_reason,ram_history_n,ram_prior_signed_log_error,normalized_card_ids_json,normalized_card_count,public_release_status,derived_artifact_status,source_material_access_status,source_material_redistribution_status,verbatim_text_status
AAPL:FY2019_Q1,AAPL,FY2019_Q1,explicit_numeric,84310000000.0,91000000000.0,91000000000.0,91000000000.0,91000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,not_no_guidance_current_kept,0,,"[""7c1fcf621915b3029cc2"",""c3b6139d14b969db740b"",""b44443c0e00455f28619"",""b1884848fbf27de9c27d"",""bc6c3820fc68159c4c81"",""6bb1e18870d7d3e7ce38""]",6,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2019_Q2,AAPL,FY2019_Q2,explicit_numeric,58015000000.0,57000000000.0,57000000000.0,57000000000.0,57000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,not_no_guidance_current_kept,0,,"[""4b16ad9d3c2d137cfad7"",""e04e9e989feebbcda18e""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2019_Q3,AAPL,FY2019_Q3,explicit_numeric,53809000000.0,53500000000.0,53500000000.0,53500000000.0,53500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,not_no_guidance_current_kept,0,,"[""871ed4f1b3337a231ef3"",""ff451d03ae52d7aa091d"",""257d2b95ad3914d76132"",""a940601b9eb7109d61dd"",""1a942724b1ce13b1f487"",""a0b41c518f122d5192e0""]",6,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2019_Q4,AAPL,FY2019_Q4,explicit_numeric,64040000000.0,32030500000.0,62500000000.0,62500000000.0,62500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,not_no_guidance_current_kept,0,,"[""878f39945af6f5cc2eb5"",""df216ab11b949742aa38"",""bc8c0f7d7e85fff3948e""]",3,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2020_Q1,AAPL,FY2020_Q1,explicit_numeric,91819000000.0,87500000000.0,84310000000.0,87499999999.99998,87499999999.99998,0.0,0.0,0.0178031780412693,0.0,0.0,0.0,0.0371383114289843,0.3302393647373786,1,0.0,0.0,0.0,1.0,0.3302393647373786,0,not_no_guidance_current_kept,0,,"[""e94fb24a5f7c2a5827e3"",""d9a4398e39b366cda9fa"",""77282e6d3edf60f02b7f"",""b5eeea128664efef81f8"",""4841d0940946758abe42""]",5,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2020_Q2,AAPL,FY2020_Q2,explicit_numeric,58313000000.0,65000000000.0,58015000000.0,65000000000.00001,65000000000.00001,0.0,0.0,0.0544980690610815,0.0,0.0,0.0,0.1136856720961284,0.3411811487005559,1,0.0,0.0,0.0,1.0,0.3411811487005559,0,not_no_guidance_current_kept,0,,"[""d203f4a9675d02a6d45e"",""37bf85b301011f837712"",""1b577ee72d6264ab9b6e""]",3,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2020_Q3,AAPL,FY2020_Q3,no_total_revenue_guidance_but_forward_commentary,59685000000.0,58313000000.0,53809000000.0,53927214792.60277,53927214792.60277,0.0,0.0,0.0032333785280781,0.0,0.0043842420719703,0.0172597175784965,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0128045529785471,0,not_no_guidance_current_kept,0,,"[""2a9bf2caae9d8bf7b9f3"",""d987247b409eaa63ebbe"",""43aad3c6ad3f8cd70207"",""d66011127f440fc4ea43"",""926afc8996800f432c11"",""297515be65b32ec639f2"",""7bf4b8eb878ba0b5f796"",""5c10c41b1df84f0e3708"",""8923eadd689ee2484236"",""27fc13a035b18c06b6d7"",""dba26b59897a47999025""]",11,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2020_Q4,AAPL,FY2020_Q4,none,64698000000.0,59685000000.0,64040000000.0,64483222150.97411,67257998174.1985,0.0,0.0,0.0,0.0,0.0068971801453741,0.0258607388303869,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0193955541227902,1,prior_signed_error_strength_active,35,0.1108398626241852,"[""9b3aed8f59061bc76fbe""]",1,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2021_Q1,AAPL,FY2021_Q1,none,111439000000.0,64698000000.0,91819000000.0,91829531178.42966,91928461116.64966,0.0,0.0,0.0,0.0,0.0001146884036983,0.0740966067017467,0.0,0.0,0,0.0,0.0,1.0,0.0,0.05557245502631,1,prior_signed_error_strength_active,38,0.120560685766804,"[""c3f7d2b7ce603cc90a5e"",""810b716b6343a7ad86f6"",""0783fafd0aaeaf0a8fdf"",""fa24e878c1824343c465""]",4,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2021_Q2,AAPL,FY2021_Q2,none,89584000000.0,111439000000.0,58313000000.0,59972236590.38662,67939116533.84829,0.0,0.0,0.0,0.0,0.0280566785773007,0.4951344811804672,0.0,0.0,0,0.0,0.0,1.0,0.0,0.3713508608853504,1,prior_signed_error_strength_active,43,0.1206553423479563,"[""7e44a087b77a7763ea48""]",1,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
AAPL:FY2021_Q3,AAPL,FY2021_Q3,none,81434000000.0,89584000000.0,59685000000.0,61899123176.37241,81586391796.18408,0.0221594915556127,0.1582820825400912,0.0,0.0,0.0452692303788135,0.4595723508768178,0.0,0.0,0,0.3826935720417985,0.0,0.6173064279582016,0.0,0.5583600745867365,1,prior_signed_error_strength_active,49,0.1218179120040395,"[""24981ef832cc9631d419"",""601284c8b3e4eb5e3f01""]",2,included_in_public_release,author_created_derived_forecast_trace,not_required_for_public_post_extraction_replay,not_redistributed_no_rights_grant,absent
