target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,89000000000.0,93000000000.0,91000000000.0,16,1,explicit_numeric,3,4,26,6,0.5757575757575758
FY2019_Q2,55000000000.0,59000000000.0,57000000000.0,16,1,explicit_numeric,1,8,55,5,0.5172413793103449
FY2019_Q3,52500000000.0,54500000000.0,53500000000.0,16,1,explicit_numeric,6,5,44,5,0.4285714285714285
FY2019_Q4,61000000000.0,64000000000.0,62500000000.0,16,1,explicit_numeric,3,8,29,6,0.6571428571428571
FY2020_Q1,85500000000.0,89500000000.0,87500000000.0,16,1,explicit_numeric,5,1,29,5,0.6811594202898551
FY2020_Q2,63000000000.0,67000000000.0,65000000000.0,16,1,explicit_numeric,12,14,45,5,0.8461538461538461
FY2020_Q3,,,,11,0,no_total_revenue_guidance_but_forward_commentary,25,26,24,6,0.3902439024390244
FY2020_Q4,,,,19,0,none,8,9,41,6,0.76
FY2021_Q1,,,,15,0,none,16,23,47,6,0.6338028169014085
FY2021_Q2,,,,18,0,none,11,17,32,6,0.6511627906976745
FY2021_Q3,,,,15,0,none,14,44,30,5,0.7108433734939759
FY2021_Q4,,,,22,0,none,3,33,51,6,0.7215189873417721
FY2022_Q1,,,,15,0,qualitative_only,36,63,43,6,0.6944444444444444
FY2022_Q2,,,,18,0,qualitative_only,5,52,35,5,0.8055555555555556
FY2022_Q3,,,,15,0,none,21,74,31,5,0.6666666666666666
FY2022_Q4,,,,9,0,none,11,39,36,5,0.2368421052631578
FY2023_Q1,,,,9,0,none,13,13,35,5,0.4347826086956521
FY2023_Q2,89029756429.86809,94866436429.86807,91948096429.86807,18,1,derived_weak_numeric,9,38,30,5,0.3538461538461538
FY2023_Q3,91990920000.0,97681080000.0,94836000000.0,18,1,derived_weak_numeric,7,15,38,5,0.5
FY2023_Q4,86178952272.56837,91587712272.56836,88883332272.56837,16,1,derived_weak_numeric,4,3,30,5,0.5813953488372093
FY2024_Q1,115982460000.0,118325540000.0,117154000000.0,17,1,derived_weak_numeric,10,18,53,5,0.7183098591549296
FY2024_Q2,93887640000.0,95784360000.0,94836000000.0,17,1,derived_weak_numeric,5,8,37,5,0.6825396825396826
FY2024_Q3,82614970000.0,84250910000.0,83432940000.0,22,1,derived_weak_numeric,5,11,40,6,0.5357142857142857
FY2024_Q4,,,,26,0,no_total_revenue_guidance_but_forward_commentary,4,1,50,5,0.5087719298245614
FY2025_Q1,124358000000.0,126749500000.0,125553750000.0,22,1,derived_weak_numeric,11,9,28,5,0.7073170731707317
FY2025_Q2,91660530000.0,95290650000.0,93475590000.0,22,1,derived_weak_numeric,4,10,62,5,0.5555555555555556
FY2025_Q3,86634770000.0,90065850000.0,88350310000.0,22,1,derived_weak_numeric,5,19,44,6,0.3023255813953488
FY2025_Q4,101575100000.0,103473700000.0,102524400000.0,22,1,derived_weak_numeric,5,11,25,6,0.8032786885245902
