quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,84310000000.0,91000000000.0,5.0,0.6165579409322738,0.1289882576206855,SHOCK_KG,DOWN,-0.8645955882352943,-0.8645955882352943,replay_inputs/retained_336/retrieve/AAPL/FY2019_Q1.json,0.0,0.0,0.0,0.0,1.8,4.22,1.4625,1.4625,12.343333333333335,91.0
FY2019_Q2,58015000000.0,57000000000.0,5.0,0.5352236490562785,0.1973627510126691,SHOCK_KG,DOWN,-2.0,-2.1320573597438024,replay_inputs/retained_336/retrieve/AAPL/FY2019_Q2.json,0.0,0.0,0.0,0.0,0.95,1.14,3.458,3.458,11.499999999999998,98.0
FY2019_Q3,53809000000.0,53500000000.0,5.0,0.482930364808861,0.2128826032819788,SHOCK_KG,UP,0.0,0.0,replay_inputs/retained_336/retrieve/AAPL/FY2019_Q3.json,0.0,0.0,0.0,0.0,4.66,0.95,0.0,0.0,15.293333333333331,22.0
FY2019_Q4,64040000000.0,32030500000.0,5.0,0.5209556527170518,0.1953622735790131,SHOCK_KG,UP,1.0735542009700978,1.0735542009700978,replay_inputs/retained_336/retrieve/AAPL/FY2019_Q4.json,0.0,0.0,0.0,0.0,2.6,0.0,2.223,2.223,11.393333333333334,33.0
FY2020_Q1,91819000000.0,87500000000.0,5.0,0.60942724272754,0.1384789640488352,SHOCK_KG,UP,1.3739597282948155,1.3739597282948155,replay_inputs/retained_336/retrieve/AAPL/FY2020_Q1.json,0.0,0.0,0.0,0.0,3.42,2.0,1.664,3.328,9.443333333333332,38.0
FY2020_Q2,58313000000.0,65000000000.0,5.0,0.4966645516437158,0.2289026460651998,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/AAPL/FY2020_Q2.json,0.0,0.0,0.0,0.0,0.6,1.71,0.0,0.0,10.618333333333332,45.0
FY2020_Q3,59685000000.0,58313000000.0,5.0,0.4426237748177934,0.2204238921001926,NORMAL_BASELINE,NONE,0.0,0.0449837943511739,replay_inputs/retained_336/retrieve/AAPL/FY2020_Q3.json,0.0,0.0,0.0,0.0,5.86,5.450000000000001,3.211,16.005599999999998,26.488333333333323,34.0
FY2020_Q4,64698000000.0,59685000000.0,5.0,0.4087297907199604,0.2248755757519552,SHOCK_KG,DOWN,-1.0357396330736368,-1.0357396330736368,replay_inputs/retained_336/retrieve/AAPL/FY2020_Q4.json,0.0,0.0,0.0,0.0,2.13,2.28,2.3400000000000003,2.3400000000000003,16.775,79.0
FY2021_Q1,111439000000.0,64698000000.0,5.0,0.5886359353547681,0.1414316352443937,SHOCK_KG,DOWN,-1.9778714550681624,-1.9778714550681624,replay_inputs/retained_336/retrieve/AAPL/FY2021_Q1.json,0.0,0.0,0.0,0.0,2.53,4.5600000000000005,3.1122,9.3366,17.308333333333326,93.0
FY2021_Q2,89584000000.0,111439000000.0,5.0,0.5351178781925344,0.1886609215931416,NORMAL_BASELINE,NONE,0.0,-1.3085376842936494,replay_inputs/retained_336/retrieve/AAPL/FY2021_Q2.json,0.0,0.0,0.0,0.0,2.85,0.57,2.223,2.223,7.518333333333334,99.0
FY2021_Q3,81434000000.0,89584000000.0,5.0,0.4859149740894466,0.2147260358081391,NORMAL_BASELINE,NONE,0.0,-0.7342855560144668,replay_inputs/retained_336/retrieve/AAPL/FY2021_Q3.json,0.0,0.0,0.0,0.0,4.7,1.9,3.89025,7.780499999999999,11.268333333333333,109.0
FY2021_Q4,83360000000.0,81434000000.0,5.0,0.4662667946257198,0.2192538387715931,NORMAL_BASELINE,NONE,0.0,-0.7493110985583417,replay_inputs/retained_336/retrieve/AAPL/FY2021_Q4.json,0.0,0.0,0.0,0.0,5.2,1.2,1.3,2.6,16.668333333333333,116.0
FY2022_Q1,123945000000.0,83360000000.0,5.0,0.5779014885634758,0.157456936544435,SHOCK_KG,DOWN,-2.0,-2.1018550335892514,replay_inputs/retained_336/retrieve/AAPL/FY2022_Q1.json,0.0,0.0,0.0,0.0,0.9,5.7,3.1122,9.3366,13.818333333333332,127.0
FY2022_Q2,97278000000.0,123945000000.0,5.0,0.5198503258701864,0.2037562449885894,NORMAL_BASELINE,NONE,0.0,-0.053974779135907,replay_inputs/retained_336/retrieve/AAPL/FY2022_Q2.json,0.0,0.0,0.0,0.0,2.6,1.5699999999999998,0.9229999999999998,0.9229999999999998,14.718333333333332,136.0
FY2022_Q3,82959000000.0,97278000000.0,5.0,0.4901818970816909,0.2363095022842609,NORMAL_BASELINE,NONE,0.0,-1.3042472707086905,replay_inputs/retained_336/retrieve/AAPL/FY2022_Q3.json,0.0,0.0,0.0,0.0,0.0,6.23,1.638,6.5520000000000005,19.81833333333333,151.0
FY2022_Q4,90146000000.0,82959000000.0,5.0,0.4728551460963326,0.2128547023717081,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/AAPL/FY2022_Q4.json,0.0,0.0,0.0,0.0,5.26,1.11,0.0,0.0,13.018333333333333,160.0
FY2023_Q1,117154000000.0,90146000000.0,5.0,0.5614404971234443,0.1772538709732488,NORMAL_BASELINE,NONE,0.0,-0.8364255319148937,replay_inputs/retained_336/retrieve/AAPL/FY2023_Q1.json,0.0,0.0,0.0,0.0,4.0,3.0,4.914000000000001,6.5520000000000005,13.725,167.0
FY2023_Q2,94836000000.0,91948096429.86807,5.0,0.5412923362436206,0.2204542578767556,NORMAL_BASELINE,NONE,0.0,-0.8491209536166071,replay_inputs/retained_336/retrieve/AAPL/FY2023_Q2.json,0.0,0.0,0.0,0.0,2.06,5.1,2.8157999999999994,8.447399999999998,20.068333333333328,183.0
FY2023_Q3,81797000000.0,94836000000.0,5.0,0.4849688863894764,0.2593371395038938,NORMAL_BASELINE,NONE,0.0,-0.4900698152600278,replay_inputs/retained_336/retrieve/AAPL/FY2023_Q3.json,0.0,0.0,0.0,0.0,3.1100000000000003,2.25,2.223,2.223,20.768333333333327,199.0
FY2023_Q4,89498000000.0,88883332272.56837,5.0,0.4894522782632014,0.2493240072403852,NORMAL_BASELINE,NONE,0.0,-0.9763410770566158,replay_inputs/retained_336/retrieve/AAPL/FY2023_Q4.json,0.0,0.0,0.0,0.0,2.98,4.43,4.21512,12.64536,30.359999999999992,221.0
FY2024_Q1,119575000000.0,117154000000.0,5.0,0.5829144888145515,0.1933263642065649,SHOCK_KG,UP,0.2704223837404187,0.5408447674808375,replay_inputs/retained_336/retrieve/AAPL/FY2024_Q1.json,0.0,0.0,0.0,0.0,1.05,2.39,1.105,1.105,8.268333333333334,226.0
FY2024_Q2,90753000000.0,94836000000.0,5.0,0.506462596277809,0.2629885513426553,NORMAL_BASELINE,NONE,0.0,-0.4071453230190257,replay_inputs/retained_336/retrieve/AAPL/FY2024_Q2.json,0.0,0.0,0.0,0.0,2.93,3.04,2.1060000000000003,2.1060000000000003,22.768333333333327,52.0
FY2024_Q3,85777000000.0,83432940000.0,5.0,0.4581181435582965,0.282278466255523,SHOCK_KG,UP,1.0091082079931242,1.0091082079931242,replay_inputs/retained_336/retrieve/AAPL/FY2024_Q3.json,0.0,0.0,0.0,0.0,5.37,2.19,3.1122,6.224399999999999,15.918333333333331,244.0
FY2024_Q4,94930000000.0,85777000000.0,5.0,0.4869061413673233,0.2630569893605815,SHOCK_KG,UP,1.7122820639565384,1.7122820639565384,replay_inputs/retained_336/retrieve/AAPL/FY2024_Q4.json,0.0,0.0,0.0,0.0,5.15,0.57,2.4661,4.9322,14.8,252.0
FY2025_Q1,124300000000.0,125553750000.0,5.0,0.5562188254223652,0.211906677393403,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/AAPL/FY2025_Q1.json,0.0,0.0,0.0,0.0,2.58,0.0,0.0,0.0,13.043333333333337,259.0
FY2025_Q2,95359000000.0,93475590000.0,5.0,0.4912069128241697,0.2794177791293952,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/AAPL/FY2025_Q2.json,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,8.268333333333334,262.0
FY2025_Q3,94036000000.0,88350310000.0,5.0,0.474095027436301,0.2916223573950402,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/AAPL/FY2025_Q3.json,0.0,0.0,0.0,0.0,0.54,1.0,0.0,0.0,11.668333333333331,268.0
FY2025_Q4,102466000000.0,102524400000.0,5.0,0.4784513887533426,0.2805808756075186,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/AAPL/FY2025_Q4.json,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,10.768333333333334,274.0
