fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,84310000000.0,1,66398750000.0,62900000000.0,88293000000.0,66398750000.0,54435666666.66666,91000000000.0,93095984890.71,91000000000.0,91346154245.40356,91447845751.7832,90335848310.86246,68334782468.253975,75159830528.0,81704797543.75804,94412867615.77477,62900000000.0,62900000000.0,74542280806.4595,95650578685.24297
FY2019_Q2,58015000000.0,1,65403000000.0,84310000000.0,61137000000.0,65403000000.0,92034333333.33331,57000000000.0,58635210742.4558,57000000000.0,59797603079.17184,63496002274.90276,64052289334.56944,57614507801.58727,58454798336.0,67844546032.03732,62302706960.73064,84310000000.0,84310000000.0,55283064857.27876,59023046895.04172
FY2019_Q3,53809000000.0,1,64622500000.0,58015000000.0,53265000000.0,64622500000.0,59598333333.333336,53500000000.0,55239056604.21903,53501166506.00303,57535164914.11987,57947934086.83374,58007254457.46051,57566000123.01587,56688910336.0,45835756104.92609,52383241846.24998,58015000000.0,58015000000.0,58801446791.9667,55347253564.77602
FY2019_Q4,64040000000.0,1,64758500000.0,53809000000.0,62900000000.0,64758500000.0,50778666666.66666,62500000000.0,34536513094.304825,32039690508.34335,44518374123.185936,-147550246479.89404,-170876905492.02512,40016515746.03175,45216559104.0,65333448627.39273,60711826793.05182,53809000000.0,53809000000.0,45795995891.82043,33093180188.397884
FY2020_Q1,91819000000.0,1,65043500000.0,64040000000.0,84310000000.0,65043500000.0,57283333333.333336,87500000000.0,87715875786.47327,85666966558.57852,85180421840.17325,84744511465.37167,83154278391.96881,78030972940.47624,83875725312.0,73919383973.77536,88970356993.9271,64040000000.0,64040000000.0,83971657847.13226,91001734828.72824
FY2020_Q2,58313000000.0,1,66920750000.0,91819000000.0,58015000000.0,66920750000.0,103087000000.0,65000000000.0,66859437257.800446,66688828054.35577,67810238000.3055,69601436933.40274,69852367936.27457,71928668797.61908,75908997120.0,71571321530.0312,66084784813.6223,91819000000.0,91819000000.0,87627757944.134,68117648605.08951
FY2020_Q3,59685000000.0,0,66995250000.0,58313000000.0,53809000000.0,66995250000.0,59814333333.333336,58313000000.0,58313000000.0,58313000000.0,51157914398.30099,50979903927.361336,51035859540.02009,52991135089.94711,72153284608.0,54609937866.98638,56625407657.26695,58313000000.0,58313000000.0,68333731817.18687,75321755.66850139
FY2020_Q4,64698000000.0,0,68464250000.0,59685000000.0,64040000000.0,68464250000.0,58233333333.333336,59685000000.0,59685000000.0,59685000000.0,53300039157.82528,52495708375.93798,52176364974.1663,58859892566.13755,66210627584.0,77253481153.37341,68071901694.68362,59685000000.0,59685000000.0,63692414192.110695,-6288418832.519989
FY2021_Q1,111439000000.0,0,68628750000.0,64698000000.0,91819000000.0,68628750000.0,55657666666.66666,64698000000.0,64698000000.0,64698000000.0,56829324203.84981,56041325855.98186,55777672421.854935,61967239126.9841,65569193984.0,74148965271.33005,91883897378.85164,64698000000.0,64698000000.0,64621644229.48525,61992472321.02198
FY2021_Q2,89584000000.0,0,73533750000.0,111439000000.0,58313000000.0,73533750000.0,129147666666.66669,111439000000.0,111439000000.0,111439000000.0,77791376974.67957,76103675580.17815,77051854685.57843,75913277179.89418,81783324672.0,69907992015.23257,70529615372.891,111439000000.0,111439000000.0,95345545835.25604,112419262093.57912
FY2021_Q3,81434000000.0,0,81351500000.0,89584000000.0,59685000000.0,81351500000.0,99550333333.33331,89584000000.0,89584000000.0,89584000000.0,77576166359.14656,77658772397.84052,78255059174.51881,83797613174.60316,76918431744.0,71701789702.6134,84027132649.36287,89584000000.0,89584000000.0,79142826943.99649,87374932412.00877
FY2021_Q4,83360000000.0,0,86788750000.0,81434000000.0,64698000000.0,86788750000.0,87012666666.66667,81434000000.0,81434000000.0,81434000000.0,76377641389.84389,75921709102.22726,75758807821.5227,84692645966.93121,81727258624.0,105745189819.98695,89886407773.15353,81434000000.0,81434000000.0,84368853235.19891,78904152103.2775
FY2022_Q1,123945000000.0,0,91454250000.0,83360000000.0,111439000000.0,91454250000.0,74000333333.33333,83360000000.0,83360000000.0,83360000000.0,77780925922.9058,77096456514.11469,76816543671.8699,85503053497.35449,83556507648.0,107822136119.27637,121609453907.6756,83360000000.0,83360000000.0,98712161766.14734,81108109507.76082
FY2022_Q2,97278000000.0,0,94580750000.0,123945000000.0,89584000000.0,94580750000.0,135398666666.66669,123945000000.0,123945000000.0,123945000000.0,95679378496.39198,94358509385.97649,95183075544.2718,95902754294.97356,103011303424.0,101732103755.8909,92646511144.67863,123945000000.0,123945000000.0,108382524986.01994,125130508034.85928
FY2022_Q3,82959000000.0,0,96504250000.0,97278000000.0,81434000000.0,96504250000.0,102559333333.33331,97278000000.0,97278000000.0,97278000000.0,89391469790.79993,89993932334.12819,90818842721.15128,89925213103.17459,79932719104.0,71026290712.75739,87489947410.54858,97278000000.0,97278000000.0,81297843510.59503,95238906704.84654
FY2022_Q4,90146000000.0,0,96885500000.0,82959000000.0,83360000000.0,96885500000.0,82825333333.33333,82959000000.0,82959000000.0,82959000000.0,83344327051.32962,83166175088.6673,82881274066.85408,91687618324.07413,85260173312.0,99915827286.09007,88203197701.5225,82959000000.0,82959000000.0,84334438991.979,80406434338.22461
FY2023_Q1,117154000000.0,0,98582000000.0,90146000000.0,123945000000.0,98582000000.0,78879666666.66667,90146000000.0,90146000000.0,90146000000.0,85899580675.43407,85172447152.78069,84716088940.88571,97121103960.31744,104579121152.0,111824034907.00264,130008345016.23276,90146000000.0,90146000000.0,116388040383.3264,87938750098.4189
FY2023_Q2,94836000000.0,1,96884250000.0,117154000000.0,97278000000.0,96884250000.0,123779333333.33331,91948096429.86807,91822585522.22958,92982280169.7906,90388762928.65714,102538768567.2323,100981706657.07,77144100206.3492,69357797376.0,105653152921.3888,93000640895.40604,117154000000.0,117154000000.0,80393028084.31909,147645773747.33994
FY2023_Q3,81797000000.0,1,96273750000.0,94836000000.0,82959000000.0,96273750000.0,98795000000.0,94836000000.0,94970456250.54614,94836000000.0,89265890149.88963,97417583054.38104,95895323149.879,83176972182.53966,83707592704.0,76359567304.00266,82701702424.2,94836000000.0,94836000000.0,92282484726.69711,92875965948.51636
FY2023_Q4,89498000000.0,1,95983250000.0,81797000000.0,90146000000.0,95983250000.0,79014000000.0,88883332272.56837,87782887063.86862,88562131629.79257,78554918960.22641,85876944853.98517,84291690156.80771,85209779896.82538,81513635840.0,92834381091.83234,87416839576.28404,81797000000.0,81797000000.0,88246517429.25232,78307725537.15063
FY2024_Q1,119575000000.0,1,95821250000.0,89498000000.0,117154000000.0,95821250000.0,80279333333.33333,117154000000.0,114042676816.21716,115917233615.63667,130627117917.929,104944573589.7166,99740546899.02255,97879334330.68784,104137482240.0,104732964268.49013,122627409315.20802,89498000000.0,89498000000.0,89567435180.48216,92331099084.9117
FY2024_Q2,90753000000.0,1,96426500000.0,119575000000.0,94836000000.0,96426500000.0,127821333333.33331,94836000000.0,94171763693.94237,95728203340.26282,114791228623.8801,102894651619.46286,101614439866.89153,91148468633.59789,90028089344.0,106399347990.93912,98544079360.84056,119575000000.0,119575000000.0,85584226971.76807,112602127436.22148
FY2024_Q3,85777000000.0,1,95405750000.0,90753000000.0,81797000000.0,95405750000.0,93738333333.33331,83432940000.0,83252333994.30432,83623686114.40239,90850578080.22624,86230225244.10352,86733903889.32098,86659264861.1111,86062702592.0,80878485855.27382,80421289498.18916,90753000000.0,90753000000.0,83903712686.97388,85634465007.913
FY2024_Q4,94930000000.0,0,96400750000.0,85777000000.0,89498000000.0,96400750000.0,84536666666.66667,85777000000.0,85777000000.0,85777000000.0,86689826585.68149,86423112141.84924,86110290707.01553,91155874730.15874,86249734144.0,101133601315.9862,90926515969.05998,85777000000.0,85777000000.0,87951399624.01959,64414096725.1404
FY2025_Q1,124300000000.0,1,97758750000.0,94930000000.0,119575000000.0,97758750000.0,86715000000.0,125553750000.0,122729188638.4705,124716682327.61398,123713248768.93028,113324548760.57396,107502044477.60712,97801188552.9101,93414268928.0,106021762615.42882,124381808429.9252,94930000000.0,94930000000.0,96886540042.89212,112655049617.75089
FY2025_Q2,95359000000.0,1,98940000000.0,124300000000.0,90753000000.0,98940000000.0,135482333333.33331,93475590000.0,92931371849.22714,94347735456.89725,102670267205.5415,102853122388.28532,102911647700.75406,88929331305.55553,89140043776.0,100457093072.50708,99928529721.5149,124300000000.0,124300000000.0,87293547788.66771,116234847874.43054
FY2025_Q3,94036000000.0,1,100091500000.0,95359000000.0,85777000000.0,100091500000.0,98553000000.0,88350310000.0,88267558446.48824,88563954305.48248,91040716306.10536,91628989814.10718,92393004475.064,85726908211.64023,91199062016.0,84932917148.7242,90423707821.68454,95359000000.0,95359000000.0,86425880762.10086,91948304303.40952
FY2025_Q4,102466000000.0,1,102156250000.0,94036000000.0,94930000000.0,102156250000.0,93738000000.0,102524400000.0,101943193148.40729,102242869662.69563,105522704276.1547,99654289421.34515,97128530326.08344,91905744416.66676,94291460096.0,109435913601.63264,97314385335.0618,94036000000.0,94036000000.0,89071768987.79083,94529138425.17992
