target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,,,,14,0,no_total_revenue_guidance_but_forward_commentary,7,7,35,0,0.5714285714285714
FY2019_Q2,,,,18,0,none,5,17,15,0,0.7142857142857143
FY2019_Q3,,,,18,0,none,5,15,23,0,0.8
FY2019_Q4,,,,16,0,none,8,15,32,0,-0.0769230769230769
FY2020_Q1,69000000000.0,73000000000.0,71000000000.0,22,1,explicit_numeric,6,7,27,0,0.8333333333333334
FY2020_Q2,75000000000.0,81000000000.0,78000000000.0,22,1,explicit_numeric,26,11,26,0,0.1111111111111111
FY2020_Q3,87000000000.0,93000000000.0,90000000000.0,22,1,explicit_numeric,24,18,40,0,0.7142857142857143
FY2020_Q4,112000000000.0,121000000000.0,116500000000.0,22,1,explicit_numeric,22,15,28,0,0.4117647058823529
FY2021_Q1,100000000000.0,106000000000.0,103000000000.0,22,1,explicit_numeric,17,13,28,0,0.7931034482758621
FY2021_Q2,110000000000.0,116000000000.0,113000000000.0,22,1,explicit_numeric,10,3,8,0,0.8
FY2021_Q3,106000000000.0,112000000000.0,109000000000.0,22,1,explicit_numeric,17,11,16,0,0.4375
FY2021_Q4,130000000000.0,140000000000.0,135000000000.0,22,1,explicit_numeric,17,42,49,0,0.6190476190476191
FY2022_Q1,112000000000.0,117000000000.0,114500000000.0,22,1,explicit_numeric,8,31,23,0,0.6
FY2022_Q2,116000000000.0,121000000000.0,118500000000.0,22,1,explicit_numeric,20,30,103,0,-0.1111111111111111
FY2022_Q3,125000000000.0,130000000000.0,127500000000.0,22,1,explicit_numeric,12,10,38,0,0.3777777777777777
FY2022_Q4,140000000000.0,148000000000.0,144000000000.0,22,1,explicit_numeric,13,13,42,0,0.3939393939393939
FY2023_Q1,121000000000.0,126000000000.0,123500000000.0,22,1,explicit_numeric,12,5,44,0,0.2222222222222222
FY2023_Q2,127000000000.0,133000000000.0,130000000000.0,22,1,explicit_numeric,11,7,35,0,0.5483870967741935
FY2023_Q3,138000000000.0,143000000000.0,140500000000.0,22,1,explicit_numeric,11,7,49,0,0.8095238095238095
FY2023_Q4,160000000000.0,167000000000.0,163500000000.0,22,1,explicit_numeric,8,16,40,0,0.7435897435897436
FY2024_Q1,138000000000.0,143500000000.0,140750000000.0,22,1,explicit_numeric,5,11,48,0,0.9272727272727272
FY2024_Q2,144000000000.0,149000000000.0,146500000000.0,20,1,explicit_numeric,11,8,51,0,0.4285714285714285
FY2024_Q3,154000000000.0,158500000000.0,156250000000.0,22,1,explicit_numeric,9,17,63,0,0.5675675675675675
FY2024_Q4,181500000000.0,188500000000.0,185000000000.0,22,1,explicit_numeric,17,20,50,0,0.8947368421052632
FY2025_Q1,151000000000.0,155500000000.0,153250000000.0,22,1,explicit_numeric,5,20,48,0,0.64
FY2025_Q2,159000000000.0,164000000000.0,161500000000.0,20,1,explicit_numeric,10,26,45,0,0.0909090909090909
FY2025_Q3,174000000000.0,179500000000.0,176750000000.0,20,1,explicit_numeric,15,26,38,0,0.6744186046511628
FY2025_Q4,206000000000.0,213000000000.0,209500000000.0,22,1,explicit_numeric,15,23,19,0,0.8461538461538461
