quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,59700000000.0,72383000000.0,6.0,0.4941038525963149,0.1866164154103852,SHOCK_KG,DOWN,-0.9233686858286017,-0.9233686858286017,replay_inputs/retained_336/retrieve/AMZN/FY2019_Q1.json,0.0,0.0,0.0,0.0,3.6,2.91,2.039375,4.078749999999999,13.85,48.0
FY2019_Q2,63404000000.0,59700000000.0,6.0,0.489764052741152,0.1886631758248691,SHOCK_KG,DOWN,-0.5114592504187604,-1.0229185008375208,replay_inputs/retained_336/retrieve/AMZN/FY2019_Q2.json,0.0,0.0,0.0,0.0,4.74,0.95,2.5935,2.07025,7.85,56.0
FY2019_Q3,69981000000.0,63404000000.0,6.0,0.5006930452551407,0.1887941012560552,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/AMZN/FY2019_Q3.json,0.0,0.0,0.0,0.0,2.98,0.54,0.0,0.0,8.450000000000001,65.0
FY2019_Q4,87437000000.0,69981000000.0,6.0,0.5221702482930567,0.1995379530404748,SHOCK_KG,UP,1.320828682070848,1.320828682070848,replay_inputs/retained_336/retrieve/AMZN/FY2019_Q4.json,0.0,0.0,0.0,0.0,5.500000000000001,4.238,1.7717142857142856,6.2010000000000005,18.669999999999995,85.0
FY2020_Q1,75452000000.0,87437000000.0,6.0,0.485765784869851,0.1918968350739543,SHOCK_KG,DOWN,-0.5673211069112618,-1.1346422138225236,replay_inputs/retained_336/retrieve/AMZN/FY2020_Q1.json,0.0,0.0,0.0,0.0,5.65,0.57,2.77875,5.557499999999999,15.6,101.0
FY2020_Q2,88912000000.0,75452000000.0,6.0,0.5161957890948353,0.2046405434587007,SHOCK_KG,DOWN,-2.0,-3.5805796002756725,replay_inputs/retained_336/retrieve/AMZN/FY2020_Q2.json,0.0,0.0,0.0,0.0,3.8,2.6,4.914000000000001,7.371,14.0,113.0
FY2020_Q3,96145000000.0,88912000000.0,6.0,0.5028862655364293,0.2125539549638566,NORMAL_BASELINE,NONE,0.0,-1.1015112358286847,replay_inputs/retained_336/retrieve/AMZN/FY2020_Q3.json,0.0,0.0,0.0,0.0,5.54,4.0,3.549,8.827000000000002,13.9,126.0
FY2020_Q4,125555000000.0,96145000000.0,6.0,0.529234200151328,0.2178407869061367,NORMAL_BASELINE,NONE,0.0,-0.3366556503198294,replay_inputs/retained_336/retrieve/AMZN/FY2020_Q4.json,0.0,0.0,0.0,0.0,4.010000000000001,1.49,3.9975,5.99625,9.3,134.0
FY2021_Q1,108518000000.0,125555000000.0,6.0,0.4874859470318288,0.2184798835216277,NORMAL_BASELINE,NONE,0.0,-2.1297065827724904,replay_inputs/retained_336/retrieve/AMZN/FY2021_Q1.json,0.0,0.0,0.0,0.0,4.91,1.0,3.120000000000001,5.265000000000001,13.800000000000002,148.0
FY2021_Q2,113080000000.0,108518000000.0,6.0,0.4700831269897417,0.2218340997523877,SHOCK_KG,UP,2.0,2.874607132457289,replay_inputs/retained_336/retrieve/AMZN/FY2021_Q2.json,0.0,0.0,0.0,0.0,5.16,0.0,3.931200000000001,5.896800000000001,15.05,161.0
