fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,59700000000.0,0,58221750000.0,72383000000.0,51042000000.0,58221750000.0,79496666666.66667,72383000000.0,72383000000.0,72383000000.0,70139660858.63109,69364217060.82927,68497493475.77741,59862753325.39684,56722567168.0,63327258910.06529,63239160982.32504,72383000000.0,72383000000.0,58247093236.979935,75558122581.76585
FY2019_Q2,63404000000.0,0,60386250000.0,59700000000.0,52886000000.0,60386250000.0,61971333333.333336,59700000000.0,59700000000.0,59700000000.0,69109544798.7512,68695693081.88273,68072407658.07004,59877422619.04761,62672121856.0,65483437591.20863,64656157966.07566,59700000000.0,59700000000.0,53895600488.03533,60453146724.3905
FY2019_Q3,69981000000.0,0,63015750000.0,63404000000.0,56576000000.0,63015750000.0,65680000000.0,63404000000.0,63404000000.0,63404000000.0,63857021694.93436,63403854018.90054,62790653001.94984,60987543492.06349,58577600512.0,59676360940.30312,67536663318.72553,63404000000.0,63404000000.0,57856815428.09233,64480099741.69295
FY2019_Q4,87437000000.0,0,66367000000.0,69981000000.0,72383000000.0,66367000000.0,69180333333.33333,69981000000.0,69981000000.0,69981000000.0,69819369575.10815,69283796921.78583,68555831178.04362,63434293943.12167,63114579968.0,73195886595.7388,82211473365.17351,69981000000.0,69981000000.0,61424119069.59442,71718364429.25273
FY2020_Q1,75452000000.0,0,70130500000.0,87437000000.0,59700000000.0,70130500000.0,96682666666.66669,87437000000.0,87437000000.0,87437000000.0,85274707955.37476,84365093345.62515,83209923080.00183,71822872214.28574,68605009920.0,77997663998.99464,74944687096.00726,87437000000.0,87437000000.0,80552966013.21486,91565715702.12283
FY2020_Q2,88912000000.0,0,74068500000.0,75452000000.0,63404000000.0,74068500000.0,79468000000.0,75452000000.0,75452000000.0,75452000000.0,85300494286.93513,84891563747.22852,84108660842.23697,74635739563.49207,71307608064.0,81153785905.72702,78549231280.44243,75452000000.0,75452000000.0,78399361668.76347,77142544360.62917
FY2020_Q3,96145000000.0,0,80445500000.0,88912000000.0,69981000000.0,80445500000.0,95222333333.33331,88912000000.0,88912000000.0,88912000000.0,86950121042.85387,86293686209.16162,85307920181.15587,79850133714.2857,75868839936.0,80824539324.6367,86904634487.13847,88912000000.0,88912000000.0,81519777934.74286,92166392778.38203
FY2020_Q4,125555000000.0,0,86986500000.0,96145000000.0,87437000000.0,86986500000.0,99047666666.66669,96145000000.0,96145000000.0,96145000000.0,98952993503.2488,98206808690.5142,97012837894.81767,85953256654.76189,94945525760.0,94720269208.21596,107046786852.42365,96145000000.0,96145000000.0,92838812565.48592,100147700174.11533
FY2021_Q1,108518000000.0,0,96516000000.0,125555000000.0,75452000000.0,96516000000.0,142256000000.0,125555000000.0,125555000000.0,125555000000.0,124064109108.18608,122655205535.6503,120681739116.37256,99306091654.76184,125267984384.0,118159393962.61732,109565821459.70483,125555000000.0,125555000000.0,106665106000.053,134652879971.51926
FY2021_Q2,113080000000.0,0,104782500000.0,108518000000.0,88912000000.0,104782500000.0,115053333333.33331,108518000000.0,108518000000.0,108518000000.0,127910131362.46677,126886784194.56798,125108704145.50578,106114405735.4497,122283892736.0,117482932613.06609,119065371178.84528,108518000000.0,108518000000.0,107215566359.28476,112634284343.58936
FY2021_Q3,110812000000.0,0,110824500000.0,113080000000.0,96145000000.0,110824500000.0,118725000000.0,113080000000.0,113080000000.0,113080000000.0,117682766554.01476,116900296347.64302,115454789876.60712,110479732973.54498,112871817216.0,105480218037.9758,122850382409.42683,113080000000.0,113080000000.0,110798999425.33336,117420323960.99066
FY2021_Q4,137412000000.0,0,114491250000.0,110812000000.0,125555000000.0,114491250000.0,105897666666.66669,110812000000.0,110812000000.0,110812000000.0,117573495915.9925,116959125719.18884,115635753205.91792,111289234142.85716,113067163648.0,117346832391.74075,134634005063.69724,110812000000.0,110812000000.0,110803331662.7025,114374891928.64984
FY2022_Q1,116444000000.0,0,117455500000.0,137412000000.0,108518000000.0,117455500000.0,147043333333.33334,137412000000.0,137412000000.0,137412000000.0,133399334274.41988,132286350957.27144,130399935620.54004,117626994313.49196,108941541376.0,127726127557.21956,122139486340.54391,137412000000.0,137412000000.0,117455499017.6566,144484934210.1613
FY2022_Q2,121234000000.0,0,119437000000.0,116444000000.0,113080000000.0,119437000000.0,117565333333.33331,116444000000.0,116444000000.0,116444000000.0,135309211002.65364,134103441625.03378,132050792018.61366,118279648228.83595,109209280512.0,128383155179.34842,125235925993.16924,116444000000.0,116444000000.0,125236152784.88582,119467314880.86205
FY2022_Q3,127101000000.0,0,121475500000.0,121234000000.0,110812000000.0,121475500000.0,124708000000.0,121234000000.0,121234000000.0,121234000000.0,123912046306.60953,123167295563.5826,121653699665.12764,118368058589.94711,125316497408.0,111922403841.99307,125934586436.51324,121234000000.0,121234000000.0,122382377428.49988,124532896174.84966
FY2022_Q4,149204000000.0,0,125547750000.0,127101000000.0,137412000000.0,125547750000.0,123664000000.0,127101000000.0,127101000000.0,127101000000.0,129621645752.01596,128834767164.17824,127208949120.95927,120517575682.53972,121215295488.0,132108557279.37833,149461586724.51117,127101000000.0,127101000000.0,124169353055.56348,130780002382.5286
FY2023_Q1,127358000000.0,0,128495750000.0,149204000000.0,116444000000.0,128495750000.0,160124000000.0,149204000000.0,149204000000.0,149204000000.0,146248439083.07623,145148679825.66656,143062277513.23273,128340287174.60324,120824086528.0,142407593015.50256,131406551858.90204,149204000000.0,149204000000.0,129953885256.62424,155309648245.30795
FY2023_Q2,134383000000.0,0,131224250000.0,127358000000.0,121234000000.0,131224250000.0,129399333333.33331,127358000000.0,127358000000.0,127358000000.0,144937606327.28702,143886174175.25824,141811885994.05753,128609583968.25398,137932914688.0,139430985464.20325,135442175233.91109,127358000000.0,127358000000.0,128223331768.34976,130131312519.75185
FY2023_Q3,143083000000.0,0,134511500000.0,134383000000.0,127101000000.0,134511500000.0,136810333333.33331,134383000000.0,134383000000.0,134383000000.0,135546406161.36674,134775772332.4582,133081217929.34164,131009745507.93652,133883420672.0,124949400501.05743,139078428854.13104,134383000000.0,134383000000.0,131079540332.46223,137620010149.87045
FY2023_Q4,169961000000.0,0,138507000000.0,143083000000.0,149204000000.0,138507000000.0,141042666666.66666,143083000000.0,143083000000.0,143083000000.0,144115311891.51846,143266324299.6551,141383734239.05402,133579295453.70378,127504392192.0,147253436521.13342,163633864560.00183,143083000000.0,143083000000.0,124849709098.03816,146946054429.44388
FY2024_Q1,143313000000.0,0,143696250000.0,169961000000.0,127358000000.0,143696250000.0,184162000000.0,169961000000.0,169961000000.0,169961000000.0,165253452805.98492,163932837294.03064,161378456492.82715,145006572691.79892,129688633344.0,163204678395.8396,148028183673.68182,169961000000.0,169961000000.0,168009909891.82623,176603063750.60263
FY2024_Q2,147977000000.0,1,147685000000.0,143313000000.0,134383000000.0,147685000000.0,146289666666.66666,146500000000.0,141452532461.69342,146178285673.15253,129032518177.2008,162322457116.17392,163866454948.71912,145781703432.53964,159340331008.0,156917074877.2092,152944177310.83307,143313000000.0,143313000000.0,156345863524.18146,138982732398.4632
FY2024_Q3,158877000000.0,0,151083500000.0,147977000000.0,143083000000.0,151083500000.0,149608333333.33334,147977000000.0,147977000000.0,147977000000.0,151442137166.06342,150454090797.61783,148208417586.1344,145870507281.746,147977125888.0,138608672629.42392,156301850845.03952,147977000000.0,147977000000.0,143817482394.87775,150480948576.28394
FY2024_Q4,187792000000.0,0,155032000000.0,158877000000.0,169961000000.0,155032000000.0,155182333333.33334,158877000000.0,158877000000.0,158877000000.0,159724944792.58347,158783832493.42413,156420409156.24136,147779366837.3016,141542359040.0,162411121983.53458,181060357738.14944,158877000000.0,158877000000.0,157555932486.3726,162758792116.41785
FY2025_Q1,155667000000.0,1,159489750000.0,187792000000.0,143313000000.0,159489750000.0,202618333333.3333,153250000000.0,153932696131.6916,156423531464.39783,160413397594.07715,162972538052.02734,165153859028.45386,158888723813.49194,141104660480.0,180864228125.93524,161436981545.3476,187792000000.0,187792000000.0,160686174057.82443,190975795988.1348
