target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,2058000000.0,2142000000.0,2100000000.0,23,1,explicit_numeric,34,20,98,0,0.4509803921568627
FY2019_Q2,2500000000.0,2600000000.0,2550000000.0,28,1,explicit_numeric,42,22,52,0,0.2941176470588235
FY2019_Q3,2940000000.0,3060000000.0,3000000000.0,23,1,explicit_numeric,48,40,54,0,0.3142857142857143
FY2019_Q4,3822000000.0,3978000000.0,3900000000.0,23,1,explicit_numeric,33,26,51,0,0.6363636363636364
FY2020_Q1,3100000000.0,3300000000.0,3200000000.0,28,1,explicit_numeric,46,50,99,0,0.6428571428571429
FY2020_Q2,,,,22,0,none,39,40,33,0,0.4736842105263157
FY2020_Q3,3600000000.0,3800000000.0,3700000000.0,23,1,explicit_numeric,43,21,68,0,0.64
FY2020_Q4,3600000000.0,3800000000.0,3700000000.0,23,1,explicit_numeric,42,22,58,0,0.4871794871794871
FY2021_Q1,3900000000.0,4100000000.0,4000000000.0,23,1,explicit_numeric,41,36,53,0,0.7777777777777778
FY2021_Q2,4000000000.0,4100000000.0,4050000000.0,30,1,explicit_numeric,43,80,49,0,0.5757575757575758
FY2021_Q3,5200000000.0,5400000000.0,5300000000.0,28,1,explicit_numeric,46,116,67,0,0.6363636363636364
FY2021_Q4,4900000000.0,5200000000.0,5050000000.0,28,1,explicit_numeric,50,84,41,0,0.65
FY2022_Q1,3300000000.0,3500000000.0,3400000000.0,28,1,explicit_numeric,45,81,39,0,0.5833333333333334
FY2022_Q2,5100000000.0,5300000000.0,5200000000.0,28,1,explicit_numeric,68,99,59,0,0.1111111111111111
FY2022_Q3,5100000000.0,5400000000.0,5250000000.0,28,1,explicit_numeric,36,63,67,0,0.0666666666666666
FY2022_Q4,6100000000.0,6600000000.0,6350000000.0,28,1,explicit_numeric,38,49,48,0,0.2727272727272727
FY2023_Q1,6100000000.0,6500000000.0,6300000000.0,28,1,explicit_numeric,54,43,80,0,0.5238095238095238
FY2023_Q2,6500000000.0,7000000000.0,6750000000.0,28,1,explicit_numeric,67,40,23,0,0.2682926829268293
FY2023_Q3,6500000000.0,7000000000.0,6750000000.0,28,1,explicit_numeric,61,47,36,0,-0.05
FY2023_Q4,6700000000.0,7100000000.0,6900000000.0,28,1,explicit_numeric,47,32,34,0,0.3333333333333333
FY2024_Q1,5000000000.0,5500000000.0,5250000000.0,28,1,explicit_numeric,63,21,51,0,0.64
FY2024_Q2,5700000000.0,6200000000.0,5950000000.0,28,1,explicit_numeric,45,37,13,0,0.782608695652174
FY2024_Q3,6700000000.0,7300000000.0,7000000000.0,28,1,explicit_numeric,38,46,28,0,0.5757575757575758
FY2024_Q4,8800000000.0,9200000000.0,9000000000.0,28,1,explicit_numeric,36,20,50,0,0.3939393939393939
FY2025_Q1,7500000000.0,8000000000.0,7750000000.0,28,1,explicit_numeric,36,33,29,0,0.7419354838709677
FY2025_Q2,7200000000.0,7700000000.0,7450000000.0,28,1,explicit_numeric,33,5,54,0,0.2258064516129032
FY2025_Q3,7400000000.0,7900000000.0,7650000000.0,28,1,explicit_numeric,35,19,37,0,0.2340425531914893
FY2025_Q4,9200000000.0,9800000000.0,9500000000.0,16,1,explicit_numeric,2,0,9,0,0.0769230769230769
