quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,2230000000.0,2100000000.0,2.0,0.757847533632287,0.242152466367713,NORMAL_BASELINE,NONE,0.0,-5.899014017202931,replay_inputs/retained_336/retrieve/ASML/FY2019_Q1.json,0.0,0.0,0.0,0.0,1.6,3.6,4.212000000000001,10.53,13.0,15.0
FY2019_Q2,2570000000.0,2550000000.0,2.0,0.7206856252434749,0.2793143747565251,NORMAL_BASELINE,NONE,0.0,1.2640022421524664,replay_inputs/retained_336/retrieve/ASML/FY2019_Q2.json,0.0,0.0,0.0,0.0,1.77,1.0,1.7143749999999998,3.55875,10.75,13.0
FY2019_Q3,3000000000.0,3000000000.0,2.0,0.7767646065518405,0.2232353934481594,NORMAL_BASELINE,NONE,0.0,1.2796618620958315,replay_inputs/retained_336/retrieve/ASML/FY2019_Q3.json,0.0,0.0,0.0,0.0,2.01,0.7200000000000001,1.7238,3.0654000000000003,8.4,11.0
FY2019_Q4,4000000000.0,3900000000.0,2.0,0.7738392411382926,0.2261607588617074,SHOCK_KG,DOWN,-1.411340763255657,-1.411340763255657,replay_inputs/retained_336/retrieve/ASML/FY2019_Q4.json,0.0,0.0,0.0,0.0,2.0,1.6,2.028,4.16,10.0,12.0
FY2020_Q1,2400000000.0,3200000000.0,2.0,0.6512006512006512,0.3487993487993488,SHOCK_KG,UP,2.0,2.947217473789316,replay_inputs/retained_336/retrieve/ASML/FY2020_Q1.json,0.0,0.0,0.0,0.0,2.44,0.0,2.7131,6.0112,7.550000000000001,10.0
FY2020_Q2,3300000000.0,2400000000.0,2.0,0.7301490721022209,0.2698509278977791,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/ASML/FY2020_Q2.json,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,10.499999999999998,13.0
FY2020_Q3,4000000000.0,3700000000.0,2.0,0.7824331145885917,0.2175668854114083,SHOCK_KG,UP,2.0,4.218202388195923,replay_inputs/retained_336/retrieve/ASML/FY2020_Q3.json,0.0,0.0,0.0,0.0,2.42,0.0,3.0115799999999995,7.528949999999999,8.5,11.0
FY2020_Q4,4300000000.0,3700000000.0,2.0,0.7441860465116279,0.2558139534883721,NORMAL_BASELINE,NONE,0.0,2.837163048965169,replay_inputs/retained_336/retrieve/ASML/FY2020_Q4.json,0.0,0.0,0.0,0.0,2.6,0.0,2.145,4.94,9.95,20.0
FY2021_Q1,4400000000.0,4000000000.0,2.0,0.7209302325581395,0.2790697674418604,NORMAL_BASELINE,NONE,0.0,2.464195348837209,replay_inputs/retained_336/retrieve/ASML/FY2021_Q1.json,0.0,0.0,0.0,0.0,5.8,1.38,1.6466666666666665,3.6764,18.85,37.0
FY2021_Q2,4000000000.0,4050000000.0,2.0,0.725,0.275,NORMAL_BASELINE,NONE,0.0,1.1310000000000002,replay_inputs/retained_336/retrieve/ASML/FY2021_Q2.json,0.0,0.0,0.0,0.0,4.8100000000000005,1.6199999999999997,1.4798333333333331,4.472,17.650000000000002,53.0
FY2021_Q3,5200000000.0,5300000000.0,2.0,0.7884615384615384,0.2115384615384615,NORMAL_BASELINE,NONE,0.0,2.261999999999999,replay_inputs/retained_336/retrieve/ASML/FY2021_Q3.json,0.0,0.0,0.0,0.0,5.6,0.6,1.82,3.1199999999999988,12.0,61.0
FY2021_Q4,5000000000.0,5050000000.0,2.0,0.7,0.3,SHOCK_KG,DOWN,0.9999999999999998,0.9999999999999998,replay_inputs/retained_336/retrieve/ASML/FY2021_Q4.json,0.0,0.0,0.0,0.0,3.2,1.2,1.456,2.6,8.0,69.0
FY2022_Q1,3500000000.0,3400000000.0,2.0,0.6571428571428571,0.3428571428571428,SHOCK_KG,DOWN,0.2807999999999999,0.2807999999999999,replay_inputs/retained_336/retrieve/ASML/FY2022_Q1.json,0.0,0.0,0.0,0.0,3.2,1.6,1.1752,1.4560000000000002,12.0,79.0
