fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,2230000000.0,1,2737500000.0,3140000000.0,2290000000.0,2737500000.0,3423333333.333333,2100000000.0,2776752797.6817703,2494041355.917591,3190955591.3419228,2897299001.51526,2899752294.2949743,2497324763.710316,2358463744.0,3140000000.0,3032486366.420271,3140000000.0,3140000000.0,1593461511.087418,2531984228.163799
FY2019_Q2,2570000000.0,1,2722500000.0,2230000000.0,2740000000.0,2722500000.0,2060000000.0,2550000000.0,2966088342.372288,2430201603.8867507,2749070301.283197,2749475122.410848,2753355759.513546,2719378760.714286,2730793472.0,2230000000.0,2452204448.9958577,2230000000.0,2230000000.0,2263882261.523045,2087739450.0132587
FY2019_Q3,3000000000.0,1,2680000000.0,2570000000.0,2780000000.0,2680000000.0,2500000000.0,3000000000.0,3165371403.4683247,2839336719.61581,3627034261.115282,3255670828.957397,3270490449.0288987,3081421322.619047,3132114688.0,2570000000.0,2537331061.0983543,2570000000.0,2570000000.0,3253246789.2700896,2405543312.293484
FY2019_Q4,4000000000.0,1,2735000000.0,3000000000.0,3140000000.0,2735000000.0,2953333333.333333,3900000000.0,3601604115.351103,3564745724.2636614,4777423300.317255,4165568212.45799,4190042971.267277,3136729957.6322746,3139131648.0,3000000000.0,2869842243.1679664,3000000000.0,3000000000.0,3040326685.36504,2937419275.2341614
FY2020_Q1,2400000000.0,1,2950000000.0,4000000000.0,2230000000.0,2950000000.0,4590000000.0,3200000000.0,3309155427.653912,3492941471.108042,15153142293.95087,3129002432.7281456,3115174800.12537,3595303998.567462,2781239040.0,4000000000.0,3698475001.226692,4000000000.0,4000000000.0,1256122668.5424623,3382302368.6681547
FY2020_Q2,3300000000.0,0,2992500000.0,2400000000.0,2570000000.0,2992500000.0,2343333333.333333,2400000000.0,2400000000.0,2400000000.0,3775845265.297255,3785370946.486656,3785370946.489435,2465641374.6349206,1414798336.0,2400000000.0,2785590230.9854507,2400000000.0,2400000000.0,1321587092.0947905,1123134745.105025
FY2020_Q3,4000000000.0,1,3175000000.0,3300000000.0,3000000000.0,3175000000.0,3400000000.0,3700000000.0,3469215842.9114094,3559121106.287702,3360631467.171104,3257681660.3334274,3260042197.4283195,3425928734.13889,2526303744.0,3300000000.0,3138376625.941552,3300000000.0,3300000000.0,3061121422.410622,3640905881.124305
FY2020_Q4,4300000000.0,1,3425000000.0,4000000000.0,4000000000.0,3425000000.0,4000000000.0,3700000000.0,3548069494.1033325,3804815449.061786,4074833556.110573,3803245960.534507,3799045317.186697,3730509775.2989407,3677726464.0,4000000000.0,3729325345.62317,4000000000.0,4000000000.0,2016509757.2258573,3615207981.882497
FY2021_Q1,4400000000.0,1,3500000000.0,4300000000.0,2400000000.0,3500000000.0,4933333333.333333,4000000000.0,3824496921.116252,4105525165.920696,4879427190.874599,4483168288.598766,4457974486.754136,4141070440.1111126,4478160384.0,4300000000.0,4131119060.63972,4300000000.0,4300000000.0,5130466879.265875,3981954274.23302
FY2021_Q2,4000000000.0,1,4000000000.0,4400000000.0,3300000000.0,4000000000.0,4766666666.666667,4050000000.0,3943006338.385782,4173604383.158969,5871062289.717409,5636415990.663132,5529213380.210947,4518598685.797619,4357344256.0,4400000000.0,4321451488.255347,4400000000.0,4400000000.0,4800496461.640857,4047357403.363562
FY2021_Q3,5200000000.0,1,4175000000.0,4000000000.0,4000000000.0,4175000000.0,4000000000.0,5300000000.0,4756499784.385383,4842151667.296322,5166963273.610183,5250036258.458334,5199289325.421928,4163128627.2619033,4440800256.0,4000000000.0,4096081456.963388,4000000000.0,4000000000.0,4323814550.066895,3948982467.221946
