target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,,,,31,0,none,6,2,27,3,-0.288135593220339
FY2019_Q2,,,,16,0,none,8,3,34,2,-0.1111111111111111
FY2019_Q3,,,,16,0,none,17,19,6,2,-0.3170731707317073
FY2019_Q4,,,,15,0,none,13,7,12,3,-0.3617021276595745
FY2020_Q1,,,,16,0,none,2,4,26,2,-0.1739130434782608
FY2020_Q2,5586000000.0,5814000000.0,5700000000.0,23,1,explicit_numeric,22,13,13,2,-0.0847457627118644
FY2020_Q3,5635000000.0,5865000000.0,5750000000.0,23,1,explicit_numeric,40,58,7,2,0.0952380952380952
FY2020_Q4,6272000000.0,6528000000.0,6400000000.0,23,1,explicit_numeric,17,21,25,2,0.1363636363636363
FY2021_Q1,,,,18,0,none,15,22,30,2,-0.3448275862068966
FY2021_Q2,6370000000.0,6630000000.0,6500000000.0,18,1,explicit_numeric,62,46,22,2,-0.1428571428571428
FY2021_Q3,6615000000.0,6885000000.0,6750000000.0,28,1,explicit_numeric,29,32,56,3,0.0588235294117647
FY2021_Q4,7203000000.0,7497000000.0,7350000000.0,19,1,explicit_numeric,25,24,13,2,0.1578947368421052
FY2022_Q1,7448000000.0,7752000000.0,7600000000.0,19,1,explicit_numeric,33,17,18,2,0.2352941176470588
FY2022_Q2,7742000000.0,8058000000.0,7900000000.0,19,1,explicit_numeric,19,25,41,2,0.1428571428571428
FY2022_Q3,8232000000.0,8568000000.0,8400000000.0,19,1,explicit_numeric,11,10,23,2,-0.2957746478873239
FY2022_Q4,8722000000.0,9078000000.0,8900000000.0,19,1,explicit_numeric,24,11,54,3,0.1351351351351351
FY2023_Q1,8722000000.0,9078000000.0,8900000000.0,19,1,explicit_numeric,26,11,33,2,-0.0256410256410256
FY2023_Q2,8526000000.0,8874000000.0,8700000000.0,19,1,explicit_numeric,8,11,15,2,-0.1666666666666666
FY2023_Q3,8673000000.0,9027000000.0,8850000000.0,19,1,explicit_numeric,19,18,22,2,-0.2272727272727272
FY2023_Q4,9084600000.0,9455400000.0,9270000000.0,19,1,explicit_numeric,17,38,44,2,-0.3513513513513513
FY2024_Q1,,,,23,0,none,2,11,25,2,-0.2444444444444444
FY2024_Q2,,,,22,0,none,19,11,36,2,-0.2962962962962963
FY2024_Q3,,,,25,0,none,4,5,30,2,-0.3
FY2024_Q4,13720000000.0,14280000000.0,14000000000.0,22,1,explicit_numeric,15,12,37,2,-0.3023255813953488
FY2025_Q1,14308000000.0,14892000000.0,14600000000.0,19,1,explicit_numeric,4,2,47,2,-0.4
FY2025_Q2,14602000000.0,15198000000.0,14900000000.0,22,1,explicit_numeric,3,10,19,2,-0.2258064516129032
FY2025_Q3,15484000000.0,16116000000.0,15800000000.0,22,1,explicit_numeric,11,7,25,2,-0.0588235294117647
FY2025_Q4,17052000000.0,17748000000.0,17400000000.0,19,1,explicit_numeric,15,6,27,2,0.2083333333333333
