quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,5789000000.0,5327000000.0,2.0,0.7571403842824995,0.2428596157175004,,,0.0,0.0,replay_inputs/retained_336/retrieve/AVGO/FY2019_Q1.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FY2019_Q2,5517000000.0,5789000000.0,2.0,0.7431376113433921,0.2568623886566079,NORMAL_BASELINE,NONE,0.0,1.377995499394149,replay_inputs/retained_336/retrieve/AVGO/FY2019_Q2.json,0.0,0.0,0.0,0.0,5.6,1.6,2.1493333333333333,7.8,12.0,18.0
FY2019_Q3,5515000000.0,5517000000.0,2.0,0.7924631348989624,0.2075368651010377,NORMAL_BASELINE,NONE,0.0,-4.625585748045809,replay_inputs/retained_336/retrieve/AVGO/FY2019_Q3.json,0.0,0.0,0.0,0.0,2.6,3.9,6.224399999999999,6.224399999999999,6.9,25.0
FY2019_Q4,5776000000.0,5515000000.0,2.0,0.7914131757343994,0.2085868242656005,NORMAL_BASELINE,NONE,0.0,-0.4613544511196067,replay_inputs/retained_336/retrieve/AVGO/FY2019_Q4.json,0.0,0.0,0.0,0.0,3.42,1.6799999999999995,2.223,2.223,14.05,40.0
FY2020_Q1,5858000000.0,5776000000.0,2.0,0.7154318880163878,0.2845681119836121,NORMAL_BASELINE,NONE,0.0,1.8004649747957586,replay_inputs/retained_336/retrieve/AVGO/FY2020_Q1.json,0.0,0.0,0.0,0.0,3.77,1.5499999999999998,1.91555,2.60845,10.8,51.0
FY2020_Q2,5742000000.0,5700000000.0,2.0,0.7013235806339254,0.2986764193660745,NORMAL_BASELINE,NONE,0.0,0.8370553089791738,replay_inputs/retained_336/retrieve/AVGO/FY2020_Q2.json,0.0,0.0,0.0,0.0,1.59,1.11,1.974375,3.94875,8.35,60.0
FY2020_Q3,5821000000.0,5750000000.0,2.0,0.7247895550592681,0.2752104449407318,SHOCK_KG,DOWN,-2.0,-4.671242319749216,replay_inputs/retained_336/retrieve/AVGO/FY2020_Q3.json,0.0,0.0,0.0,0.0,3.1099999999999994,5.859999999999999,2.1775,13.353599999999998,18.7,80.0
FY2020_Q4,6467000000.0,6400000000.0,2.0,0.746868718107314,0.2531312818926859,NORMAL_BASELINE,NONE,0.0,-1.1777003951211136,replay_inputs/retained_336/retrieve/AVGO/FY2020_Q4.json,0.0,0.0,0.0,0.0,3.56,3.55,1.3942500000000004,3.562000000000001,23.8,105.0
FY2021_Q1,6655000000.0,6467000000.0,2.0,0.7374906085649887,0.2625093914350113,NORMAL_BASELINE,NONE,0.0,0.7573248801608166,replay_inputs/retained_336/retrieve/AVGO/FY2021_Q1.json,0.0,0.0,0.0,0.0,2.7,0.7000000000000001,1.0140000000000002,1.0140000000000002,8.0,114.0
FY2021_Q2,6610000000.0,6500000000.0,2.0,0.7291981845688351,0.2708018154311649,SHOCK_KG,UP,2.0,3.470630803906837,replay_inputs/retained_336/retrieve/AVGO/FY2021_Q2.json,0.0,0.0,0.0,0.0,3.91,1.77,2.3096666666666668,4.706,25.7,140.0
