fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,5789000000.0,0,4938500000.0,5327000000.0,5444000000.0,4938500000.0,5288000000.0,5327000000.0,5327000000.0,5327000000.0,18130957815.347755,16994327323.11013,17696781090.41012,5832152468.253967,5772454912.0,5327000000.0,5747111075.197607,5327000000.0,5327000000.0,5345122228.828388,5327000000.0
FY2019_Q2,5517000000.0,0,5024750000.0,5789000000.0,4844000000.0,5024750000.0,6104000000.0,5789000000.0,5789000000.0,5789000000.0,5617809737.179321,5819943326.285513,5740193466.859771,5803326194.444444,5224576512.0,5789000000.0,5751299969.220428,5789000000.0,5789000000.0,4542998062.127078,-1447727426.3184566
FY2019_Q3,5515000000.0,0,5193000000.0,5517000000.0,4139000000.0,5193000000.0,5976333333.333333,5517000000.0,5517000000.0,5517000000.0,5475179243.616808,5644129476.731974,5595050322.420733,5899155748.677248,5328533504.0,5629196724.801844,5729999964.819729,5517000000.0,5517000000.0,5369199008.932229,926031994.7106962
FY2019_Q4,5776000000.0,0,5537000000.0,5515000000.0,5327000000.0,5537000000.0,5577666666.666667,5515000000.0,5515000000.0,5515000000.0,5533772884.447589,5646919093.4077,5621286732.494232,5872857932.539682,5402601984.0,5515824585.118727,5712083293.640584,5515000000.0,5515000000.0,5477485923.671125,4885412840.583106
FY2020_Q1,5858000000.0,0,5649250000.0,5776000000.0,5789000000.0,5649250000.0,5771666666.666667,5776000000.0,5776000000.0,5776000000.0,5609126421.326839,5652559754.755732,5641205808.502105,5857881166.666666,5546513920.0,5668390787.631015,5716999964.776133,5776000000.0,5776000000.0,5205393001.676037,5166835866.256957
FY2020_Q2,5742000000.0,1,5666500000.0,5858000000.0,5517000000.0,5666500000.0,5971666666.666667,5700000000.0,4296101342.157347,5709008495.865294,3717896193.431259,5657185233.635331,5441918618.263367,5376288281.746031,5233060864.0,5824217258.435528,5727071414.447644,5858000000.0,5858000000.0,4903145090.447917,3337901600.312717
FY2020_Q3,5821000000.0,1,5722750000.0,5742000000.0,5515000000.0,5722750000.0,5817666666.666667,5750000000.0,4762855263.940963,5749543232.163119,4565408395.865388,5657922659.138259,5520427850.627621,5505353009.259258,5531395584.0,5789795137.002894,5728066623.99064,5742000000.0,5742000000.0,5724163881.759119,5076139144.962548
FY2020_Q4,6467000000.0,1,5799250000.0,5821000000.0,5776000000.0,5799250000.0,5836000000.0,6400000000.0,4537122945.430638,6366946519.174559,4145042931.8707895,5423549665.594793,5266105318.09324,5661606873.015872,5821268480.0,5788448065.734112,5733874972.299529,5821000000.0,5821000000.0,5572679956.585267,5124226826.719682
FY2021_Q1,6655000000.0,0,5972000000.0,6467000000.0,5858000000.0,5972000000.0,6670000000.0,6467000000.0,6467000000.0,6467000000.0,5496160166.575438,5532138145.678183,5525011337.682564,5789401017.195767,5620564480.0,6201033539.82142,5776999959.045299,6467000000.0,6467000000.0,6185247304.594795,6596782960.86046
FY2021_Q2,6610000000.0,1,6171250000.0,6655000000.0,5742000000.0,6171250000.0,6959333333.333333,6500000000.0,5274532606.55471,6508711099.767188,4920187927.798916,5468418261.019898,5414373110.363785,6066940940.476189,6699917824.0,6577943709.416377,5825777737.395347,6655000000.0,6655000000.0,6017250668.167714,5348325524.725303
FY2021_Q3,6778000000.0,1,6388250000.0,6610000000.0,5821000000.0,6388250000.0,6873000000.0,6750000000.0,5653944359.683981,6742098285.779743,5358049976.764225,5659723967.393724,5634981162.984593,6364294857.1428585,6664950272.0,6628442624.701713,5867052586.668128,6610000000.0,6610000000.0,6601618296.777821,6053150057.847452
FY2021_Q4,7407000000.0,1,6627500000.0,6778000000.0,6467000000.0,6627500000.0,6881666666.666667,7350000000.0,5990952032.805006,7317759821.482836,5681343135.016823,5846035882.923741,5836251359.6186695,6520796249.999999,6615176704.0,6709140446.550042,5912599978.261134,6778000000.0,6778000000.0,6680202766.580564,6232552525.01495
FY2022_Q1,7706000000.0,1,6862500000.0,7407000000.0,6655000000.0,6862500000.0,7657666666.666667,7600000000.0,6511219466.393661,7589271672.9490385,6202952293.953327,6175337349.726399,6176073518.782529,6798436068.783069,7364946432.0,7149648773.462849,5983761862.916449,7407000000.0,7407000000.0,6921231202.441201,6917016951.116501
FY2022_Q2,8103000000.0,1,7125250000.0,7706000000.0,6610000000.0,7125250000.0,8071333333.333333,7900000000.0,6955714293.790673,7889282554.973752,6612644111.767018,6493375160.748157,6493375160.343301,7170636150.793651,7705334272.0,7584320321.749171,6062045418.413367,7706000000.0,7706000000.0,7684740647.158598,7251707111.860952
FY2022_Q3,8464000000.0,1,7498500000.0,8103000000.0,6778000000.0,7498500000.0,8544666666.666667,8400000000.0,7479685440.616451,8383779534.496728,7147096850.027182,6953788687.409447,6947120100.142681,7513955285.714287,8102319616.0,7941823426.000691,6150782570.86221,8103000000.0,8103000000.0,7887971494.032151,7677095497.170851
FY2022_Q4,8930000000.0,1,7920000000.0,8464000000.0,7407000000.0,7920000000.0,8816333333.333334,8900000000.0,8005182352.999044,8876345820.480675,7692708146.046334,7456288642.249978,7439277709.71642,7847195702.380951,8463195136.0,8317906121.988113,6247166628.969043,8464000000.0,8464000000.0,8078931021.303031,8079568316.649041
FY2023_Q1,8915000000.0,1,8300750000.0,8930000000.0,7706000000.0,8300750000.0,9338000000.0,8900000000.0,8247805992.714113,8901616958.9528,7950825416.416356,7759463857.332041,7738078584.501215,8273608365.079367,8928830464.0,8742055737.532595,7480364318.680656,8930000000.0,8930000000.0,8913067354.836449,8625037605.723366
FY2023_Q2,8733000000.0,1,8603000000.0,8915000000.0,8103000000.0,8603000000.0,9185666666.666666,8700000000.0,8260285509.887447,8711589512.336363,8006191962.6968,7875929004.823584,7856074434.62391,8553245033.068784,8795541504.0,8921042177.552877,7940103582.535334,8915000000.0,8915000000.0,8905123916.17524,8646732360.408665
FY2023_Q3,8876000000.0,1,8760500000.0,8733000000.0,8464000000.0,8760500000.0,8822666666.666666,8850000000.0,8432182223.555569,8843685003.0957,8259237355.851385,8116786692.11341,8089752380.215076,8673957506.613756,8741023744.0,8806308556.419352,8187577042.130189,8733000000.0,8733000000.0,8847791016.453636,8453050040.592413
FY2023_Q4,9295000000.0,1,8863500000.0,8876000000.0,8930000000.0,8863500000.0,8858000000.0,9270000000.0,8778148747.973644,9248756639.300318,8645087471.15878,8465426697.38605,8424853604.060944,8801270813.492062,8924429312.0,8818389123.964813,8391390256.4999,8876000000.0,8876000000.0,8989849134.870163,8600461105.342405
FY2024_Q1,11961000000.0,0,8954750000.0,9295000000.0,8915000000.0,8954750000.0,9421666666.666666,9295000000.0,9295000000.0,9295000000.0,5330876941.288739,5616049335.546207,5686710174.660033,6609736349.206349,6805677568.0,9126373933.79368,8653536615.933668,9295000000.0,9295000000.0,6850847084.310199,9731802265.22099
FY2024_Q2,12487000000.0,0,9716250000.0,11961000000.0,8733000000.0,9716250000.0,13037000000.0,11961000000.0,11961000000.0,11961000000.0,8349922399.6134815,8452995251.913533,8475878341.864202,9194548820.105818,11727932416.0,10907742335.260506,9696385665.288937,11961000000.0,11961000000.0,11916173659.904774,11878142364.716503
FY2024_Q3,13072000000.0,0,10654750000.0,12487000000.0,8876000000.0,10654750000.0,13690666666.666666,12487000000.0,12487000000.0,12487000000.0,11004846586.64228,10975187663.224705,10954537698.72408,10853033462.962963,12484456448.0,12292388393.616522,10839819596.109978,12487000000.0,12487000000.0,12458195415.776457,12447505432.997995
