target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,,,,15,0,none,2,0,36,0,0.4871794871794871
FY2019_Q2,,,,18,0,no_total_revenue_guidance_but_forward_commentary,6,0,27,0,0.2093023255813953
FY2019_Q3,,,,16,0,none,1,2,5,0,0.7142857142857143
FY2019_Q4,,,,16,0,none,2,0,17,0,0.8333333333333334
FY2020_Q1,,,,17,0,none,0,1,13,0,0.3333333333333333
FY2020_Q2,,,,14,0,none,5,0,10,0,0.2941176470588235
FY2020_Q3,,,,18,0,none,1,1,9,0,0.3076923076923077
FY2020_Q4,,,,13,0,none,4,1,17,0,0.6923076923076923
FY2021_Q1,,,,13,0,none,5,5,14,0,0.5833333333333334
FY2021_Q2,,,,14,0,none,3,1,22,0,0.9047619047619048
FY2021_Q3,,,,19,0,no_total_revenue_guidance_but_forward_commentary,3,7,23,0,0.8181818181818182
FY2021_Q4,,,,19,0,none,7,9,28,0,0.3571428571428571
FY2022_Q1,,,,19,0,no_total_revenue_guidance_but_forward_commentary,5,6,23,0,0.6
FY2022_Q2,,,,19,0,none,6,3,27,0,-0.0857142857142857
FY2022_Q3,,,,19,0,none,5,10,20,0,0.0
FY2022_Q4,,,,19,0,no_total_revenue_guidance_but_forward_commentary,5,6,32,0,0.1304347826086956
FY2023_Q1,,,,19,0,none,3,7,45,0,0.3658536585365853
FY2023_Q2,,,,19,0,none,12,6,38,0,0.1764705882352941
FY2023_Q3,,,,19,0,no_total_revenue_guidance_but_forward_commentary,9,6,30,0,0.4375
FY2023_Q4,,,,19,0,no_total_revenue_guidance_but_forward_commentary,4,5,37,0,0.391304347826087
FY2024_Q1,,,,17,0,none,7,1,25,0,0.7142857142857143
FY2024_Q2,,,,20,0,none,9,7,47,0,0.627906976744186
FY2024_Q3,,,,19,0,none,11,5,43,0,0.5111111111111111
FY2024_Q4,,,,17,0,no_total_revenue_guidance_but_forward_commentary,10,4,47,0,0.631578947368421
FY2025_Q1,,,,18,0,no_total_revenue_guidance_but_forward_commentary,8,14,35,0,0.56
FY2025_Q2,,,,19,0,none,12,5,45,0,0.3191489361702128
FY2025_Q3,,,,19,0,no_total_revenue_guidance_but_forward_commentary,16,13,32,0,0.6226415094339622
FY2025_Q4,,,,16,0,no_total_revenue_guidance_but_forward_commentary,17,4,38,0,0.8076923076923077
