quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,36339000000.0,39276000000.0,2.0,0.995321830540191,0.004678169459809,NORMAL_BASELINE,NONE,0.0,-3.2631549037580205,replay_inputs/retained_336/retrieve/GOOGL/FY2019_Q1.json,0.0,0.0,0.0,0.0,3.6,2.8,3.276,3.276,13.8,18.0
FY2019_Q2,38944000000.0,36339000000.0,2.0,0.9958401807723912,0.0041598192276088,NORMAL_BASELINE,NONE,0.0,-1.0480738875588207,replay_inputs/retained_336/retrieve/GOOGL/FY2019_Q2.json,0.0,0.0,0.0,0.0,2.06,1.6799999999999995,1.4202499999999998,2.288,13.45,31.0
FY2019_Q3,40499000000.0,38944000000.0,2.0,0.9961727450060496,0.0038272549939504,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/GOOGL/FY2019_Q3.json,0.0,0.0,0.0,0.0,3.3600000000000003,0.0,0.0,0.0,13.449999999999998,45.0
FY2019_Q4,46075000000.0,40499000000.0,2.0,0.9962297238053486,0.0037702761946514,SHOCK_KG,DOWN,0.0,0.0,replay_inputs/retained_336/retrieve/GOOGL/FY2019_Q4.json,0.0,0.0,0.0,0.0,2.44,0.0,0.0,0.0,11.7,56.0
FY2020_Q1,41159000000.0,46075000000.0,2.0,0.9967161274629044,0.0032838725370955,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/GOOGL/FY2020_Q1.json,0.0,0.0,0.0,0.0,5.4,0.0,2.513333333333333,5.720000000000001,11.0,65.0
FY2020_Q2,38297000000.0,41159000000.0,2.0,0.9961201698736434,0.0038798301263566,SHOCK_KG,DOWN,-1.0,-5.597557771831672,replay_inputs/retained_336/retrieve/GOOGL/FY2020_Q2.json,0.0,0.0,0.0,0.0,3.54,1.6,2.2731428571428576,7.956000000000001,14.55,78.0
FY2020_Q3,46173000000.0,38297000000.0,2.0,0.9961467691308584,0.0038532308691416,SHOCK_KG,UP,0.0,0.0,replay_inputs/retained_336/retrieve/GOOGL/FY2020_Q3.json,0.0,0.0,0.0,0.0,4.2,1.5499999999999998,2.6676,5.3352,18.05,96.0
FY2020_Q4,56898000000.0,46173000000.0,2.0,0.9965553602811952,0.0034446397188049,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/GOOGL/FY2020_Q4.json,0.0,0.0,0.0,0.0,3.81,0.0,1.105,1.105,15.000000000000002,110.0
FY2021_Q1,55314000000.0,56898000000.0,3.0,0.9234072496977788,0.073020226259856,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/GOOGL/FY2021_Q1.json,0.0,0.0,0.0,0.0,2.6,0.6,1.971666666666667,3.575,12.6,119.0
FY2021_Q2,61880000000.0,55314000000.0,3.0,0.9221161148544929,0.0747814565256031,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/GOOGL/FY2021_Q2.json,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,10.0,126.0
