fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,36339000000.0,0,34204750000.0,39276000000.0,31146000000.0,34204750000.0,41986000000.0,39276000000.0,39276000000.0,39276000000.0,27937030823.053925,27913579583.591614,27916926708.116608,34364689333.333336,39271759872.0,36778430687.5482,26477894602.92012,39276000000.0,39276000000.0,39243562600.8548,36899747464.22649
FY2019_Q2,38944000000.0,0,35503000000.0,36339000000.0,32657000000.0,35503000000.0,37566333333.333336,36339000000.0,36339000000.0,36339000000.0,29798327159.01888,29708843311.225014,29717386059.67082,35619925738.09524,38202929152.0,37666283668.182434,26970949808.897774,36339000000.0,36339000000.0,37838109986.123314,34087004969.12914
FY2019_Q3,40499000000.0,0,37074750000.0,38944000000.0,33740000000.0,37074750000.0,40678666666.66666,38944000000.0,38944000000.0,38944000000.0,31317739859.54094,31196059841.051422,31201885914.704105,36874257630.95239,39145476096.0,37763675824.77891,34678747738.650955,38944000000.0,38944000000.0,38211690583.95353,36952309064.164
FY2019_Q4,46075000000.0,0,38764500000.0,40499000000.0,39276000000.0,38764500000.0,40906666666.66666,40499000000.0,40499000000.0,40499000000.0,33437545101.83932,33264352437.595184,33264352437.494102,38175051445.7672,37534654464.0,39797911183.34792,36603038399.15044,40499000000.0,40499000000.0,35665763630.806206,38741783012.39928
FY2020_Q1,41159000000.0,0,40464250000.0,46075000000.0,36339000000.0,40464250000.0,49320333333.333336,46075000000.0,46075000000.0,46075000000.0,37118964600.80125,36856434142.116936,36843812410.60093,40504594603.17463,42432073728.0,43578084104.81218,39880177103.72143,46075000000.0,46075000000.0,45024300383.87496,44779202308.45828
FY2020_Q2,38297000000.0,0,41669250000.0,41159000000.0,38944000000.0,41669250000.0,41897333333.333336,41159000000.0,41159000000.0,41159000000.0,38213291987.33267,37954186957.36616,37929234061.15888,41603716452.38096,44194594816.0,43380982724.19946,40338955402.30987,41159000000.0,41159000000.0,43482922987.86522,39683289424.43853
FY2020_Q3,46173000000.0,0,41507500000.0,38297000000.0,40499000000.0,41507500000.0,37563000000.0,38297000000.0,38297000000.0,38297000000.0,36194703362.16097,36028392650.35391,36004341015.04192,39832056234.126976,39056551936.0,39568524371.87263,38556570497.36138,38297000000.0,38297000000.0,39754648166.24639,36830006691.59025
FY2020_Q4,56898000000.0,0,42926000000.0,46173000000.0,46075000000.0,42926000000.0,46205666666.66666,46173000000.0,46173000000.0,46173000000.0,38413557493.60549,38218999603.26794,38181332802.22133,40949770884.92062,39035146240.0,42628046518.31728,50391308027.86037,46173000000.0,46173000000.0,40029420112.02501,45072140488.67658
FY2021_Q1,55314000000.0,0,45631750000.0,56898000000.0,41159000000.0,45631750000.0,62144333333.333336,56898000000.0,56898000000.0,56898000000.0,47305120968.1303,46893420568.551605,46794121135.54863,43521778076.71958,35423117312.0,52434747519.7628,41878099903.34309,56898000000.0,56898000000.0,39803596069.42372,56697662734.14107
FY2021_Q2,61880000000.0,0,49170500000.0,55314000000.0,38297000000.0,49170500000.0,60986333333.333336,55314000000.0,55314000000.0,55314000000.0,52240374517.4547,51778526373.813095,51644150167.354805,49755525003.968254,48149270528.0,55958912170.7387,48662258577.16774,55314000000.0,55314000000.0,54808890825.427086,54974601863.62604
