target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,15680000000.0,16320000000.0,16000000000.0,11,1,explicit_numeric,22,34,51,0,0.3529411764705882
FY2019_Q2,15288000000.0,15912000000.0,15600000000.0,23,1,explicit_numeric,18,33,78,0,-0.073170731707317
FY2019_Q3,,,,18,0,none,28,42,58,0,0.1948051948051948
FY2019_Q4,,,,18,0,none,26,44,35,0,0.5416666666666666
FY2020_Q1,,,,20,0,none,23,55,39,0,0.6825396825396826
FY2020_Q2,18130000000.0,18870000000.0,18500000000.0,17,1,explicit_numeric,49,33,59,0,0.4390243902439024
FY2020_Q3,17836000000.0,18564000000.0,18200000000.0,17,1,explicit_numeric,30,16,45,0,0.4576271186440678
FY2020_Q4,17052000000.0,17748000000.0,17400000000.0,16,1,explicit_numeric,20,24,73,0,0.0851063829787234
FY2021_Q1,17150000000.0,17850000000.0,17500000000.0,18,1,explicit_numeric,17,11,37,0,0.78125
FY2021_Q2,,,,20,0,none,20,51,43,0,0.4074074074074074
FY2021_Q3,,,,18,0,none,14,51,51,0,0.4202898550724637
FY2021_Q4,,,,20,0,none,16,47,89,0,0.7142857142857143
FY2022_Q1,17934000000.0,18666000000.0,18300000000.0,18,1,explicit_numeric,16,53,55,0,0.7619047619047619
FY2022_Q2,,,,17,0,no_total_revenue_guidance_but_forward_commentary,17,49,47,0,0.3924050632911392
FY2022_Q3,15000000000.0,16000000000.0,15500000000.0,13,1,explicit_numeric,23,53,51,0,0.3052631578947368
FY2022_Q4,,,,20,0,no_total_revenue_guidance_but_forward_commentary,30,30,72,0,0.131578947368421
FY2023_Q1,10500000000.0,11500000000.0,11000000000.0,18,1,explicit_numeric,36,32,77,0,0.2727272727272727
FY2023_Q2,11500000000.0,12500000000.0,12000000000.0,20,1,explicit_numeric,17,37,84,0,0.3493975903614458
FY2023_Q3,12900000000.0,13900000000.0,13400000000.0,18,1,explicit_numeric,32,29,68,0,0.4455445544554455
FY2023_Q4,14308000000.0,14892000000.0,14600000000.0,18,1,explicit_numeric,14,30,70,0,0.5774647887323944
FY2024_Q1,12200000000.0,13200000000.0,12700000000.0,18,1,explicit_numeric,14,24,59,0,0.4814814814814814
FY2024_Q2,12500000000.0,13500000000.0,13000000000.0,18,1,explicit_numeric,23,36,75,0,0.3829787234042553
FY2024_Q3,12500000000.0,13500000000.0,13000000000.0,18,1,explicit_numeric,12,33,97,0,0.3333333333333333
FY2024_Q4,13300000000.0,14300000000.0,13800000000.0,18,1,explicit_numeric,14,27,91,0,0.4893617021276595
FY2025_Q1,,,,27,0,none,7,13,87,0,0.2142857142857142
FY2025_Q2,,,,18,0,none,14,14,59,0,-0.0416666666666666
FY2025_Q3,,,,17,0,none,10,12,76,0,0.375
FY2025_Q4,12800000000.0,13800000000.0,13300000000.0,11,1,explicit_numeric,32,45,64,0,0.6307692307692307
