quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,16061000000.0,16000000000.0,7.0,0.5345868874914389,0.3052113816076209,NORMAL_BASELINE,NONE,0.0,-2.6365704695288628,replay_inputs/retained_336/retrieve/INTC/FY2019_Q1.json,0.0,0.0,0.0,0.0,4.0,4.079999999999999,2.1793571428571425,7.627749999999999,23.55,37.0
FY2019_Q2,16505000000.0,15600000000.0,6.0,0.5356558618600424,0.3019085125719479,NORMAL_BASELINE,NONE,0.0,-0.2216287124089409,replay_inputs/retained_336/retrieve/INTC/FY2019_Q2.json,0.0,0.0,0.0,0.0,2.6,5.12,3.89025,3.89025,13.65,47.0
FY2019_Q3,19190000000.0,16505000000.0,6.0,0.505940594059406,0.3326211568525273,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/INTC/FY2019_Q3.json,0.0,0.0,0.0,0.0,1.9,1.68,0.0,0.0,15.399999999999997,58.0
FY2019_Q4,20209000000.0,19190000000.0,6.0,0.4902536977177,0.3532667254383387,SHOCK_KG,DOWN,-2.0,-3.314922772277228,replay_inputs/retained_336/retrieve/INTC/FY2019_Q4.json,0.0,0.0,0.0,0.0,3.86,2.9,4.368,6.5520000000000005,19.75,72.0
FY2020_Q1,19828000000.0,20209000000.0,6.0,0.4929897115190639,0.3526830744401856,SHOCK_KG,UP,2.0,4.72111191105887,replay_inputs/retained_336/retrieve/INTC/FY2020_Q1.json,0.0,0.0,0.0,0.0,9.8,1.0,3.740285714285714,14.651000000000002,21.75,89.0
FY2020_Q2,19728000000.0,18500000000.0,6.0,0.4813463098134631,0.3607562854825628,NORMAL_BASELINE,NONE,0.0,-0.4432142424853745,replay_inputs/retained_336/retrieve/INTC/FY2020_Q2.json,0.0,0.0,0.0,0.0,2.0,3.2,2.409333333333333,10.192,14.8,101.0
FY2020_Q3,18333000000.0,18200000000.0,6.0,0.5371188567064856,0.3220967653957344,NORMAL_BASELINE,NONE,0.0,-2.410228203568532,replay_inputs/retained_336/retrieve/INTC/FY2020_Q3.json,0.0,0.0,0.0,0.0,3.3100000000000005,2.85,2.223,9.386,15.899999999999997,115.0
FY2020_Q4,19978000000.0,17400000000.0,6.0,0.5475523075382921,0.3047352087296026,NORMAL_BASELINE,NONE,0.0,1.813474117711232,replay_inputs/retained_336/retrieve/INTC/FY2020_Q4.json,0.0,0.0,0.0,0.0,6.25,3.94,2.611555555555556,11.167000000000002,20.65,134.0
FY2021_Q1,19673000000.0,17500000000.0,6.0,0.5390636913536319,0.2828241752655924,NORMAL_BASELINE,NONE,0.0,-0.1312754029432377,replay_inputs/retained_336/retrieve/INTC/FY2021_Q1.json,0.0,0.0,0.0,0.0,3.8,2.2,1.8200000000000005,8.58,15.643750000000002,146.0
FY2021_Q2,19631000000.0,19673000000.0,6.0,0.5149508430543528,0.328816667515664,NORMAL_BASELINE,NONE,0.0,-0.0520264321659126,replay_inputs/retained_336/retrieve/INTC/FY2021_Q2.json,0.0,0.0,0.0,0.0,7.52,1.49,1.79075,5.37225,22.993749999999995,167.0
FY2021_Q3,19192000000.0,19631000000.0,6.0,0.5035431429762401,0.338474364318466,NORMAL_BASELINE,NONE,0.0,0.4387591054964086,replay_inputs/retained_336/retrieve/INTC/FY2021_Q3.json,0.0,0.0,0.0,0.0,3.6,1.2,1.2133333333333332,1.0399999999999996,21.54375,185.0
FY2021_Q4,20528000000.0,19192000000.0,6.0,0.4936184723304754,0.3559041309431021,SHOCK_KG,DOWN,-1.143463526469362,-1.143463526469362,replay_inputs/retained_336/retrieve/INTC/FY2021_Q4.json,0.0,0.0,0.0,0.0,3.0,2.14,2.045875,3.18175,10.75,192.0
FY2022_Q1,18353000000.0,18300000000.0,7.0,0.5022697795071336,0.3260916558581928,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/INTC/FY2022_Q1.json,0.0,0.0,0.0,0.0,2.6,3.6,0.0,0.0,19.95,206.0
FY2022_Q2,15321000000.0,18353000000.0,7.0,0.4962128568654108,0.3009645885932543,SHOCK_KG,DOWN,-2.0,-2.472212753999135,replay_inputs/retained_336/retrieve/INTC/FY2022_Q2.json,0.0,0.0,0.0,0.0,5.64,3.58,2.4232,9.2222,15.15,220.0
FY2022_Q3,15338000000.0,15500000000.0,7.0,0.5250775594622544,0.2720398138572906,SHOCK_KG,UP,1.648641703890724,1.648641703890724,replay_inputs/retained_336/retrieve/INTC/FY2022_Q3.json,0.0,0.0,0.0,0.0,3.47,4.890000000000001,3.8369500000000007,10.836800000000002,16.099999999999998,233.0
FY2022_Q4,14042000000.0,15338000000.0,7.0,0.4681647940074906,0.3041481167408664,SHOCK_KG,DOWN,-2.0,-2.4051769099017584,replay_inputs/retained_336/retrieve/INTC/FY2022_Q4.json,0.0,0.0,0.0,0.0,4.93,3.83,3.130585714285714,12.9636,14.08,245.0
