fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,16061000000.0,1,17712000000.0,18657000000.0,16066000000.0,17712000000.0,19520666666.666668,16000000000.0,16486825782.3419,16099952193.016256,19034743809.879715,18786165618.99169,18723939763.99016,17692273451.058205,17269118976.0,18578159571.33396,18457437471.77825,18657000000.0,18657000000.0,19111688371.919525,19453418884.67643
FY2019_Q2,16505000000.0,1,17710750000.0,16061000000.0,16962000000.0,17710750000.0,15760666666.666666,15600000000.0,15995894919.2251,15616134490.82489,16373574810.263746,16457844952.191845,16553263837.98454,16637824585.978838,16601389056.0,16457845760.832413,17120274814.090096,16061000000.0,16061000000.0,16695519139.096012,16133602014.111174
FY2019_Q3,19190000000.0,0,17596500000.0,16505000000.0,19163000000.0,17596500000.0,15619000000.0,16505000000.0,16505000000.0,16505000000.0,15448412074.985636,15316616932.997646,15300205332.70552,15586789023.809532,14817178624.0,17084876315.74545,16776834784.17443,16505000000.0,16505000000.0,14824464885.617496,16271472206.359274
FY2019_Q4,20209000000.0,0,17603250000.0,19190000000.0,18657000000.0,17603250000.0,19367666666.666668,19190000000.0,19190000000.0,19190000000.0,18273736032.281418,17803031331.844524,17607182667.303787,17342758533.06879,18639417344.0,18785704674.005142,18456133627.89116,19190000000.0,19190000000.0,18633577275.637737,19403788741.474407
FY2020_Q1,19828000000.0,0,17991250000.0,20209000000.0,16061000000.0,17991250000.0,21591666666.666668,20209000000.0,20209000000.0,20209000000.0,19630008877.41061,19283595384.048,19167851018.73884,18371744230.15874,18827304960.0,19414295481.503235,17509205792.19921,20209000000.0,20209000000.0,18686202358.7024,20468033935.674904
FY2020_Q2,19728000000.0,1,18933000000.0,19828000000.0,16505000000.0,18933000000.0,20935666666.666668,18500000000.0,19348884360.2732,18560178118.3695,20089815770.3218,20014225439.376514,19956090611.05553,18238564182.539696,19029405696.0,19590486999.589405,19633063940.187,19828000000.0,19828000000.0,19756931033.38116,20235695252.0754
FY2020_Q3,18333000000.0,1,19738750000.0,19728000000.0,19190000000.0,19738750000.0,19907333333.33333,18200000000.0,19077037851.2642,18326363186.042995,19914254239.213768,19829939527.788982,19759748795.8287,19127889230.158733,19769495552.0,19834172011.30316,19690375010.474632,19728000000.0,19728000000.0,19733267405.61639,19931752831.64121
FY2020_Q4,19978000000.0,1,19524500000.0,18333000000.0,20209000000.0,19524500000.0,17707666666.666668,17400000000.0,18054977365.133743,17477373545.48266,18314208973.845573,18460007683.07636,18545897675.51219,17929162023.80953,16661118976.0,18458366069.07065,18911643012.00347,18333000000.0,18333000000.0,18015151319.02301,18463098817.07465
FY2021_Q1,19673000000.0,1,19466750000.0,19978000000.0,19828000000.0,19466750000.0,20028000000.0,17500000000.0,18360770126.82516,17834864969.686718,20107325959.63407,19787125354.08824,19561912746.18201,19027531845.23809,19643129856.0,20195751260.189613,19509665488.55206,19978000000.0,19978000000.0,19863205053.81257,20178809795.230297
FY2021_Q2,19631000000.0,0,19428000000.0,19673000000.0,19728000000.0,19428000000.0,19654666666.666668,19673000000.0,19673000000.0,19673000000.0,19137252307.284737,18998047814.83496,18974567465.545013,19133939465.608456,19254837248.0,19281925218.936348,19601002600.118927,19673000000.0,19673000000.0,18760405645.32542,19719791840.80208
FY2021_Q3,19192000000.0,0,19403750000.0,19631000000.0,18333000000.0,19403750000.0,20063666666.666668,19631000000.0,19631000000.0,19631000000.0,19184021339.77817,19027899256.742386,18972067017.486526,19463378839.947086,19968743424.0,19711648040.32539,19617744775.313686,19631000000.0,19631000000.0,19616611146.92021,19808287885.36429
FY2021_Q4,20528000000.0,0,19618500000.0,19192000000.0,19978000000.0,19618500000.0,18930000000.0,19192000000.0,19192000000.0,19192000000.0,18775094359.54603,18701368459.216347,18688019315.870914,19346871531.74604,19895373824.0,19243004487.7878,19381020496.609573,19192000000.0,19192000000.0,19176696417.1283,19345812881.849552
FY2022_Q1,18353000000.0,1,19756000000.0,20528000000.0,19673000000.0,19756000000.0,20813000000.0,18300000000.0,19445771535.16976,18800729211.793507,20592379831.43202,20377854614.495155,20191549553.38218,19381139960.31746,19385765888.0,20509949764.92938,20013863899.65143,20528000000.0,20528000000.0,19851942657.43701,20875549201.005337
FY2022_Q2,15321000000.0,0,19426000000.0,18353000000.0,19631000000.0,19426000000.0,17927000000.0,18353000000.0,18353000000.0,18353000000.0,18261767969.564083,18408402305.836178,18526048851.3037,18696189871.69313,19028809728.0,18271603025.075043,19120525571.5327,18353000000.0,18353000000.0,17743512078.501472,18482931083.708782
FY2022_Q3,15338000000.0,1,18348500000.0,15321000000.0,19192000000.0,18348500000.0,14030666666.666666,15500000000.0,16018108618.504574,15462971140.17706,-8761462452.336662,15345210360.811632,16120544740.581808,16172040578.042336,15686964224.0,16125878466.672691,16828736390.185123,15321000000.0,15321000000.0,15247857398.115824,15496965829.708157
FY2022_Q4,14042000000.0,0,17385000000.0,15338000000.0,20528000000.0,17385000000.0,13608000000.0,15338000000.0,15338000000.0,15338000000.0,15085157935.614552,15069875762.6072,15065007990.90429,14713037844.396349,14466758656.0,16108383621.453672,15643397870.301188,15338000000.0,15338000000.0,14276716132.931822,15215075807.231766
FY2023_Q1,11715000000.0,1,15763500000.0,14042000000.0,18353000000.0,15763500000.0,12605000000.0,11000000000.0,10700408131.82376,11630502677.744291,-24799775284.112965,13495148576.25624,13930442312.959568,14038974917.267916,13245333504.0,14112265860.168367,14377008330.96893,14042000000.0,14042000000.0,13482559016.222227,14180665603.78136
FY2023_Q2,12949000000.0,1,14104000000.0,11715000000.0,15321000000.0,14104000000.0,10513000000.0,12000000000.0,11964729879.397558,11939803610.48282,10266209025.492506,10650698190.57342,11248830691.314154,12768449908.730156,12298535936.0,12090631212.660671,12044371879.45998,11715000000.0,11715000000.0,12471307014.41732,11695292876.464125
