target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,,,,25,0,none,12,5,26,0,0.6842105263157895
FY2019_Q2,,,,16,0,no_total_revenue_guidance_but_forward_commentary,5,5,30,0,0.2142857142857142
FY2019_Q3,,,,20,0,none,5,3,35,0,0.5757575757575758
FY2019_Q4,,,,20,0,none,2,1,15,0,0.3333333333333333
FY2020_Q1,,,,20,0,none,1,3,16,0,0.6470588235294118
FY2020_Q2,,,,10,0,none,11,6,28,0,-0.0909090909090909
FY2020_Q3,,,,18,0,none,3,0,25,0,-0.1914893617021276
FY2020_Q4,,,,18,0,no_total_revenue_guidance_but_forward_commentary,8,1,23,0,0.3023255813953488
FY2021_Q1,,,,23,0,no_total_revenue_guidance_but_forward_commentary,5,2,12,0,0.1636363636363636
FY2021_Q2,,,,23,0,no_total_revenue_guidance_but_forward_commentary,10,1,26,0,0.5319148936170213
FY2021_Q3,,,,23,0,no_total_revenue_guidance_but_forward_commentary,4,3,25,0,0.5
FY2021_Q4,31500000000.0,34000000000.0,32750000000.0,14,1,explicit_numeric,3,9,25,0,-0.0833333333333333
FY2022_Q1,27000000000.0,29000000000.0,28000000000.0,28,1,explicit_numeric,6,6,43,0,-0.1884057971014492
FY2022_Q2,28000000000.0,30000000000.0,29000000000.0,28,1,explicit_numeric,4,2,28,0,-0.1935483870967742
FY2022_Q3,26000000000.0,28500000000.0,27250000000.0,28,1,explicit_numeric,5,2,28,0,-0.0967741935483871
FY2022_Q4,30000000000.0,32500000000.0,31250000000.0,30,1,explicit_numeric,6,7,54,0,0.2083333333333333
FY2023_Q1,26000000000.0,28500000000.0,27250000000.0,30,1,explicit_numeric,14,8,48,0,0.0
FY2023_Q2,29500000000.0,32000000000.0,30750000000.0,28,1,explicit_numeric,7,12,32,0,0.4516129032258064
FY2023_Q3,32000000000.0,34500000000.0,33250000000.0,28,1,explicit_numeric,8,11,36,0,0.288135593220339
FY2023_Q4,36500000000.0,40000000000.0,38250000000.0,28,1,explicit_numeric,10,3,74,0,0.5714285714285714
FY2024_Q1,34500000000.0,37000000000.0,35750000000.0,28,1,explicit_numeric,9,9,29,0,0.8032786885245902
FY2024_Q2,36500000000.0,39000000000.0,37750000000.0,28,1,explicit_numeric,4,10,34,0,0.813953488372093
FY2024_Q3,38500000000.0,41000000000.0,39750000000.0,28,1,explicit_numeric,9,19,27,0,0.6585365853658537
FY2024_Q4,45000000000.0,48000000000.0,46500000000.0,28,1,explicit_numeric,6,6,36,0,0.9487179487179488
FY2025_Q1,39500000000.0,41800000000.0,40650000000.0,28,1,explicit_numeric,3,19,41,0,0.8518518518518519
FY2025_Q2,42500000000.0,45500000000.0,44000000000.0,28,1,explicit_numeric,8,18,31,0,0.6190476190476191
FY2025_Q3,47500000000.0,50500000000.0,49000000000.0,28,1,explicit_numeric,3,20,45,0,0.9166666666666666
FY2025_Q4,56000000000.0,59000000000.0,57500000000.0,28,1,explicit_numeric,9,19,25,0,0.8356164383561644
