quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,15077000000.0,16914000000.0,2.0,0.9890561782848046,0.0109438217151953,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2019_Q1.json,0.0,0.0,0.0,0.0,2.2,3.4000000000000004,1.3,1.3,10.0,12.0
FY2019_Q2,16886000000.0,15077000000.0,2.0,0.984484188084804,0.015515811915196,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2019_Q2.json,0.0,0.0,0.0,0.0,2.49,2.03,0.9360000000000002,0.9360000000000002,7.200000000000001,20.0
FY2019_Q3,17652000000.0,16886000000.0,2.0,0.9847609336052572,0.0152390663947428,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2019_Q3.json,0.0,0.0,0.0,0.0,2.44,2.37,3.861,3.861,9.1,30.0
FY2019_Q4,21082000000.0,17652000000.0,2.0,0.9835878948866332,0.0164121051133668,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2019_Q4.json,0.0,0.0,0.0,0.0,1.2999999999999998,2.65,2.2750000000000004,2.2750000000000004,4.65,35.0
FY2020_Q1,17737000000.0,21082000000.0,2.0,0.9832553419405762,0.0167446580594238,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2020_Q1.json,0.0,0.0,0.0,0.0,1.11,2.47,1.1700000000000002,1.1700000000000002,5.6000000000000005,40.0
FY2020_Q2,18687000000.0,17737000000.0,2.0,0.9804141916840584,0.0195858083159415,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2020_Q2.json,0.0,0.0,0.0,0.0,1.52,2.8,0.0,0.0,10.4,50.0
FY2020_Q3,21470000000.0,18687000000.0,2.0,0.988402421984164,0.011597578015836,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2020_Q3.json,0.0,0.0,0.0,0.0,2.54,4.24,1.9890000000000003,2.8080000000000003,15.4,65.0
FY2020_Q4,28072000000.0,21470000000.0,2.0,0.9685084250650136,0.0314915749349862,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2020_Q4.json,0.0,0.0,0.0,0.0,3.45,0.0,2.8080000000000003,5.6160000000000005,11.7,75.0
FY2021_Q1,26171000000.0,28072000000.0,2.0,0.972030109663368,0.0279698903366321,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2021_Q1.json,0.0,0.0,0.0,0.0,1.44,0.95,3.1122,3.1122,6.3500000000000005,81.0
FY2021_Q2,29077000000.0,26171000000.0,2.0,0.9829074526257868,0.0170925473742132,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/META/FY2021_Q2.json,0.0,0.0,0.0,0.0,3.850000000000001,0.95,1.638,1.638,8.2,89.0
