fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,15077000000.0,0,13959500000.0,16914000000.0,11966000000.0,13959500000.0,18563333333.33333,16914000000.0,16914000000.0,16914000000.0,17182857395.69009,17127404370.60678,17093938906.265926,14134124107.142857,16910006272.0,16933809141.88878,15477646373.26505,16914000000.0,16914000000.0,14916470114.09167,18591970278.162346
FY2019_Q2,16886000000.0,0,14737250000.0,15077000000.0,13231000000.0,14737250000.0,15692333333.333334,15077000000.0,15077000000.0,15077000000.0,18776293543.60593,17875139460.38743,17774327483.055515,14842529551.587296,16659148800.0,16213757882.155228,16528748612.721527,15077000000.0,15077000000.0,14964127538.998743,15997986253.992256
FY2019_Q3,17652000000.0,0,15651000000.0,16886000000.0,13727000000.0,15651000000.0,17939000000.0,16886000000.0,16886000000.0,16886000000.0,17349493610.905056,17225915051.926487,17176890393.111565,15732099833.333334,16754487296.0,15503204401.398554,17465719465.487595,16886000000.0,16886000000.0,15981499872.865393,18044010414.73805
FY2019_Q4,21082000000.0,0,16632250000.0,17652000000.0,16914000000.0,16632250000.0,17898000000.0,17652000000.0,17652000000.0,17652000000.0,18926344883.29001,18698075291.24604,18626068906.53668,16499736309.884563,15692451840.0,18399024308.7964,20619850627.844288,17652000000.0,17652000000.0,16538333506.23703,18806148961.47492
FY2020_Q1,17737000000.0,0,17674250000.0,21082000000.0,15077000000.0,17674250000.0,23083666666.666668,21082000000.0,21082000000.0,21082000000.0,21235169842.904068,21202001922.69235,21133085555.529644,18077006464.28572,20347602944.0,21049678742.174744,19289625293.59605,21082000000.0,21082000000.0,17674249951.14451,22815726389.25913
FY2020_Q2,18687000000.0,0,18339250000.0,17737000000.0,16886000000.0,18339250000.0,18020666666.666668,17737000000.0,17737000000.0,17737000000.0,22614447432.41171,21344317930.41523,21122396036.75104,18386190055.55556,20268527616.0,19053521523.5746,20186527166.988045,17737000000.0,17737000000.0,18841711003.18104,18524129438.5964
FY2020_Q3,21470000000.0,0,18789500000.0,18687000000.0,17652000000.0,18789500000.0,19032000000.0,18687000000.0,18687000000.0,18687000000.0,19288628445.992348,19120643617.72077,19037698925.31803,18658725821.428574,18603481088.0,16682969168.98178,19473363279.4885,18687000000.0,18687000000.0,18777233337.71981,19533465981.437023
FY2020_Q4,28072000000.0,0,19744000000.0,21470000000.0,21082000000.0,19744000000.0,21599333333.33333,21470000000.0,21470000000.0,21470000000.0,21440074553.452568,21275480185.060936,21176499662.23377,19594888559.52382,18148569088.0,20993570508.800343,23672880254.73585,21470000000.0,21470000000.0,19569258861.109333,22665031047.60712
FY2021_Q1,26171000000.0,0,21491500000.0,28072000000.0,17737000000.0,21491500000.0,31517000000.0,28072000000.0,28072000000.0,28072000000.0,28458781932.08633,27640353103.47707,27378200004.495365,22375916444.444443,25809528832.0,29303566959.390907,22398849081.316727,28072000000.0,28072000000.0,24529891212.800007,30458922482.27115
FY2021_Q2,29077000000.0,0,23600000000.0,26171000000.0,18687000000.0,23600000000.0,28665666666.666668,26171000000.0,26171000000.0,26171000000.0,29679792788.54857,29545800339.64659,29395068657.522503,24209995234.12698,27255480320.0,26689552428.81205,29928132050.44011,26171000000.0,26171000000.0,25222821699.73935,27731804591.157383
