target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,,,,20,0,none,21,7,70,0,0.3932584269662921
FY2019_Q2,,,,20,0,no_total_revenue_guidance_but_forward_commentary,38,4,50,0,-0.2436974789915966
FY2019_Q3,,,,18,0,no_total_revenue_guidance_but_forward_commentary,27,12,51,0,0.0275229357798165
FY2019_Q4,,,,22,0,no_total_revenue_guidance_but_forward_commentary,25,6,71,0,0.2972972972972973
FY2020_Q1,,,,24,0,none,17,8,77,0,0.0786516853932584
FY2020_Q2,,,,22,0,none,23,3,64,0,0.0714285714285714
FY2020_Q3,,,,25,0,none,21,5,82,0,0.0952380952380952
FY2020_Q4,,,,25,0,no_total_revenue_guidance_but_forward_commentary,42,17,45,0,-0.1666666666666666
FY2021_Q1,,,,22,0,none,27,12,49,0,0.0204081632653061
FY2021_Q2,,,,21,0,none,32,10,43,0,0.0642201834862385
FY2021_Q3,,,,21,0,none,23,9,47,0,0.2244897959183673
FY2021_Q4,,,,22,0,none,21,9,49,0,0.0434782608695652
FY2022_Q1,,,,22,0,none,26,12,77,0,0.0505050505050505
FY2022_Q2,,,,25,0,none,28,29,56,0,-0.1089108910891089
FY2022_Q3,,,,19,0,no_total_revenue_guidance_but_forward_commentary,40,23,59,0,0.1775700934579439
FY2022_Q4,,,,20,0,no_total_revenue_guidance_but_forward_commentary,25,15,49,0,0.029126213592233
FY2023_Q1,,,,27,0,no_total_revenue_guidance_but_forward_commentary,32,8,53,0,-0.3018867924528302
FY2023_Q2,,,,17,0,no_total_revenue_guidance_but_forward_commentary,28,7,72,0,-0.3877551020408163
FY2023_Q3,,,,18,0,no_total_revenue_guidance_but_forward_commentary,13,5,71,0,-0.4166666666666667
FY2023_Q4,,,,27,0,none,20,5,65,0,-0.3086419753086419
FY2024_Q1,,,,25,0,none,25,8,81,0,-0.4090909090909091
FY2024_Q2,,,,20,0,none,21,3,80,0,-0.0112359550561797
FY2024_Q3,,,,25,0,none,22,6,74,0,-0.0112359550561797
FY2024_Q4,,,,23,0,no_total_revenue_guidance_but_forward_commentary,30,19,58,0,-0.21875
FY2025_Q1,,,,25,0,none,36,16,71,0,-0.0985915492957746
FY2025_Q2,,,,25,0,none,37,29,46,0,-0.1794871794871795
FY2025_Q3,,,,22,0,none,22,14,48,0,-0.2054794520547945
FY2025_Q4,,,,16,0,none,26,17,40,0,-0.0389610389610389
