fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,29084000000.0,0,27590000000.0,30085000000.0,24538000000.0,27590000000.0,31934000000.0,30085000000.0,30085000000.0,30085000000.0,28194405214.025936,28100898373.04789,27988851312.35504,27390699195.76719,26997143552.0,28662969084.55884,28791929937.824463,30085000000.0,30085000000.0,29993784840.38996,30462735971.065914
FY2019_Q2,32471000000.0,0,28726500000.0,29084000000.0,28918000000.0,28726500000.0,29139333333.33333,29084000000.0,29084000000.0,29084000000.0,29405019003.149666,29330989365.54981,29186193437.961937,28193351776.45502,29170169856.0,30378276365.65359,32617062670.228527,29084000000.0,29084000000.0,29597139119.738148,29385479167.49218
FY2019_Q3,30571000000.0,0,29614750000.0,32471000000.0,26819000000.0,29614750000.0,34355000000.0,32471000000.0,32471000000.0,32471000000.0,30931623009.60828,30812650491.18619,30654010304.20965,29737730986.7725,30677082112.0,30982859172.301083,29674312023.811867,32471000000.0,32471000000.0,32399195983.351524,32954883740.079056
FY2019_Q4,33717000000.0,0,30552750000.0,30571000000.0,30085000000.0,30552750000.0,30733000000.0,30571000000.0,30571000000.0,30571000000.0,31720604424.19892,31624080427.28939,31428159109.461765,30247066341.26985,32151631872.0,32036623290.25325,31293142856.25209,30571000000.0,30571000000.0,31526866809.71741,30912986833.50141
FY2020_Q1,33055000000.0,0,31460750000.0,33717000000.0,29084000000.0,31460750000.0,35261333333.333336,33717000000.0,33717000000.0,33717000000.0,32462481234.623886,32340969600.76944,32161996277.304462,31629002542.32804,32638306304.0,32111663953.70146,32373686666.24543,33717000000.0,33717000000.0,32245757552.416195,34226930197.99327
FY2020_Q2,36906000000.0,0,32453500000.0,33055000000.0,32471000000.0,32453500000.0,33249666666.666668,33055000000.0,33055000000.0,33055000000.0,33928712513.91877,33802696837.66444,33568353314.508533,32321056728.835976,33415905280.0,34464405976.141266,36180376079.05621,33055000000.0,33055000000.0,32749469587.910374,33497883666.10281
FY2020_Q3,35021000000.0,0,33562250000.0,36906000000.0,30571000000.0,33562250000.0,39017666666.66666,36906000000.0,36906000000.0,36906000000.0,35772367105.875015,35628326652.24594,35401156466.75615,33993209272.48676,33981325312.0,35258616422.1528,33979521604.83732,36906000000.0,36906000000.0,34527861189.74033,37573721682.67463
FY2020_Q4,38033000000.0,0,34674750000.0,35021000000.0,33717000000.0,34674750000.0,35455666666.666664,35021000000.0,35021000000.0,35021000000.0,36978095267.62979,36818674519.024734,36508757746.36076,34739044587.30159,36487585792.0,36623581926.64,36181035367.771866,35021000000.0,35021000000.0,34675793254.895485,35524471578.43727
FY2021_Q1,37154000000.0,0,35753750000.0,38033000000.0,33055000000.0,35753750000.0,39692333333.333336,38033000000.0,38033000000.0,38033000000.0,37414860689.45259,37271245743.47077,37018050507.83688,36037024765.873024,36941955072.0,36324764710.346855,36625930324.12844,38033000000.0,38033000000.0,38336103178.96517,38705457906.408936
FY2021_Q2,43076000000.0,0,36778500000.0,37154000000.0,36906000000.0,36778500000.0,37236666666.66666,37154000000.0,37154000000.0,37154000000.0,38734337409.23021,38561350856.3495,38229187348.13843,36659952395.50265,37808308224.0,38682763458.46768,40501779815.01123,37154000000.0,37154000000.0,37837187264.8184,37732733312.88882
