target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,7900000000.0,8300000000.000001,8100000000.0,16,1,explicit_numeric,24,49,80,4,0.855072463768116
FY2019_Q2,5700000000.0,6300000000.0,6000000000.0,25,1,explicit_numeric,62,76,73,2,0.3406593406593406
FY2019_Q3,4600000000.0,5000000000.0,4800000000.0,25,1,explicit_numeric,70,85,80,2,0.1851851851851851
FY2019_Q4,4300000000.0,4700000000.0,4500000000.0,25,1,explicit_numeric,33,72,86,2,0.2463768115942029
FY2020_Q1,4800000000.0,5200000000.0,5000000000.0,25,1,explicit_numeric,64,84,88,4,0.044776119402985
FY2020_Q2,4500000000.0,4800000000.0,4650000000.0,25,1,explicit_numeric,57,81,54,2,0.492063492063492
FY2020_Q3,4600000000.0,5200000000.0,4900000000.0,22,1,explicit_numeric,82,77,49,3,0.0120481927710843
FY2020_Q4,5750000000.0,6250000000.0,6000000000.0,22,1,explicit_numeric,46,72,52,3,0.4736842105263157
FY2021_Q1,5000000000.0,5400000000.0,5200000000.0,22,1,explicit_numeric,60,49,94,5,0.3333333333333333
FY2021_Q2,5600000000.0,6000000000.0,5800000000.0,22,1,explicit_numeric,70,71,61,3,0.5208333333333334
FY2021_Q3,6900000000.0,7300000000.0,7100000000.0,22,1,explicit_numeric,64,83,78,1,0.6176470588235294
FY2021_Q4,7999999999.999999,8399999999.999999,8199999999.999999,22,1,explicit_numeric,66,91,67,2,0.6533333333333333
FY2022_Q1,7450000000.0,7850000000.0,7650000000.0,22,1,explicit_numeric,58,82,91,1,0.6074766355140186
FY2022_Q2,7300000000.0,7700000000.0,7500000000.0,22,1,explicit_numeric,63,89,62,3,0.6097560975609756
FY2022_Q3,8500000000.0,8900000000.0,8700000000.0,25,1,explicit_numeric,36,57,132,1,0.4444444444444444
FY2022_Q4,6800000000.0,7600000000.0,7200000000.0,25,1,explicit_numeric,46,75,25,2,0.2477064220183486
FY2023_Q1,4000000000.0,4500000000.0,4250000000.0,25,1,explicit_numeric,58,85,71,2,0.1363636363636363
FY2023_Q2,3600000000.0,4000000000.0,3800000000.0,25,1,explicit_numeric,57,93,73,1,0.1463414634146341
FY2023_Q3,3500000000.0,3900000000.0,3700000000.0,25,1,explicit_numeric,46,92,82,1,0.5882352941176471
FY2023_Q4,3700000000.0,4100000000.0,3900000000.0,25,1,explicit_numeric,38,50,76,1,0.5483870967741935
FY2024_Q1,4200000000.0,4600000000.0,4400000000.0,25,1,explicit_numeric,47,86,79,2,0.5833333333333334
FY2024_Q2,5100000000.0,5500000000.0,5300000000.0,25,1,explicit_numeric,47,68,76,2,0.7352941176470589
FY2024_Q3,6400000000.0,6800000000.0,6600000000.0,25,1,explicit_numeric,40,82,91,1,0.746031746031746
FY2024_Q4,7400000000.0,7800000000.0,7600000000.0,25,1,explicit_numeric,41,57,93,2,0.7894736842105263
FY2025_Q1,8500000000.0,8900000000.0,8700000000.0,25,1,explicit_numeric,44,68,83,1,0.9411764705882352
FY2025_Q2,,,,20,0,none,21,42,23,1,0.1111111111111111
FY2025_Q3,8600000000.0,9000000000.0,8800000000.0,25,1,explicit_numeric,47,70,89,4,0.7192982456140351
FY2025_Q4,10400000000.0,11000000000.0,10700000000.0,25,1,explicit_numeric,34,48,47,1,0.8484848484848485
