quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,7913000000.0,8100000000.0,5.0,0.4554530519398458,0.2795399974725135,NORMAL_BASELINE,NONE,0.0,-0.044167654028436,replay_inputs/retained_336/retrieve/MU/FY2019_Q1.json,0.0,0.0,0.0,0.0,3.9099999999999993,1.14,1.5729999999999995,7.033,12.15,25.0
FY2019_Q2,5835000000.0,6000000000.0,5.0,0.4082262210796915,0.2760925449871465,NORMAL_BASELINE,NONE,0.0,0.1646546189814229,replay_inputs/retained_336/retrieve/MU/FY2019_Q2.json,0.0,0.0,0.0,0.0,1.05,3.5,1.404,2.8080000000000003,9.95,34.0
FY2019_Q3,4788000000.0,4800000000.0,5.0,0.4342105263157895,0.2451963241436925,NORMAL_BASELINE,NONE,0.0,-1.352877249357327,replay_inputs/retained_336/retrieve/MU/FY2019_Q3.json,0.0,0.0,0.0,0.0,2.06,1.2,2.48625,8.07625,6.7,39.0
FY2019_Q4,4870000000.0,4500000000.0,5.0,0.3907597535934292,0.2887063655030801,NORMAL_BASELINE,NONE,0.0,-0.956915121136174,replay_inputs/retained_336/retrieve/MU/FY2019_Q4.json,0.0,0.0,0.0,0.0,4.55,6.73,2.33896,9.965800000000002,18.4,57.0
FY2020_Q1,5144000000.0,5000000000.0,5.0,0.3847200622083981,0.2832426127527216,NORMAL_BASELINE,NONE,0.0,0.3753182751540041,replay_inputs/retained_336/retrieve/MU/FY2020_Q1.json,0.0,0.0,0.0,0.0,2.94,1.7999999999999998,1.3,1.3,10.8,66.0
FY2020_Q2,4797000000.0,4650000000.0,5.0,0.4100479466333125,0.2622472378569939,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/MU/FY2020_Q2.json,0.0,0.0,0.0,0.0,0.51,1.71,0.0,0.0,6.4,71.0
FY2020_Q3,5438000000.0,4900000000.0,5.0,0.4078705406399411,0.2804339830820154,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/MU/FY2020_Q3.json,0.0,0.0,0.0,0.0,3.94,2.298,0.0,0.0,11.38,81.0
FY2020_Q4,6056000000.0,6000000000.0,5.0,0.4986789960369881,0.2414134742404227,NORMAL_BASELINE,NONE,0.0,0.4593508642883413,replay_inputs/retained_336/retrieve/MU/FY2020_Q4.json,0.0,0.0,0.0,0.0,2.31,0.57,1.638,1.638,12.0,92.0
FY2021_Q1,5773000000.0,5200000000.0,5.0,0.4410185345574224,0.2600034644032565,NORMAL_BASELINE,NONE,0.0,0.5662599075297227,replay_inputs/retained_336/retrieve/MU/FY2021_Q1.json,0.0,0.0,0.0,0.0,3.68,2.57,1.4625,3.5100000000000007,10.35,101.0
FY2021_Q2,6236000000.0,5800000000.0,5.0,0.4227068633739577,0.2904105195638229,SHOCK_KG,UP,1.005456435129049,1.005456435129049,replay_inputs/retained_336/retrieve/MU/FY2021_Q2.json,0.0,0.0,0.0,0.0,3.14,1.2,1.716,2.6,8.8,108.0
