fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,7913000000.0,1,7597750000.0,8440000000.0,6803000000.0,7597750000.0,8985666666.666666,8100000000.0,8494307410.9182625,8100000000.0,9050105982.574938,9060188486.9733,8977374680.5419,7461629498.677249,8432590336.0,8369589174.803959,8961648637.843994,8440000000.0,8440000000.0,8118433169.868191,8880040923.601492
FY2019_Q2,5835000000.0,1,7875250000.0,7913000000.0,7351000000.0,7875250000.0,8100333333.333333,6000000000.0,6183535339.152638,6000000000.0,9664794466.773746,9003159033.190407,8900993197.429495,7291435570.105822,7870024192.0,7682246531.524492,7913000007.852912,7913000000.0,7913000000.0,7437390020.134229,8120303390.937164
FY2019_Q3,4788000000.0,1,7496250000.0,5835000000.0,7797000000.0,7496250000.0,5181000000.0,4800000000.0,4928543069.191151,4800000000.0,4621696155.398188,5430423904.758391,5823295283.783909,6097839293.650793,5879337472.0,5103315184.563408,5835000030.964613,5835000000.0,5835000000.0,6173262585.322201,5795568827.280173
FY2019_Q4,4870000000.0,1,6744000000.0,4788000000.0,8440000000.0,6744000000.0,3570666666.666667,4500000000.0,4611231927.414642,4500000000.0,4156406674.519385,4346247909.09735,4532149662.376186,5311877682.539684,5163278848.0,4375517896.520145,4788000015.601516,4788000000.0,4788000000.0,6222988457.457684,4771868687.700874
FY2020_Q1,5144000000.0,1,5851500000.0,4870000000.0,7913000000.0,5851500000.0,3855666666.6666665,5000000000.0,5140393371.587091,5000000000.0,4701367285.5597,4741112987.622868,4745963247.950252,5187414932.539682,4995926528.0,4899770835.516768,4869999998.778105,4870000000.0,4870000000.0,4869956420.53367,4932304297.707657
FY2020_Q2,4797000000.0,1,5159250000.0,5144000000.0,5835000000.0,5159250000.0,4913666666.666667,4650000000.0,4783859896.6100855,4650000000.0,5197677541.104103,5096530878.443027,5042073458.055113,5159882250.000001,5183164928.0,5243805609.124078,5143999995.917082,5144000000.0,5144000000.0,5514543571.705975,5133917116.419266
FY2020_Q3,5438000000.0,1,4899750000.0,4797000000.0,4788000000.0,4899750000.0,4800000000.0,4900000000.0,5039461604.743648,4900000000.0,4209770134.1651993,4341111191.487056,4430151935.91414,5012015833.333333,4799133184.0,4673127562.106476,4797000005.170703,4797000000.0,4797000000.0,5147825591.372755,4831840222.529446
FY2020_Q4,6056000000.0,1,5062250000.0,5438000000.0,4870000000.0,5062250000.0,5627333333.333333,6000000000.0,6179366211.513353,6000000000.0,5532546573.925792,5619288629.895203,5521409322.507044,5771704498.67725,5387469824.0,5656789747.717084,5437999990.448356,5438000000.0,5438000000.0,6151104411.428366,5574859897.478759
FY2021_Q1,5773000000.0,1,5358750000.0,6056000000.0,5144000000.0,5358750000.0,6360000000.0,5200000000.0,5360035691.948927,5200000000.0,6195243259.51228,6019730536.339352,5888726724.461826,5702164481.4814825,5658388480.0,6276046735.797579,6055999990.791082,6056000000.0,6056000000.0,5222840281.961559,6029610647.606045
FY2021_Q2,6236000000.0,1,5516000000.0,5773000000.0,4797000000.0,5516000000.0,6098333333.333333,5800000000.0,5988202946.648397,5800000000.0,5614367098.942028,5781005115.90897,5837482418.703491,5839787576.719578,5756594688.0,5627200012.76775,5773000004.217029,5773000000.0,5773000000.0,5825732756.183979,5873399394.680907
FY2021_Q3,7422000000.0,1,5875750000.0,6236000000.0,5438000000.0,5875750000.0,6502000000.0,7100000000.0,7323402501.700481,7100000000.0,6598324616.051814,6535016059.364732,6459340017.448966,7302286809.523813,7433670656.0,6388642444.924115,6235999993.100762,6236000000.0,6236000000.0,7462190549.104369,6424712188.097731
FY2021_Q4,8274000000.0,1,6371750000.0,7422000000.0,6056000000.0,6371750000.0,7877333333.333333,8199999999.999999,8456851494.286106,8199999999.999999,8326699866.332732,7908722817.667208,7661967013.398042,7719864705.627705,8428918784.0,7790545205.685597,7421999982.327223,7422000000.0,7422000000.0,7821042938.443756,7653492498.703663
FY2022_Q1,7687000000.0,1,6926250000.0,8274000000.0,5773000000.0,6926250000.0,9107666666.666666,7650000000.0,7868247765.44714,7650000000.0,8682517312.32806,8445101272.62973,8256497741.065792,7895832095.839349,7848818176.0,8466467354.147009,8273999987.304211,8274000000.0,8274000000.0,8079780674.168478,8374118514.3840275
FY2022_Q2,7786000000.0,1,7404750000.0,7687000000.0,6236000000.0,7404750000.0,8170666666.666667,7500000000.0,7696947065.708652,7500000000.0,7483393254.464062,7690718331.261591,7793750576.620005,7763232086.58009,7456770048.0,7377896902.983478,7687000008.746982,7687000000.0,7687000000.0,7834980931.862194,7778680838.8665695
FY2022_Q3,8642000000.0,1,7792250000.0,7786000000.0,7422000000.0,7792250000.0,7907333333.333333,8700000000.0,8915049329.413822,8700000000.0,8272268339.959843,8149159937.332703,8109036404.905244,8108575257.936504,8383733760.0,7934522978.301234,7785999998.524785,7786000000.0,7786000000.0,8395352563.785973,8034394200.74856
FY2022_Q4,6643000000.0,1,8097250000.0,8642000000.0,8274000000.0,8097250000.0,8764666666.666666,7200000000.0,7376561772.035244,7200000000.0,7970191587.901402,8524595808.055016,8354031424.744027,7416650988.095241,6944052736.0,8921277033.937754,8641999987.244606,8642000000.0,8642000000.0,7323635345.110124,8619958458.31127
FY2023_Q1,4085000000.0,1,7689500000.0,6643000000.0,7687000000.0,7689500000.0,6295000000.0,4250000000.0,4429664533.0069065,4250000000.0,5928138145.2761,5709092885.691498,5981655346.080235,5303567838.624338,4875018240.0,5875003975.580527,6643000029.787421,6643000000.0,6643000000.0,5238276364.665981,6259420050.28215
FY2023_Q2,3693000000.0,1,6789000000.0,4085000000.0,7786000000.0,6789000000.0,2851333333.333333,3800000000.0,3962615932.339042,3800000000.0,3171883634.336643,3377641243.040293,3821973494.8123326,4177157773.809525,3824191232.0,3376412132.100707,4085000038.117171,4085000000.0,4085000000.0,4550884398.689086,3977794386.2553945
FY2023_Q3,3752000000.0,1,5765750000.0,3693000000.0,8642000000.0,5765750000.0,2043333333.3333333,3700000000.0,3842537641.454869,3700000000.0,3927705682.3447433,3384412457.4861727,3417287673.9557104,3504275470.899472,3302786560.0,3861886037.458119,3693000005.841256,3693000000.0,3693000000.0,3547575278.461529,3647726142.2452974
FY2023_Q4,4010000000.0,1,4543250000.0,3752000000.0,6643000000.0,4543250000.0,2788333333.333333,3900000000.0,4035422289.164293,3900000000.0,4051062188.0173583,3630649257.878795,3602222787.00421,3545881855.820107,3602412800.0,3693781790.996998,3751999999.120832,3752000000.0,3752000000.0,3628946676.541525,3760846374.336006
FY2024_Q1,4726000000.0,1,3885000000.0,4010000000.0,4085000000.0,3885000000.0,3985000000.0,4400000000.0,4533172080.302903,4400000000.0,4256727730.48429,4089706932.7671633,4060047540.320933,4335853626.623377,4292675328.0,4176670840.0523305,4009999996.155501,4010000000.0,4010000000.0,4172533749.506432,4073394607.310889
FY2024_Q2,5824000000.0,1,4045250000.0,4726000000.0,3693000000.0,4045250000.0,5070333333.333333,5300000000.0,5438317781.463951,5300000000.0,5094443092.930925,5040002454.025991,4951471680.43238,5533751632.9966345,5581836800.0,5019204908.245269,4725999989.330769,4726000000.0,4726000000.0,5269983253.567857,4866163673.384933
FY2024_Q3,6811000000.0,1,4578000000.0,5824000000.0,3752000000.0,4578000000.0,6514666666.666667,6600000000.0,6743817306.184432,6600000000.0,6499404195.870039,6363403518.351499,6189151651.654401,6884863907.407409,7266026496.0,6262024671.549654,5823999983.638525,5824000000.0,5824000000.0,6598362172.657596,6054668031.2644615
FY2024_Q4,7750000000.0,1,5342750000.0,6811000000.0,4010000000.0,5342750000.0,7744666666.666667,7600000000.0,7742714842.418368,7600000000.0,7614700575.1615715,7381078947.903145,7191642488.965649,7691721636.243383,7759089664.0,7112691607.893267,6810999985.292554,6811000000.0,6811000000.0,7532481437.181843,7008394195.467732
FY2025_Q1,8709000000.0,1,6277750000.0,7750000000.0,4726000000.0,6277750000.0,8758000000.0,8700000000.0,8839154654.901989,8700000000.0,8836933160.937792,8411129708.683519,8186131827.30348,8295750633.597884,8626205696.0,8106828750.903772,7749999986.00781,7750000000.0,7750000000.0,8442343458.195488,7995067016.333865
FY2025_Q2,8053000000.0,0,7273500000.0,8709000000.0,5824000000.0,7273500000.0,9670666666.666666,8709000000.0,8709000000.0,8709000000.0,7273719911.763972,6702511936.774023,6352145263.300848,4795298515.873017,5883050496.0,9049241978.803823,8708999985.709787,8709000000.0,8709000000.0,5964247572.495681,7056839627.637039
FY2025_Q3,9301000000.0,1,7830750000.0,8053000000.0,6811000000.0,7830750000.0,8467000000.0,8800000000.0,8923515468.669552,8800000000.0,8362162325.910621,8371747123.577916,8491713143.323161,8427603654.761903,8042822144.0,7495400666.543065,8053000009.775162,8053000000.0,8053000000.0,8399525267.353635,9607345581.232338
FY2025_Q4,11315000000.0,1,8453250000.0,9301000000.0,7750000000.0,8453250000.0,9818000000.0,10700000000.0,10869006555.264215,10700000000.0,10275448626.50338,10046030067.608202,9814399664.65947,8286102953.703703,7831649792.0,10149606318.880869,9300999981.403353,9301000000.0,9301000000.0,8111130922.207645,9697964021.931747
