target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,2842000000.0,2958000000.0,2900000000.0,25,1,explicit_numeric,21,10,13,7,0.1923076923076923
FY2019_Q2,3038000000.0,3162000000.0,3100000000.0,25,1,explicit_numeric,28,15,39,6,0.3818181818181818
FY2019_Q3,3185000000.0,3315000000.0,3250000000.0,25,1,explicit_numeric,12,15,29,7,0.1063829787234042
FY2019_Q4,2646000000.0,2754000000.0,2700000000.0,19,1,explicit_numeric,19,38,25,7,0.2238805970149253
FY2020_Q1,2156000000.0,2244000000.0,2200000000.0,25,1,explicit_numeric,9,19,51,6,0.1162790697674418
FY2020_Q2,2499000000.0,2601000000.0,2550000000.0,23,1,explicit_numeric,11,12,24,6,-0.25
FY2020_Q3,2842000000.0,2958000000.0,2900000000.0,25,1,explicit_numeric,9,1,27,5,0.0545454545454545
FY2020_Q4,2891000000.0,3009000000.0,2950000000.0,25,1,explicit_numeric,8,3,27,5,0.054054054054054
FY2021_Q1,2940000000.0,3060000000.0,3000000000.0,25,1,explicit_numeric,21,8,11,5,0.1794871794871795
FY2021_Q2,3577000000.0,3723000000.0,3650000000.0,25,1,explicit_numeric,20,0,45,7,0.4285714285714285
FY2021_Q3,4312000000.0,4488000000.0,4400000000.0,25,1,explicit_numeric,13,12,30,6,-0.0153846153846153
FY2021_Q4,4704000000.0,4896000000.0,4800000000.0,13,1,explicit_numeric,18,15,20,6,-0.0588235294117647
FY2022_Q1,5194000000.0,5406000000.0,5300000000.0,22,1,explicit_numeric,15,20,17,7,0.1176470588235294
FY2022_Q2,6174000000.0,6426000000.0,6300000000.0,22,1,explicit_numeric,27,15,17,7,0.0
FY2022_Q3,6664000000.0,6936000000.0,6800000000.0,13,1,explicit_numeric,17,34,25,7,0.0379746835443038
FY2022_Q4,7252000000.0,7548000000.0,7400000000.0,16,1,explicit_numeric,8,26,39,7,0.0491803278688524
FY2023_Q1,7938000000.0,8262000000.0,8100000000.0,13,1,explicit_numeric,15,26,21,7,-0.0208333333333333
FY2023_Q2,7938000000.0,8262000000.0,8100000000.0,13,1,explicit_numeric,40,29,23,6,0.2
FY2023_Q3,5782000000.0,6018000000.0,5900000000.0,13,1,explicit_numeric,43,65,41,7,-0.2608695652173913
FY2023_Q4,5880000000.0,6120000000.0,6000000000.0,13,1,explicit_numeric,36,41,24,6,-0.2786885245901639
FY2024_Q1,6370000000.0,6630000000.0,6500000000.0,16,1,explicit_numeric,16,2,25,6,0.0851063829787234
FY2024_Q2,10780000000.0,11220000000.0,11000000000.0,30,1,explicit_numeric,24,16,20,7,0.1515151515151515
FY2024_Q3,15680000000.0,16320000000.0,16000000000.0,25,1,explicit_numeric,30,18,22,7,0.1555555555555555
FY2024_Q4,19600000000.0,20400000000.0,20000000000.0,28,1,explicit_numeric,17,19,21,6,-0.3333333333333333
FY2025_Q1,23520000000.0,24480000000.0,24000000000.0,27,1,explicit_numeric,16,29,28,6,0.0
FY2025_Q2,27440000000.0,28560000000.0,28000000000.0,30,1,explicit_numeric,26,17,27,7,0.0
FY2025_Q3,31850000000.0,33150000000.0,32500000000.0,30,1,explicit_numeric,21,18,44,6,0.4576271186440678
FY2025_Q4,36750000000.0,38250000000.0,37500000000.0,27,1,explicit_numeric,29,29,44,6,0.238095238095238
