quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,3207000000.0,2900000000.0,5.0,0.5372622388525101,0.2185843467415029,SHOCK_KG,UP,2.0,4.2705,replay_inputs/retained_336/retrieve/NVDA/FY2019_Q1.json,0.0,0.0,0.0,0.0,5.490000000000001,0.0,2.1645,4.2705,16.900000000000002,114.0
FY2019_Q2,3123000000.0,3100000000.0,5.0,0.5779699007364714,0.2433557476785142,NORMAL_BASELINE,NONE,0.0,0.7020000000000002,replay_inputs/retained_336/retrieve/NVDA/FY2019_Q2.json,0.0,0.0,0.0,0.0,4.68,1.9,2.1060000000000003,7.254,19.8,131.0
FY2019_Q3,3181000000.0,3250000000.0,5.0,0.5545425966677145,0.2489783087079534,SHOCK_KG,UP,2.0,8.10225,replay_inputs/retained_336/retrieve/NVDA/FY2019_Q3.json,0.0,0.0,0.0,0.0,7.27,0.0,1.96625,8.10225,17.949999999999996,145.0
FY2019_Q4,2205000000.0,2700000000.0,5.0,0.4326530612244898,0.3079365079365079,SHOCK_KG,DOWN,-2.0,-7.254000000000001,replay_inputs/retained_336/retrieve/NVDA/FY2019_Q4.json,0.0,0.0,0.0,0.0,2.44,2.5,4.797000000000001,7.254000000000001,14.5,155.0
FY2020_Q1,2220000000.0,2200000000.0,5.0,0.4752252252252252,0.2855855855855856,NORMAL_BASELINE,NONE,0.0,-0.3510000000000004,replay_inputs/retained_336/retrieve/NVDA/FY2020_Q1.json,0.0,0.0,0.0,0.0,1.7999999999999998,5.6,0.8255000000000001,0.3510000000000004,14.8,165.0
FY2020_Q2,2579000000.0,2550000000.0,5.0,0.5091120589375727,0.253974408685537,NORMAL_BASELINE,NONE,0.0,-4.087199999999999,replay_inputs/retained_336/retrieve/NVDA/FY2020_Q2.json,0.0,0.0,0.0,0.0,2.126,2.49,2.13408,4.087199999999999,13.509999999999998,174.0
FY2020_Q3,3014000000.0,2900000000.0,5.0,0.5504313205043132,0.2408759124087591,NORMAL_BASELINE,NONE,0.0,3.861,replay_inputs/retained_336/retrieve/NVDA/FY2020_Q3.json,0.0,0.0,0.0,0.0,3.99,0.54,1.9305,3.861,19.200000000000003,188.0
FY2020_Q4,3105000000.0,2950000000.0,5.0,0.4801932367149758,0.3117552334943639,NORMAL_BASELINE,NONE,0.0,3.3930000000000007,replay_inputs/retained_336/retrieve/NVDA/FY2020_Q4.json,0.0,0.0,0.0,0.0,7.662000000000001,0.6,2.8080000000000003,4.797000000000001,29.41999999999999,215.0
FY2021_Q1,3080000000.0,3000000000.0,5.0,0.4347402597402597,0.3704545454545455,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/NVDA/FY2021_Q1.json,0.0,0.0,0.0,0.0,4.91,0.0,0.0,0.0,17.854999999999997,227.0
FY2021_Q2,3866000000.0,3650000000.0,5.0,0.4531815830315571,0.4278323848939472,NORMAL_BASELINE,NONE,0.0,-0.4581275974025974,replay_inputs/retained_336/retrieve/NVDA/FY2021_Q2.json,0.0,0.0,0.0,0.0,2.2,2.49,2.81528,7.0382,18.925,240.0
FY2021_Q3,4726000000.0,4400000000.0,5.0,0.4805332204824376,0.4020313161235717,NORMAL_BASELINE,NONE,0.0,1.961661665804449,replay_inputs/retained_336/retrieve/NVDA/FY2021_Q3.json,0.0,0.0,0.0,0.0,5.6,0.6,2.4674000000000005,4.381,23.425,254.0
FY2021_Q4,5003000000.0,4800000000.0,5.0,0.4987007795322806,0.3803717769338397,SHOCK_KG,DOWN,-2.0,-2.302472746508675,replay_inputs/retained_336/retrieve/NVDA/FY2021_Q4.json,0.0,0.0,0.0,0.0,3.52,1.9,2.5596999999999994,5.119399999999999,30.124999999999982,277.0
FY2022_Q1,5661000000.0,5300000000.0,5.0,0.487546369899311,0.3617735382441265,NORMAL_BASELINE,NONE,0.0,-0.4855628622826303,replay_inputs/retained_336/retrieve/NVDA/FY2022_Q1.json,0.0,0.0,0.0,0.0,3.26,0.57,1.833,3.861,26.675,34.0
FY2022_Q2,6507000000.0,6300000000.0,5.0,0.4704164745658521,0.363608421699708,NORMAL_BASELINE,NONE,0.0,1.891268636283342,replay_inputs/retained_336/retrieve/NVDA/FY2022_Q2.json,0.0,0.0,0.0,0.0,6.95,0.6,2.1067222222222224,10.13025,33.925000000000004,59.0
FY2022_Q3,7103000000.0,6800000000.0,5.0,0.4534703646346614,0.4133464733211319,NORMAL_BASELINE,NONE,0.0,-0.3564081758106654,replay_inputs/retained_336/retrieve/NVDA/FY2022_Q3.json,0.0,0.0,0.0,0.0,5.5,2.15,2.6000000000000005,9.1,35.51666666666666,83.0
FY2022_Q4,7643000000.0,7400000000.0,5.0,0.4474682716210912,0.426926599502813,NORMAL_BASELINE,NONE,0.0,1.9710013233844847,replay_inputs/retained_336/retrieve/NVDA/FY2022_Q4.json,0.0,0.0,0.0,0.0,3.9,0.0,3.178933333333333,4.7684,20.891666666666666,93.0
FY2023_Q1,8288000000.0,8100000000.0,5.0,0.4524613899613899,0.4367760617760617,NORMAL_BASELINE,NONE,0.0,0.9268610493261812,replay_inputs/retained_336/retrieve/NVDA/FY2023_Q1.json,0.0,0.0,0.0,0.0,4.58,1.14,1.4430000000000005,4.329000000000001,24.049999999999983,104.0
FY2023_Q2,6704000000.0,8100000000.0,5.0,0.5677207637231504,0.3045942720763723,SHOCK_KG,DOWN,-2.0,-2.8065475386100385,replay_inputs/retained_336/retrieve/NVDA/FY2023_Q2.json,0.0,0.0,0.0,0.0,3.28,2.65,2.712666666666667,8.021,26.75,117.0
FY2023_Q3,5931000000.0,5900000000.0,5.0,0.6462653852638678,0.2653852638678132,NORMAL_BASELINE,NONE,0.0,0.1609642004773269,replay_inputs/retained_336/retrieve/NVDA/FY2023_Q3.json,0.0,0.0,0.0,0.0,1.97,3.5,1.7506666666666668,3.1460000000000004,26.95,127.0
FY2023_Q4,6051000000.0,6000000000.0,5.0,0.5975871756734424,0.3025946124607503,NORMAL_BASELINE,NONE,0.0,-2.140708312257629,replay_inputs/retained_336/retrieve/NVDA/FY2023_Q4.json,0.0,0.0,0.0,0.0,1.52,2.09,2.8405,5.680999999999999,22.38333333333333,136.0
