fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,3207000000.0,1,2428500000.0,2911000000.0,1937000000.0,2428500000.0,3235666666.6666665,2900000000.0,3212762975.3930254,2900000000.0,3181729475.6101627,3001748601.333733,2863011785.7155743,2506996247.3544974,2907888384.0,2350139573.667896,2300317618.397805,2911000000.0,2911000000.0,2877178531.426353,2625490234.3268976
FY2019_Q2,3123000000.0,1,2746000000.0,3207000000.0,2230000000.0,2746000000.0,3532666666.6666665,3100000000.0,3439627462.9880867,3100000000.0,3388035006.817463,3250490572.8504,3136674008.45453,2745059472.2222223,3203729664.0,2684572019.07899,2644947846.4960794,3207000000.0,3207000000.0,3077677130.6222405,2899034303.946621
FY2019_Q3,3181000000.0,1,2969250000.0,3123000000.0,2636000000.0,2969250000.0,3285333333.333333,3250000000.0,3509548585.389357,3250000000.0,3522802265.859658,3400035304.367773,3294386583.306616,2918444812.169314,3168311808.0,2863249614.0852017,2835975099.0663567,3123000000.0,3123000000.0,2966806624.463542,2856910549.9133053
FY2019_Q4,2205000000.0,1,3105500000.0,3181000000.0,2911000000.0,3105500000.0,3271000000.0,2700000000.0,2848099772.086335,2700000000.0,2685152984.682121,2713055493.54891,2729654163.2044845,2983528477.513228,3158695168.0,2990048001.81478,3414086184.915214,3181000000.0,3181000000.0,2748213687.435507,2514724258.8475137
FY2020_Q1,2220000000.0,1,2929000000.0,2205000000.0,3207000000.0,2929000000.0,1871000000.0,2200000000.0,2271398984.5759773,2200000000.0,2191882887.8624177,2243996427.288994,2282465438.284674,2377913329.3650794,2114662528.0,2701856274.5250783,2697682511.750875,2205000000.0,2205000000.0,1369825293.73743,1745622259.8795269
FY2020_Q2,2579000000.0,1,2682250000.0,2220000000.0,3123000000.0,2682250000.0,1919000000.0,2550000000.0,2617298505.034672,2550000000.0,2740365140.357437,2634902652.531137,2540769850.0302505,2584384916.666666,2382864384.0,2538875014.562283,2543931467.5312004,2220000000.0,2220000000.0,2889298759.722189,2221471423.4344416
FY2020_Q3,3014000000.0,1,2546250000.0,2579000000.0,3181000000.0,2546250000.0,2378333333.333333,2900000000.0,2962155199.154052,2900000000.0,3090777343.305899,2952066514.570688,2824135692.123284,2933519960.317459,3122591232.0,2552517325.6337585,2555165632.290081,2579000000.0,2579000000.0,3363312289.903569,2593914721.709734
FY2020_Q4,3105000000.0,1,2504500000.0,3014000000.0,2205000000.0,2504500000.0,3283666666.6666665,2950000000.0,3018219177.8545904,2950000000.0,3002456685.426382,2934237165.085716,2865531489.602695,3070988486.772488,3221841664.0,2707352976.7779264,2701532135.445811,3014000000.0,3014000000.0,3230717827.456749,2792015844.0700216
FY2021_Q1,3080000000.0,1,2729500000.0,3105000000.0,2220000000.0,2729500000.0,3400000000.0,3000000000.0,3078137614.9027486,3000000000.0,3024741252.75074,2990223791.325706,2951355986.967352,3109816940.4761906,3141197056.0,2842558879.9686403,2832387010.187502,3105000000.0,3105000000.0,2923468093.900427,2886870068.2306485
FY2021_Q2,3866000000.0,1,2944500000.0,3080000000.0,2579000000.0,2944500000.0,3247000000.0,3650000000.0,3731183579.890635,3650000000.0,3895611136.531648,3726681859.4263554,3556400254.1075754,3120164441.798941,3233006592.0,2925081866.1907644,2914588497.316707,3080000000.0,3080000000.0,3213834200.744392,3395278675.80074
FY2021_Q3,4726000000.0,1,3266250000.0,3866000000.0,3014000000.0,3266250000.0,4150000000.0,4400000000.0,4516232022.596116,4400000000.0,4675491229.968972,4453156117.961908,4220254939.431165,3350663826.7195773,3562676992.0,3266404192.787891,3244941252.85682,3866000000.0,3866000000.0,3843507374.370394,4262724971.2333055
FY2021_Q4,5003000000.0,1,3694250000.0,4726000000.0,3105000000.0,3694250000.0,5266333333.333333,4800000000.0,4981052732.7241,4800000000.0,4934940206.136885,4824393510.8111,4693936651.368363,3900944751.322753,4570520576.0,3902248324.886911,3865201615.170727,4726000000.0,4726000000.0,3785126282.060186,4811423770.959011
FY2022_Q1,5661000000.0,1,4168750000.0,5003000000.0,3080000000.0,4168750000.0,5644000000.0,5300000000.0,5504203036.03754,5300000000.0,5483658564.589434,5387369709.648171,5269143851.305534,4326622904.761909,4987073024.0,4495955427.878361,4467070616.553554,5003000000.0,5003000000.0,4945829091.202088,5246419311.779128
FY2022_Q2,6507000000.0,1,4814000000.0,5661000000.0,3866000000.0,4814000000.0,6259333333.333333,6300000000.0,6589502126.836029,6300000000.0,6681768347.887053,6491331925.783228,6274288030.246359,4832460857.142858,5655384064.0,5357277978.02492,5152933127.54915,5661000000.0,5661000000.0,5350694219.720979,6369047552.157072
FY2022_Q3,7103000000.0,1,5474250000.0,6507000000.0,4726000000.0,5474250000.0,7100666666.666667,6800000000.0,7086148635.026075,6800000000.0,7026727593.84133,6943646399.90903,6831356138.054342,5450655772.486771,6500908544.0,6137800551.754116,6241333314.692396,6507000000.0,6507000000.0,6083999425.031145,6810234960.587091
FY2022_Q4,7643000000.0,1,6068500000.0,7103000000.0,5003000000.0,6068500000.0,7803000000.0,7400000000.0,7715850356.352546,7400000000.0,7634001901.245196,7598147874.649271,7528577260.247911,6111447238.09524,7096325120.0,6858722008.463737,7155324132.188389,7103000000.0,7103000000.0,6811133640.681894,7505582995.497273
FY2023_Q1,8288000000.0,1,6728500000.0,7643000000.0,5661000000.0,6728500000.0,8303666666.666667,8100000000.0,8424724423.793711,8100000000.0,8388621587.860912,8328991820.465947,8236053012.789354,6715084272.48677,7637120512.0,7429785679.234459,7967590262.342528,7643000000.0,7643000000.0,7088594198.637929,8189503715.370806
FY2023_Q2,6704000000.0,1,7385250000.0,8288000000.0,6507000000.0,7385250000.0,8881666666.666666,8100000000.0,8391624533.997251,8100000000.0,8155745957.479592,8307272100.012005,8379601065.769697,7311148170.634918,8281497600.0,8555728024.101413,8751446336.000023,8288000000.0,8288000000.0,7965499889.354179,8177992404.662989
FY2023_Q3,5931000000.0,1,7434500000.0,6704000000.0,7103000000.0,7434500000.0,6571000000.0,5900000000.0,5909084459.041426,5900000000.0,5131821243.836966,5808454439.82065,6287958045.350742,6671724112.433861,7054891008.0,7349037163.423047,7790838145.851944,6704000000.0,6704000000.0,7470295923.545562,5017809796.355157
FY2023_Q4,6051000000.0,1,7141500000.0,5931000000.0,7643000000.0,7141500000.0,5360333333.333333,6000000000.0,6008693219.516594,6000000000.0,5927169602.626089,5988135621.669165,6032303473.411976,6112564314.814816,5947235328.0,6195212235.529531,6311459271.882078,5931000000.0,5931000000.0,6004781924.111482,5909506167.913558
FY2024_Q1,7192000000.0,1,6743500000.0,6051000000.0,8288000000.0,6743500000.0,5305333333.333333,6500000000.0,6501827218.055378,6500000000.0,6585223246.891708,6467450600.505649,6343962302.815084,6557980289.68254,6504326656.0,6010366818.967096,6128175223.937928,6051000000.0,6051000000.0,6525696721.450717,6413940389.127722
