target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,9278870000.0,9462610000.0,9370740000.0,15,1,derived_weak_numeric,12,2,14,0,0.2142857142857142
FY2019_Q2,9621000000.0,9813420000.0,9717210000.0,13,1,derived_weak_numeric,21,6,5,0,0.2
FY2019_Q3,9753240000.0,9944480000.0,9848860000.0,22,1,derived_weak_numeric,12,2,15,0,0.0769230769230769
FY2019_Q4,9710140000.0,9902420000.0,9806280000.0,22,1,derived_weak_numeric,11,1,14,0,-0.0476190476190476
FY2020_Q1,9284930000.0,9468790000.0,9376860000.0,20,1,derived_weak_numeric,20,4,6,0,-0.2727272727272727
FY2020_Q2,9310180000.0,9494540000.0,9402360000.0,20,1,derived_weak_numeric,6,2,8,0,-0.2666666666666666
FY2020_Q3,9710140000.0,9902420000.0,9806280000.0,22,1,derived_weak_numeric,12,20,8,0,0.0
FY2020_Q4,,,,20,0,no_total_revenue_guidance_but_forward_commentary,4,19,11,0,-0.2
FY2021_Q1,9125820000.0,9310180000.0,9218000000.0,13,1,derived_weak_numeric,6,10,34,0,0.0666666666666666
FY2021_Q2,,,,16,0,none,8,1,9,0,0.2727272727272727
FY2021_Q3,9991920000.0,10187840000.0,10089880000.0,13,1,derived_weak_numeric,12,7,3,0,0.4
FY2021_Q4,,,,18,0,none,3,22,6,0,0.1111111111111111
FY2022_Q1,11339270000.0,11563810000.0,11451540000.0,20,1,derived_weak_numeric,6,2,11,0,0.6
FY2022_Q2,,,,20,0,none,11,2,12,0,0.1666666666666666
FY2022_Q3,10690100000.0,10891800000.0,10790950000.0,20,1,derived_weak_numeric,5,4,16,0,-0.2258064516129032
FY2022_Q4,11900620000.0,12125160000.0,12012890000.0,20,1,derived_weak_numeric,7,11,11,0,0.44
FY2023_Q1,13851630000.0,14088410000.0,13970020000.0,20,1,derived_weak_numeric,9,6,16,0,0.6774193548387096
FY2023_Q2,11914000000.0,12121200000.0,12017600000.0,20,1,derived_weak_numeric,8,1,15,0,0.0714285714285714
FY2023_Q3,12300210000.0,12510470000.0,12405340000.0,20,1,derived_weak_numeric,11,5,18,0,0.4545454545454545
FY2023_Q4,13614849999.999998,13851630000.0,13733240000.0,20,1,derived_weak_numeric,12,18,20,0,0.5757575757575758
FY2024_Q1,12360600000.0,12589500000.000002,12475050000.0,20,1,derived_weak_numeric,12,7,44,0,0.2222222222222222
FY2024_Q2,12888750000.0,13134250000.0,13011500000.0,13,1,derived_weak_numeric,11,5,31,0,0.0588235294117647
FY2024_Q3,,,,23,0,none,28,15,31,0,-0.8
FY2024_Q4,14076800000.0,14342400000.0,14209600000.0,14,1,derived_weak_numeric,20,12,22,0,0.0
FY2025_Q1,13075650000.0,13324710000.0,13200180000.0,20,1,derived_weak_numeric,14,9,21,0,-0.0769230769230769
FY2025_Q2,13846870000.0,14105690000.000002,13976280000.0,13,1,derived_weak_numeric,15,5,32,0,-0.1666666666666666
FY2025_Q3,24500000000.0,25500000000.0,25000000000.0,0,0,explicit_numeric,18,6,15,0,0.25
FY2025_Q4,15429960000.000002,15715700000.000002,15572830000.000002,13,1,derived_weak_numeric,29,13,11,0,0.2631578947368421
