quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,9193000000.0,9370740000.0,4.0,0.7189165669531165,0.0983356901990645,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/ORCL/FY2019_Q1.json,0.0,0.0,0.0,0.0,2.44,1.0,0.0,0.0,16.0,21.0
FY2019_Q2,9562000000.0,9717210000.0,4.0,0.6941016523739804,0.1272746287387575,NORMAL_BASELINE,NONE,0.0,-1.5000682040683126,replay_inputs/retained_336/retrieve/ORCL/FY2019_Q2.json,0.0,0.0,0.0,0.0,1.97,0.57,1.6315,3.263,12.750000000000002,33.0
FY2019_Q3,9614000000.0,9848860000.0,4.0,0.6929477844809653,0.130122737674225,NORMAL_BASELINE,NONE,0.0,-1.877616293662414,replay_inputs/retained_336/retrieve/ORCL/FY2019_Q3.json,0.0,0.0,0.0,0.0,3.19,0.6,2.2815000000000003,4.563000000000001,7.250000000000002,38.0
FY2019_Q4,11137000000.0,9806280000.0,4.0,0.6104875639759361,0.2262727844123193,NORMAL_BASELINE,NONE,0.0,-2.0268722696068235,replay_inputs/retained_336/retrieve/ORCL/FY2019_Q4.json,0.0,0.0,0.0,0.0,3.0,0.6,2.9250000000000003,2.9250000000000003,11.35,46.0
FY2020_Q1,9218000000.0,9376860000.0,4.0,0.7382295508787156,0.0884139726621826,NORMAL_BASELINE,NONE,0.0,-1.234365820678178,replay_inputs/retained_336/retrieve/ORCL/FY2020_Q1.json,0.0,0.0,0.0,0.0,2.96,1.14,1.9175,3.835,12.3,52.0
FY2020_Q2,9614000000.0,9402360000.0,4.0,0.7084460162263366,0.1171208654046182,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/ORCL/FY2020_Q2.json,0.0,0.0,0.0,0.0,1.6,0.57,0.0,0.0,12.65,60.0
FY2020_Q3,9796000000.0,9806280000.0,4.0,0.7074316047366271,0.1256635361371988,SHOCK_KG,UP,2.0,4.365496817141668,replay_inputs/retained_336/retrieve/ORCL/FY2020_Q3.json,0.0,0.0,0.0,0.0,5.830000000000001,0.54,2.86065,6.6014,24.833333333333325,81.0
FY2020_Q4,10440000000.0,9796000000.0,4.0,0.6557471264367816,0.1875478927203065,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/ORCL/FY2020_Q4.json,0.0,0.0,0.0,0.0,3.34,0.0,0.0,0.0,13.283333333333331,90.0
FY2021_Q1,9367000000.0,9218000000.0,4.0,0.7416462047613964,0.0945873812319846,NORMAL_BASELINE,NONE,0.0,0.8647202939975499,replay_inputs/retained_336/retrieve/ORCL/FY2021_Q1.json,0.0,0.0,0.0,0.0,2.91,0.6,1.9890000000000003,3.9780000000000006,21.033333333333324,104.0
FY2021_Q2,9800000000.0,9367000000.0,4.0,0.7257142857142858,0.1114285714285714,NORMAL_BASELINE,NONE,0.0,0.5945553539019964,replay_inputs/retained_336/retrieve/ORCL/FY2021_Q2.json,0.0,0.0,0.0,0.0,6.1,0.0,3.276,6.5520000000000005,24.83333333333333,118.0
