fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,9193000000.0,1,9845750000.0,10804000000.0,9187000000.0,9845750000.0,11343000000.0,9370740000.0,8980840836.197311,10804000000.0,9553372388.011189,9792176040.214462,9880666307.01783,8698994829.365078,8430226944.0,10104676859.121902,9770200830.617188,10804000000.0,10804000000.0,8836670494.582151,10540497343.969618
FY2019_Q2,9562000000.0,1,9847250000.0,9193000000.0,9621000000.0,9847250000.0,9050333333.333334,9717210000.0,9041049273.401628,9193000000.0,9424076304.551746,9521984698.535145,9632503337.393503,9737011596.560846,10178254848.0,10061335300.061398,9665823341.33129,9193000000.0,9193000000.0,9913206663.899963,9046840721.33104
FY2019_Q3,9614000000.0,1,9832500000.0,9562000000.0,9771000000.0,9832500000.0,9492333333.333334,9848860000.0,9121219161.106491,9562000000.0,8893355766.178606,8905586777.794813,9015511048.010546,10302064814.814816,10491340800.0,9814533236.6072,9644643565.43916,9562000000.0,9562000000.0,10462321277.73773,9435800543.960056
FY2019_Q4,11137000000.0,1,9793250000.0,9614000000.0,10804000000.0,9793250000.0,9217333333.333334,9806280000.0,9177051819.159006,9614000000.0,9277444682.982475,9260314831.190683,9315824537.071585,10071335084.65609,9506984960.0,9656757685.51686,9635800848.882816,9614000000.0,9614000000.0,9418642612.897375,9500278400.111423
FY2020_Q1,9218000000.0,1,9876500000.0,11137000000.0,9193000000.0,9876500000.0,11785000000.0,9376860000.0,9364777657.408022,11137000000.0,10013721197.652908,10108531795.44861,10100555633.168106,8864855634.920635,9336969216.0,9799439771.740627,9970073430.289465,11137000000.0,11137000000.0,9135299494.909618,11080288815.943005
FY2020_Q2,9614000000.0,1,9882750000.0,9218000000.0,9562000000.0,9882750000.0,9103333333.333334,9402360000.0,9351078431.525106,9218000000.0,9994908541.085196,10069676875.964235,10061808032.391628,9860008608.465612,9934358528.0,10121594042.729095,9843180634.847689,9218000000.0,9218000000.0,9787904369.563608,9093595266.78853
FY2020_Q3,9796000000.0,1,9895750000.0,9614000000.0,9614000000.0,9895750000.0,9614000000.0,9806280000.0,9395082009.212416,9614000000.0,9339100236.09976,9251076361.33528,9278437922.903234,10411157845.238094,11025441792.0,9906030491.706186,9813206125.210396,9614000000.0,9614000000.0,10329540334.280031,9482348477.329523
FY2020_Q4,10440000000.0,0,9941250000.0,9796000000.0,11137000000.0,9941250000.0,9349000000.0,9796000000.0,9796000000.0,9796000000.0,9466978710.671112,9463522372.308212,9430019773.559189,10588411686.507936,10512558080.0,9752906132.192522,11296635031.955362,9796000000.0,9796000000.0,9482321861.660204,10109433383.676804
FY2021_Q1,9367000000.0,1,9767000000.0,10440000000.0,9218000000.0,9767000000.0,10847333333.333334,9218000000.0,9399581295.216232,10440000000.0,9664000463.896572,9853447381.409262,9862776768.693346,8873636257.936506,9866573824.0,9801152128.86567,9975965940.667374,10440000000.0,10440000000.0,9203179161.527937,9912984256.350306
FY2021_Q2,9800000000.0,0,9804250000.0,9367000000.0,9614000000.0,9804250000.0,9284666666.666666,9367000000.0,9367000000.0,9367000000.0,9760747925.800922,9748281498.629658,9701020130.595816,9738550201.0582,10092879872.0,9944529964.316782,9872394415.89085,9367000000.0,9367000000.0,9886705472.84164,9728132786.54644
FY2021_Q3,10085000000.0,1,9850750000.0,9800000000.0,9796000000.0,9850750000.0,9801333333.333334,10089880000.0,9438117257.264517,9800000000.0,9628846092.145733,9386083021.748983,9408850965.681866,10245532710.31746,9984618496.0,9806882083.21124,9870078762.798643,9800000000.0,9800000000.0,10130027349.0997,9175462023.483446
FY2021_Q4,11227000000.0,0,9923000000.0,10085000000.0,10440000000.0,9923000000.0,9966666666.666666,10085000000.0,10085000000.0,10085000000.0,9687485388.388306,9685193658.809769,9648906329.6754,10071592920.634922,9805126656.0,9795543188.920948,11079320148.525976,10085000000.0,10085000000.0,8840470812.058086,10439000115.329777
FY2022_Q1,9728000000.0,1,10119750000.0,11227000000.0,9367000000.0,10119750000.0,11847000000.0,11451540000.0,9544184009.4033,11227000000.0,11076182659.131563,10240951603.39866,10240133409.765388,9123368428.571426,9531645952.0,10038529843.679718,10235302365.637152,11227000000.0,11227000000.0,9472088909.634785,10576246968.650717
FY2022_Q2,10360000000.0,0,10210000000.0,9728000000.0,9800000000.0,10210000000.0,9704000000.0,9728000000.0,9728000000.0,9728000000.0,10319107101.962996,10298739248.756756,10238143806.935003,9964593288.359783,9935867904.0,10401999722.406452,9945120495.765312,9728000000.0,9728000000.0,9837257992.424606,10284382118.61307
FY2022_Q3,10513000000.0,1,10350000000.0,10360000000.0,10085000000.0,10350000000.0,10451666666.666666,10790950000.0,9525741988.30249,10360000000.0,10122360277.944216,9734832484.803991,9752774099.782766,9503326402.1164,10816827392.0,10312538393.52153,10206602832.401962,10360000000.0,10360000000.0,9851082898.488243,9655150671.045555
FY2022_Q4,11839000000.0,1,10457000000.0,10513000000.0,11227000000.0,10457000000.0,10275000000.0,12012890000.0,9644795906.444244,10513000000.0,10993336643.283203,10139789214.492777,10132723519.21012,9423673182.53968,9830022144.0,10322326089.299765,11469291422.182337,10513000000.0,10513000000.0,10521030818.983288,10374333444.819233
FY2023_Q1,11445000000.0,1,10610000000.0,11839000000.0,9728000000.0,10610000000.0,12542666666.666666,13970020000.0,9935523993.90082,11839000000.0,13011552932.791325,10849705305.95206,10784775821.10081,9449892972.22222,9727077376.0,10533345381.673723,10031990406.79186,11839000000.0,11839000000.0,9479754124.021193,11697281614.308855
FY2023_Q2,12275000000.0,1,11039250000.0,11445000000.0,10360000000.0,11039250000.0,11806666666.666666,12017600000.0,9915981948.308472,11445000000.0,11951952833.183298,11391135731.384968,11318643019.025852,10274555674.603168,10661538816.0,11087736545.373907,10700765432.632511,11445000000.0,11445000000.0,10291767775.545313,11496607171.528349
FY2023_Q3,12398000000.0,1,11518000000.0,12275000000.0,10513000000.0,11518000000.0,12862333333.333334,12405340000.0,10101142091.770971,12275000000.0,12242475933.424118,11589175997.586905,11507351665.611748,11191857857.142857,11770831872.0,11499890868.810358,11462042386.812813,12275000000.0,12275000000.0,12272319492.847082,12228194514.838474
FY2023_Q4,13836000000.0,1,11989250000.0,12398000000.0,11839000000.0,11989250000.0,12584333333.333334,13733240000.0,10427742582.400558,12398000000.0,13156374119.94584,12145046070.031864,12024355923.303991,11643562940.476198,11990362112.0,11951483987.792852,11890873427.337612,12398000000.0,12398000000.0,12357813805.427006,12307236764.556108
FY2024_Q1,12453000000.0,1,12488500000.0,13836000000.0,11445000000.0,12488500000.0,14633000000.0,12475050000.0,10486007781.075283,13833627394.60594,13194659114.845291,12775943349.093975,12678172920.925137,12408335015.873016,13803881472.0,12510921131.521694,11740131847.289608,13836000000.0,13836000000.0,12532145389.764236,13931512194.58814
FY2024_Q2,12941000000.0,1,12740500000.0,12453000000.0,12275000000.0,12740500000.0,12512333333.333334,13011500000.0,10705339818.182674,12460709248.454006,13506343206.38818,12977155412.211246,12854919594.826023,12630087051.5873,13228950528.0,12995058311.166904,12340853665.726358,12453000000.0,12453000000.0,13823766469.477858,12401996461.510836
FY2024_Q3,13280000000.0,0,12907000000.0,12941000000.0,12398000000.0,12907000000.0,13122000000.0,12941000000.0,12941000000.0,12941000000.0,11878735761.39219,12002583089.380615,11937950653.77729,12149629708.99471,11929016320.0,12969938875.64463,12656179837.93409,12941000000.0,12941000000.0,12050387685.60419,13584763980.440674
FY2024_Q4,14287000000.0,1,13127500000.0,13280000000.0,13836000000.0,13127500000.0,13094666666.666666,14209600000.0,11118822424.632498,13294429031.325834,13691314283.140976,12924398763.919744,12805406544.531973,13024561544.97354,13230782464.0,13008264295.848612,14556512129.394196,13280000000.0,13280000000.0,13191396731.386112,12579902164.11646
FY2025_Q1,13307000000.0,1,13240250000.0,14287000000.0,12453000000.0,13240250000.0,14898333333.333334,13200180000.0,11106974446.55069,14263742369.41418,13920198310.552555,13504006263.923431,13398798302.69727,13280897507.936506,12490946560.0,13281847355.205256,13326691904.707544,14287000000.0,14287000000.0,13403427472.91814,14355466775.068224
FY2025_Q2,14059000000.0,1,13453750000.0,13307000000.0,12941000000.0,13453750000.0,13429000000.0,13976280000.0,11465139127.909374,13325722598.545113,14331012211.000605,13688891001.207756,13547267445.506824,13650407888.888887,13861388288.0,13645147161.583384,13928263958.752443,13307000000.0,13307000000.0,14275025651.9909,13272977471.14287
FY2025_Q3,14130000000.0,0,13733250000.0,14059000000.0,13280000000.0,13733250000.0,14318666666.666666,14059000000.0,14059000000.0,14059000000.0,7088394874.930731,12329958879.7657,12940157647.493942,13834970999.999994,12714179584.0,13715108786.57197,14225988606.94234,14059000000.0,14059000000.0,13884559301.592812,13679784594.287085
