target_fiscal_quarter,guid_low,guid_high,guid_mid,guidance_score,baseline_eligible,guidance_availability,demand_mentions,supply_constraint_mentions,margin_cost_mentions,segment_guidance_mentions,tone_score
FY2019_Q1,,,,11,0,none,32,3,59,0,0.76
FY2019_Q2,,,,14,0,none,24,9,37,0,0.3714285714285714
FY2019_Q3,,,,14,0,none,26,10,53,1,0.7435897435897436
FY2019_Q4,,,,15,0,none,16,9,54,1,0.5384615384615384
FY2020_Q1,,,,13,0,none,15,29,54,0,0.7435897435897436
FY2020_Q2,,,,18,0,none,6,16,67,0,0.6571428571428571
FY2020_Q3,,,,13,0,none,9,25,60,1,0.3333333333333333
FY2020_Q4,,,,14,0,none,7,18,55,1,0.5294117647058824
FY2021_Q1,,,,14,0,none,2,34,33,1,0.238095238095238
FY2021_Q2,,,,14,0,none,12,27,38,1,0.3548387096774194
FY2021_Q3,,,,13,0,none,6,40,29,1,0.3684210526315789
FY2021_Q4,,,,14,0,none,11,26,85,0,-0.2
FY2022_Q1,,,,14,0,none,2,38,57,0,0.1538461538461538
FY2022_Q2,,,,11,0,none,5,30,72,0,0.3888888888888889
FY2022_Q3,,,,14,0,none,15,32,43,0,0.1929824561403508
FY2022_Q4,,,,14,0,none,8,12,38,0,0.6923076923076923
FY2023_Q1,,,,11,0,none,18,16,78,0,0.36
FY2023_Q2,,,,14,0,none,15,17,85,0,0.4782608695652174
FY2023_Q3,,,,16,0,none,13,8,65,1,0.1153846153846153
FY2023_Q4,,,,14,0,none,4,3,58,1,0.2258064516129032
FY2024_Q1,,,,13,0,none,12,11,47,2,0.8
FY2024_Q2,,,,14,0,none,11,19,38,0,0.3888888888888889
FY2024_Q3,,,,11,0,none,15,4,17,0,0.3939393939393939
FY2024_Q4,,,,14,0,none,11,7,37,0,0.35
FY2025_Q1,,,,13,0,none,7,20,22,0,0.0
FY2025_Q2,,,,14,0,none,5,31,26,1,-0.3076923076923077
FY2025_Q3,,,,14,0,none,9,12,31,1,0.4736842105263157
FY2025_Q4,,,,16,0,none,8,17,17,1,0.3658536585365853
