quarter,actual,baseline_pred,segment_share_count,segment_share_top1,segment_share_top2,l2_mode,l2_gate_label,l2_rule_shock_signed,l2_gate_internal_forward_total_used,retrieve_path,fg_peer_qoq_sum,fg_peer_qoq_abs_sum,fg_peer_yoy_sum,fg_peer_yoy_abs_sum,fg_drv_mass_pos_total,fg_drv_mass_neg_total,fg_shock_abs_mean_nz,fg_shock_fwd_abs_sum,fg_churn_conf_mass,fg_kg_num_edges
FY2019_Q1,4541000000.0,7226000000.0,4.0,0.7726013021351705,0.1085425316593944,SHOCK_KG,UP,2.0,3.998867794410448,replay_inputs/retained_336/retrieve/TSLA/FY2019_Q1.json,0.0,0.0,0.0,0.0,3.65,0.0,2.4076000000000004,10.8342,8.2,271.0
FY2019_Q2,6350000000.0,4541000000.0,4.0,0.8139040480175681,0.0952928936846541,NORMAL_BASELINE,NONE,0.0,-0.101794264800954,replay_inputs/retained_336/retrieve/TSLA/FY2019_Q2.json,0.0,0.0,0.0,0.0,1.05,1.6,1.44625,1.339,9.45,279.0
FY2019_Q3,6303000000.0,6350000000.0,5.0,0.8418626827717737,0.0518118245390972,NORMAL_BASELINE,NONE,0.0,1.058075262422839,replay_inputs/retained_336/retrieve/TSLA/FY2019_Q3.json,0.0,0.0,0.0,0.0,3.6,0.0,1.3,1.3,9.9,287.0
FY2019_Q4,7384000000.0,6303000000.0,4.0,0.7882835389893801,0.1057481282618613,SHOCK_KG,DOWN,-0.9357303719008264,-1.8714607438016528,replay_inputs/retained_336/retrieve/TSLA/FY2019_Q4.json,0.0,0.0,0.0,0.0,2.0700000000000003,0.57,2.223,2.223,10.35,295.0
FY2020_Q1,5985000000.0,7384000000.0,4.0,0.8175438596491228,0.0935672514619883,SHOCK_KG,DOWN,-2.0,-3.2485164641752355,replay_inputs/retained_336/retrieve/TSLA/FY2020_Q1.json,0.0,0.0,0.0,0.0,2.5700000000000003,1.7999999999999998,2.3400000000000003,4.121,10.55,305.0
FY2020_Q2,6036000000.0,5985000000.0,5.0,0.8105124402702257,0.0996869335969682,SHOCK_KG,UP,2.0,2.9609803508771937,replay_inputs/retained_336/retrieve/TSLA/FY2020_Q2.json,0.0,0.0,0.0,0.0,3.33,0.95,1.75825,3.621800000000001,9.4,313.0
FY2020_Q3,8771000000.0,6036000000.0,4.0,0.8375327784745183,0.0662410215482841,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/TSLA/FY2020_Q3.json,0.0,0.0,0.0,0.0,2.44,0.99,0.0,0.0,5.74,319.0
FY2020_Q4,10744000000.0,8771000000.0,4.0,0.8340417667713916,0.0827943078913324,NORMAL_BASELINE,NONE,0.0,1.0446265534146624,replay_inputs/retained_336/retrieve/TSLA/FY2020_Q4.json,0.0,0.0,0.0,0.0,2.5700000000000003,1.9,2.1060000000000003,5.265000000000001,5.500000000000001,325.0
FY2021_Q1,10389000000.0,10744000000.0,4.0,0.8379054769467706,0.085956299932621,SHOCK_KG,DOWN,-1.0,-3.550737017187211,replay_inputs/retained_336/retrieve/TSLA/FY2021_Q1.json,0.0,0.0,0.0,0.0,3.88,1.14,2.0358,6.786,12.0,336.0
FY2021_Q2,11958000000.0,10389000000.0,4.0,0.8257233651112226,0.0795283492222779,NORMAL_BASELINE,NONE,0.0,-2.4091256136298003,replay_inputs/retained_336/retrieve/TSLA/FY2021_Q2.json,0.0,0.0,0.0,0.0,2.76,4.45,2.11068,4.1652,18.54,354.0
FY2021_Q3,13757000000.0,11958000000.0,4.0,0.8484407937777132,0.0649850984953114,NORMAL_BASELINE,NONE,0.0,-0.7572320622177622,replay_inputs/retained_336/retrieve/TSLA/FY2021_Q3.json,0.0,0.0,0.0,0.0,4.630000000000001,1.5499999999999998,1.5513333333333332,4.069,13.09,366.0
FY2021_Q4,17719000000.0,13757000000.0,5.0,0.7830012980416502,0.082679609458773,NORMAL_BASELINE,NONE,0.0,-3.672900196263721,replay_inputs/retained_336/retrieve/TSLA/FY2021_Q4.json,0.0,0.0,0.0,0.0,2.2,4.3100000000000005,2.886000000000001,4.329000000000001,13.8,380.0
FY2022_Q1,18756000000.0,17719000000.0,5.0,0.827148645766688,0.0681915120494775,NORMAL_BASELINE,NONE,0.0,1.875128393250184,replay_inputs/retained_336/retrieve/TSLA/FY2022_Q1.json,0.0,0.0,0.0,0.0,4.13,0.95,1.43325,3.4450000000000003,6.44,385.0
FY2022_Q2,16934000000.0,18756000000.0,5.0,0.8072516830046061,0.0865713948269753,SHOCK_KG,DOWN,-0.9247521859671572,-0.9247521859671572,replay_inputs/retained_336/retrieve/TSLA/FY2022_Q2.json,0.0,0.0,0.0,0.0,1.29,2.93,1.196,1.118,11.389999999999995,395.0
FY2022_Q3,21454000000.0,16934000000.0,5.0,0.8289829402442435,0.0766756781952083,NORMAL_BASELINE,NONE,0.0,-1.7945204913192394,replay_inputs/retained_336/retrieve/TSLA/FY2022_Q3.json,0.0,0.0,0.0,0.0,1.62,2.6,2.2230000000000003,2.223,13.94,407.0
FY2022_Q4,24318000000.0,21454000000.0,5.0,0.8323464100666174,0.0699481865284974,NORMAL_BASELINE,NONE,0.0,-0.7242770578913024,replay_inputs/retained_336/retrieve/TSLA/FY2022_Q4.json,0.0,0.0,0.0,0.0,4.44,2.28,1.716,2.808,14.189999999999998,421.0
FY2023_Q1,23329000000.0,24318000000.0,5.0,0.8092074242359295,0.0787431951648163,NORMAL_BASELINE,NONE,0.0,1.5148704663212436,replay_inputs/retained_336/retrieve/TSLA/FY2023_Q1.json,0.0,0.0,0.0,0.0,3.8,0.6,1.82,1.82,13.89,433.0
FY2023_Q2,24927000000.0,23329000000.0,5.0,0.8191519236169615,0.08625185541782,NORMAL_BASELINE,NONE,0.0,0.0,replay_inputs/retained_336/retrieve/TSLA/FY2023_Q2.json,0.0,0.0,0.0,0.0,1.9,1.37,0.0,0.0,9.39,440.0
FY2023_Q3,23350000000.0,24927000000.0,5.0,0.7958029978586724,0.0927623126338329,NORMAL_BASELINE,NONE,0.0,1.4908565009828698,replay_inputs/retained_336/retrieve/TSLA/FY2023_Q3.json,0.0,0.0,0.0,0.0,5.970000000000001,0.57,1.9543333333333333,1.82,18.39,456.0
FY2023_Q4,25167000000.0,23350000000.0,5.0,0.8197242420630191,0.0860650852306592,NORMAL_BASELINE,NONE,0.0,-0.320708608137045,replay_inputs/retained_336/retrieve/TSLA/FY2023_Q4.json,0.0,0.0,0.0,0.0,5.4,3.77,1.313,0.403,23.69,477.0
FY2024_Q1,21301000000.0,25167000000.0,5.0,0.7727336744753768,0.1074127975212431,SHOCK_KG,UP,2.0,2.514358425716216,replay_inputs/retained_336/retrieve/TSLA/FY2024_Q1.json,0.0,0.0,0.0,0.0,5.62,0.0,2.326458333333333,8.368749999999999,11.24,487.0
FY2024_Q2,25500000000.0,21301000000.0,5.0,0.7266666666666667,0.1181960784313725,SHOCK_KG,UP,2.0,3.263859912680155,replay_inputs/retained_336/retrieve/TSLA/FY2024_Q2.json,0.0,0.0,0.0,0.0,5.370000000000001,1.6,2.5609999999999995,5.863,10.9,497.0
FY2024_Q3,25182000000.0,25500000000.0,5.0,0.7477960447939004,0.1107934238741958,NORMAL_BASELINE,NONE,0.0,1.171386666666667,replay_inputs/retained_336/retrieve/TSLA/FY2024_Q3.json,0.0,0.0,0.0,0.0,1.49,0.57,1.1526666666666665,1.6120000000000003,9.54,504.0
FY2024_Q4,25707000000.0,25182000000.0,5.0,0.7258334305831097,0.1190726261329599,SHOCK_KG,UP,2.0,3.9478193709792704,replay_inputs/retained_336/retrieve/TSLA/FY2024_Q4.json,0.0,0.0,0.0,0.0,6.88,0.54,2.30035,10.3714,18.24,521.0
FY2025_Q1,19335000000.0,25707000000.0,5.0,0.6684768554434962,0.1411947245927075,SHOCK_KG,DOWN,-2.0,-2.258938802660753,replay_inputs/retained_336/retrieve/TSLA/FY2025_Q1.json,0.0,0.0,0.0,0.0,1.49,2.75,3.1122,3.1122,7.540000000000001,527.0
FY2025_Q2,22496000000.0,19335000000.0,5.0,0.7017692034139402,0.1354018492176387,NORMAL_BASELINE,NONE,0.0,-0.5832720455133178,replay_inputs/retained_336/retrieve/TSLA/FY2025_Q2.json,0.0,0.0,0.0,0.0,2.6,1.7399999999999998,1.482,2.626,14.84,537.0
FY2025_Q3,28095000000.0,22496000000.0,5.0,0.7246485139704574,0.1236874888770243,NORMAL_BASELINE,NONE,0.0,-2.523801455814367,replay_inputs/retained_336/retrieve/TSLA/FY2025_Q3.json,0.0,0.0,0.0,0.0,4.09,6.0200000000000005,2.0645083333333334,6.4746500000000005,21.19,555.0
FY2025_Q4,24901000000.0,28095000000.0,5.0,0.6726637484438376,0.1540901971808361,SHOCK_KG,UP,2.0,4.875112439935931,replay_inputs/retained_336/retrieve/TSLA/FY2025_Q4.json,0.0,0.0,0.0,0.0,5.48,1.08,4.39335,12.8232,14.79,569.0
