fiscal_quarter,y_true,guid_available,pred__mean,pred__naive,pred__seasonal_naive_q4,pred__ma,pred__drift,pred__guid_mid,pred__guid_affine,pred__guid_blend,pred__linear_lag_guid,pred__ridge_lag_guid,pred__elasticnet_lag_guid,pred__rf_lag_guid,pred__xgb_lag_guid,pred__auto_arima_small,pred__auto_ets,pred__auto_theta,pred__prophet,pred__lgbm_lag_guid,pred__sarimax_guid
FY2019_Q1,4541000000.0,0,5365250000.0,7226000000.0,3409000000.0,5365250000.0,8498333333.333333,7226000000.0,7226000000.0,7226000000.0,8916727147.182112,8977314722.38459,8962200204.942755,5794563804.722222,7224872960.0,7921891633.870318,8045831736.595127,7226000000.0,7226000000.0,5365249860.664274,8391118056.56299
FY2019_Q2,6350000000.0,0,5648250000.0,4541000000.0,4002000000.0,5648250000.0,4720666666.666667,4541000000.0,4541000000.0,4541000000.0,2922927476.160016,4530175274.790964,4812627002.820066,5560786543.924605,6565062656.0,3123331108.974826,4541000040.009618,4541000000.0,4541000000.0,4744999904.316087,4581076726.190588
FY2019_Q3,6303000000.0,0,6235250000.0,6350000000.0,6824000000.0,6235250000.0,6192000000.0,6350000000.0,6350000000.0,6350000000.0,6219133650.400982,6026886933.331688,5955871951.835322,6070677153.753966,6806123520.0,7985695576.299449,6977800062.432193,6350000000.0,6350000000.0,6039000036.250018,6657117946.075737
FY2019_Q4,7384000000.0,0,6105000000.0,6303000000.0,7226000000.0,6105000000.0,5995333333.333333,6303000000.0,6303000000.0,6303000000.0,6605645034.637682,6578653858.795732,6554548189.713396,5925956115.079361,6338744320.0,4942089695.392053,7205009264.920507,6303000000.0,6303000000.0,6105000045.997277,6549633283.459907
FY2020_Q1,5985000000.0,0,6144500000.0,7384000000.0,4541000000.0,6144500000.0,8331666666.666667,7384000000.0,7384000000.0,7384000000.0,7583883386.884061,7450104330.679111,7384178548.558036,6307391333.33333,4779824128.0,7384000000.0,7704797746.198511,7384000000.0,7384000000.0,6599858399.333329,7810049890.1644335
FY2020_Q2,6036000000.0,0,6505500000.0,5985000000.0,6350000000.0,6505500000.0,5863333333.333333,5985000000.0,5985000000.0,5985000000.0,6578847325.187462,6662090337.325592,6672410682.968386,6477447765.873017,6351293440.0,5985000000.0,7132062990.285831,5985000000.0,5985000000.0,6800678672.479538,6091514018.969382
FY2020_Q3,8771000000.0,0,6427000000.0,6036000000.0,6303000000.0,6427000000.0,5947000000.0,6036000000.0,6036000000.0,6036000000.0,6154265755.116566,6117589377.303642,6087268581.663991,6510183473.201059,6620192768.0,6036000000.0,6097024662.340676,6036000000.0,6036000000.0,7619500091.919965,6138052921.3752985
FY2020_Q4,10744000000.0,0,7044000000.0,8771000000.0,7384000000.0,7044000000.0,9233333333.333334,8771000000.0,8771000000.0,8771000000.0,8489463387.371833,8218993365.786759,8084760252.196834,6439094027.777777,6809902080.0,8385358236.681156,8038581000.008367,8771000000.0,8771000000.0,4740087826.828577,9259291003.718918
FY2021_Q1,10389000000.0,0,7884000000.0,10744000000.0,5985000000.0,7884000000.0,12330333333.333334,10744000000.0,10744000000.0,10744000000.0,11366371113.940763,11100564699.97836,10944078080.257092,6422841201.058201,7999006208.0,10744000000.0,9293890178.401342,10744000000.0,10744000000.0,4582984019.905729,11629475610.434998
FY2021_Q2,11958000000.0,0,8985000000.0,10389000000.0,6036000000.0,8985000000.0,11840000000.0,10389000000.0,10389000000.0,10389000000.0,11090613810.505634,11174081970.874514,11165662491.58632,8750180765.873018,10181107712.0,10389000000.0,10389000005.289911,10389000000.0,10389000000.0,7465000067.575676,11015348797.657082
FY2021_Q3,13757000000.0,0,10465500000.0,11958000000.0,8771000000.0,10465500000.0,13020333333.333334,11958000000.0,11958000000.0,11958000000.0,12621561061.09014,12409794708.219212,12264796573.640728,10043945425.925926,10390233088.0,11958000000.0,12184619845.192234,11958000000.0,11958000000.0,11172749513.392128,12843818060.57901
FY2021_Q4,17719000000.0,0,11712000000.0,13757000000.0,10744000000.0,11712000000.0,14761333333.333334,13757000000.0,13757000000.0,13757000000.0,14768057460.491398,14527248884.991154,14355144578.281303,11545719416.666664,13626523648.0,13757000000.0,14108880942.598028,13757000000.0,13757000000.0,12032584827.757164,14952139823.5092
FY2022_Q1,18756000000.0,0,13455750000.0,17719000000.0,10389000000.0,13455750000.0,20162333333.33333,17719000000.0,17719000000.0,17719000000.0,19599076931.556507,18955503475.42924,18596284214.101788,13734434666.666668,17713299456.0,18836524369.969185,16247192511.640228,17719000000.0,17719000000.0,13453880372.438734,19905276885.655186
FY2022_Q2,16934000000.0,0,15547500000.0,18756000000.0,11958000000.0,15547500000.0,21022000000.0,18756000000.0,18756000000.0,18756000000.0,21055717327.6538,21129739950.261948,21021311244.2386,15827657534.391542,18748674048.0,19940527816.676743,20260303468.27181,18756000000.0,18756000000.0,18237499376.490986,20788657362.32409
FY2022_Q3,21454000000.0,0,16791500000.0,16934000000.0,13757000000.0,16791500000.0,17993000000.0,16934000000.0,16934000000.0,16934000000.0,18001771402.179142,18883138012.41655,19047241578.46504,16731188035.7143,17633556480.0,16445672547.484451,17564192744.60645,16934000000.0,16934000000.0,17802999456.43955,18052517451.514225
FY2022_Q4,24318000000.0,0,18715750000.0,21454000000.0,17719000000.0,18715750000.0,22699000000.0,21454000000.0,21454000000.0,21454000000.0,22623760696.32494,21977471747.249565,21591051979.526325,18113411682.53969,16975325184.0,21454000000.0,24493449287.80196,21454000000.0,21454000000.0,18715749601.34387,23490490133.417675
FY2023_Q1,23329000000.0,0,20365500000.0,24318000000.0,18756000000.0,20365500000.0,26172000000.0,24318000000.0,24318000000.0,24318000000.0,26691241261.525,26359879362.51852,26045204990.34436,19723680277.777782,24303587328.0,25846892481.68068,24418117052.609444,24318000000.0,24318000000.0,19962709141.990906,26802185087.551643
FY2023_Q2,24927000000.0,0,21508750000.0,23329000000.0,16934000000.0,21508750000.0,25460666666.666668,23329000000.0,23329000000.0,23329000000.0,25677247381.97959,26145586949.60167,26096733965.950737,21538320588.62433,24189669376.0,25765594801.4152,23277707609.41956,23329000000.0,23329000000.0,21365324252.88888,25065420938.28658
FY2023_Q3,23350000000.0,0,23507000000.0,24927000000.0,21454000000.0,23507000000.0,26084666666.666668,24927000000.0,24927000000.0,24927000000.0,26696269737.356705,26537672646.57772,26277232175.075867,23038808489.417988,23333531648.0,26538897641.61434,28050368318.113045,24927000000.0,24927000000.0,22412881804.39566,26759946988.805782
FY2023_Q4,25167000000.0,0,23981000000.0,23350000000.0,24318000000.0,23981000000.0,23027333333.33333,23350000000.0,23350000000.0,23350000000.0,24951875240.69266,25531379498.79133,25503767094.018063,23636282123.01588,24924377088.0,23350000000.0,25345576960.256824,23350000000.0,23350000000.0,23596111263.811363,24595804907.093952
FY2024_Q1,21301000000.0,0,24193250000.0,25167000000.0,23329000000.0,24193250000.0,25779666666.666668,25167000000.0,25167000000.0,25167000000.0,26372005322.13609,26073549085.34669,25769475025.7484,23772970337.30159,23346929664.0,25167000000.0,26205712614.23148,25167000000.0,25167000000.0,24886156469.433323,26580302704.84022
FY2024_Q2,25500000000.0,0,23686250000.0,21301000000.0,24927000000.0,23686250000.0,20092333333.33333,21301000000.0,21301000000.0,21301000000.0,22738476579.87693,23675814521.805622,23770801842.652428,24214336645.50265,18975459328.0,22553131109.247005,22465387796.79609,21301000000.0,21301000000.0,23279590935.36879,21972212724.94393
FY2024_Q3,25182000000.0,0,23829500000.0,25500000000.0,23350000000.0,23829500000.0,26216666666.666668,25500000000.0,25500000000.0,25500000000.0,25514913061.945705,24934117001.888992,24534200882.64065,22831250642.857147,21450158080.0,23411926100.12442,25620649482.40113,25500000000.0,25500000000.0,22125334681.42332,26631385567.590275
