ticker,observed_fiscal_quarter,target_fiscal_quarter
AAPL,FY2018_Q4,FY2019_Q1
AAPL,FY2019_Q1,FY2019_Q2
AAPL,FY2019_Q2,FY2019_Q3
AAPL,FY2019_Q3,FY2019_Q4
AAPL,FY2019_Q4,FY2020_Q1
AAPL,FY2020_Q1,FY2020_Q2
AAPL,FY2020_Q2,FY2020_Q3
AAPL,FY2020_Q3,FY2020_Q4
AAPL,FY2020_Q4,FY2021_Q1
AAPL,FY2021_Q1,FY2021_Q2
AAPL,FY2021_Q2,FY2021_Q3
AAPL,FY2021_Q3,FY2021_Q4
AAPL,FY2021_Q4,FY2022_Q1
AAPL,FY2022_Q1,FY2022_Q2
AAPL,FY2022_Q2,FY2022_Q3
AAPL,FY2022_Q3,FY2022_Q4
AAPL,FY2022_Q4,FY2023_Q1
AAPL,FY2023_Q1,FY2023_Q2
AAPL,FY2023_Q2,FY2023_Q3
AAPL,FY2023_Q3,FY2023_Q4
AAPL,FY2023_Q4,FY2024_Q1
AAPL,FY2024_Q1,FY2024_Q2
AAPL,FY2024_Q2,FY2024_Q3
AAPL,FY2024_Q3,FY2024_Q4
AAPL,FY2024_Q4,FY2025_Q1
AAPL,FY2025_Q1,FY2025_Q2
AAPL,FY2025_Q2,FY2025_Q3
AAPL,FY2025_Q3,FY2025_Q4
NVDA,FY2018_Q4,FY2019_Q1
NVDA,FY2019_Q1,FY2019_Q2
NVDA,FY2019_Q2,FY2019_Q3
NVDA,FY2019_Q3,FY2019_Q4
NVDA,FY2019_Q4,FY2020_Q1
NVDA,FY2020_Q1,FY2020_Q2
NVDA,FY2020_Q2,FY2020_Q3
NVDA,FY2020_Q3,FY2020_Q4
NVDA,FY2020_Q4,FY2021_Q1
NVDA,FY2021_Q1,FY2021_Q2
NVDA,FY2021_Q2,FY2021_Q3
NVDA,FY2021_Q3,FY2021_Q4
NVDA,FY2021_Q4,FY2022_Q1
NVDA,FY2022_Q1,FY2022_Q2
NVDA,FY2022_Q2,FY2022_Q3
NVDA,FY2022_Q3,FY2022_Q4
NVDA,FY2022_Q4,FY2023_Q1
NVDA,FY2023_Q1,FY2023_Q2
NVDA,FY2023_Q2,FY2023_Q3
NVDA,FY2023_Q3,FY2023_Q4
NVDA,FY2023_Q4,FY2024_Q1
NVDA,FY2024_Q1,FY2024_Q2
NVDA,FY2024_Q2,FY2024_Q3
NVDA,FY2024_Q3,FY2024_Q4
NVDA,FY2024_Q4,FY2025_Q1
NVDA,FY2025_Q1,FY2025_Q2
NVDA,FY2025_Q2,FY2025_Q3
NVDA,FY2025_Q3,FY2025_Q4
AVGO,FY2018_Q4,FY2019_Q1
AVGO,FY2019_Q1,FY2019_Q2
AVGO,FY2019_Q2,FY2019_Q3
AVGO,FY2019_Q3,FY2019_Q4
AVGO,FY2019_Q4,FY2020_Q1
AVGO,FY2020_Q1,FY2020_Q2
AVGO,FY2020_Q2,FY2020_Q3
AVGO,FY2020_Q3,FY2020_Q4
AVGO,FY2020_Q4,FY2021_Q1
AVGO,FY2021_Q1,FY2021_Q2
AVGO,FY2021_Q2,FY2021_Q3
AVGO,FY2021_Q3,FY2021_Q4
AVGO,FY2021_Q4,FY2022_Q1
AVGO,FY2022_Q1,FY2022_Q2
AVGO,FY2022_Q2,FY2022_Q3
AVGO,FY2022_Q3,FY2022_Q4
AVGO,FY2022_Q4,FY2023_Q1
AVGO,FY2023_Q1,FY2023_Q2
AVGO,FY2023_Q2,FY2023_Q3
AVGO,FY2023_Q3,FY2023_Q4
AVGO,FY2023_Q4,FY2024_Q1
AVGO,FY2024_Q1,FY2024_Q2
AVGO,FY2024_Q2,FY2024_Q3
AVGO,FY2024_Q3,FY2024_Q4
AVGO,FY2024_Q4,FY2025_Q1
AVGO,FY2025_Q1,FY2025_Q2
AVGO,FY2025_Q2,FY2025_Q3
AVGO,FY2025_Q3,FY2025_Q4
AMZN,FY2018_Q4,FY2019_Q1
AMZN,FY2019_Q1,FY2019_Q2
AMZN,FY2019_Q2,FY2019_Q3
AMZN,FY2019_Q3,FY2019_Q4
AMZN,FY2019_Q4,FY2020_Q1
AMZN,FY2020_Q1,FY2020_Q2
AMZN,FY2020_Q2,FY2020_Q3
AMZN,FY2020_Q3,FY2020_Q4
AMZN,FY2020_Q4,FY2021_Q1
AMZN,FY2021_Q1,FY2021_Q2
AMZN,FY2021_Q2,FY2021_Q3
AMZN,FY2021_Q3,FY2021_Q4
AMZN,FY2021_Q4,FY2022_Q1
AMZN,FY2022_Q1,FY2022_Q2
AMZN,FY2022_Q2,FY2022_Q3
AMZN,FY2022_Q3,FY2022_Q4
AMZN,FY2022_Q4,FY2023_Q1
AMZN,FY2023_Q1,FY2023_Q2
AMZN,FY2023_Q2,FY2023_Q3
AMZN,FY2023_Q3,FY2023_Q4
AMZN,FY2023_Q4,FY2024_Q1
AMZN,FY2024_Q1,FY2024_Q2
AMZN,FY2024_Q2,FY2024_Q3
AMZN,FY2024_Q3,FY2024_Q4
AMZN,FY2024_Q4,FY2025_Q1
AMZN,FY2025_Q1,FY2025_Q2
AMZN,FY2025_Q2,FY2025_Q3
AMZN,FY2025_Q3,FY2025_Q4
ASML,FY2018_Q4,FY2019_Q1
ASML,FY2019_Q1,FY2019_Q2
ASML,FY2019_Q2,FY2019_Q3
ASML,FY2019_Q3,FY2019_Q4
ASML,FY2019_Q4,FY2020_Q1
ASML,FY2020_Q1,FY2020_Q2
ASML,FY2020_Q2,FY2020_Q3
ASML,FY2020_Q3,FY2020_Q4
ASML,FY2020_Q4,FY2021_Q1
ASML,FY2021_Q1,FY2021_Q2
ASML,FY2021_Q2,FY2021_Q3
ASML,FY2021_Q3,FY2021_Q4
ASML,FY2021_Q4,FY2022_Q1
ASML,FY2022_Q1,FY2022_Q2
ASML,FY2022_Q2,FY2022_Q3
ASML,FY2022_Q3,FY2022_Q4
ASML,FY2022_Q4,FY2023_Q1
ASML,FY2023_Q1,FY2023_Q2
ASML,FY2023_Q2,FY2023_Q3
ASML,FY2023_Q3,FY2023_Q4
ASML,FY2023_Q4,FY2024_Q1
ASML,FY2024_Q1,FY2024_Q2
ASML,FY2024_Q2,FY2024_Q3
ASML,FY2024_Q3,FY2024_Q4
ASML,FY2024_Q4,FY2025_Q1
ASML,FY2025_Q1,FY2025_Q2
ASML,FY2025_Q2,FY2025_Q3
ASML,FY2025_Q3,FY2025_Q4
GOOGL,FY2018_Q4,FY2019_Q1
GOOGL,FY2019_Q1,FY2019_Q2
GOOGL,FY2019_Q2,FY2019_Q3
GOOGL,FY2019_Q3,FY2019_Q4
GOOGL,FY2019_Q4,FY2020_Q1
GOOGL,FY2020_Q1,FY2020_Q2
GOOGL,FY2020_Q2,FY2020_Q3
GOOGL,FY2020_Q3,FY2020_Q4
GOOGL,FY2020_Q4,FY2021_Q1
GOOGL,FY2021_Q1,FY2021_Q2
GOOGL,FY2021_Q2,FY2021_Q3
GOOGL,FY2021_Q3,FY2021_Q4
GOOGL,FY2021_Q4,FY2022_Q1
GOOGL,FY2022_Q1,FY2022_Q2
GOOGL,FY2022_Q2,FY2022_Q3
GOOGL,FY2022_Q3,FY2022_Q4
GOOGL,FY2022_Q4,FY2023_Q1
GOOGL,FY2023_Q1,FY2023_Q2
GOOGL,FY2023_Q2,FY2023_Q3
GOOGL,FY2023_Q3,FY2023_Q4
GOOGL,FY2023_Q4,FY2024_Q1
GOOGL,FY2024_Q1,FY2024_Q2
GOOGL,FY2024_Q2,FY2024_Q3
GOOGL,FY2024_Q3,FY2024_Q4
GOOGL,FY2024_Q4,FY2025_Q1
GOOGL,FY2025_Q1,FY2025_Q2
GOOGL,FY2025_Q2,FY2025_Q3
GOOGL,FY2025_Q3,FY2025_Q4
INTC,FY2018_Q4,FY2019_Q1
INTC,FY2019_Q1,FY2019_Q2
INTC,FY2019_Q2,FY2019_Q3
INTC,FY2019_Q3,FY2019_Q4
INTC,FY2019_Q4,FY2020_Q1
INTC,FY2020_Q1,FY2020_Q2
INTC,FY2020_Q2,FY2020_Q3
INTC,FY2020_Q3,FY2020_Q4
INTC,FY2020_Q4,FY2021_Q1
INTC,FY2021_Q1,FY2021_Q2
INTC,FY2021_Q2,FY2021_Q3
INTC,FY2021_Q3,FY2021_Q4
INTC,FY2021_Q4,FY2022_Q1
INTC,FY2022_Q1,FY2022_Q2
INTC,FY2022_Q2,FY2022_Q3
INTC,FY2022_Q3,FY2022_Q4
INTC,FY2022_Q4,FY2023_Q1
INTC,FY2023_Q1,FY2023_Q2
INTC,FY2023_Q2,FY2023_Q3
INTC,FY2023_Q3,FY2023_Q4
INTC,FY2023_Q4,FY2024_Q1
INTC,FY2024_Q1,FY2024_Q2
INTC,FY2024_Q2,FY2024_Q3
INTC,FY2024_Q3,FY2024_Q4
INTC,FY2024_Q4,FY2025_Q1
INTC,FY2025_Q1,FY2025_Q2
INTC,FY2025_Q2,FY2025_Q3
INTC,FY2025_Q3,FY2025_Q4
META,FY2018_Q4,FY2019_Q1
META,FY2019_Q1,FY2019_Q2
META,FY2019_Q2,FY2019_Q3
META,FY2019_Q3,FY2019_Q4
META,FY2019_Q4,FY2020_Q1
META,FY2020_Q1,FY2020_Q2
META,FY2020_Q2,FY2020_Q3
META,FY2020_Q3,FY2020_Q4
META,FY2020_Q4,FY2021_Q1
META,FY2021_Q1,FY2021_Q2
META,FY2021_Q2,FY2021_Q3
META,FY2021_Q3,FY2021_Q4
META,FY2021_Q4,FY2022_Q1
META,FY2022_Q1,FY2022_Q2
META,FY2022_Q2,FY2022_Q3
META,FY2022_Q3,FY2022_Q4
META,FY2022_Q4,FY2023_Q1
META,FY2023_Q1,FY2023_Q2
META,FY2023_Q2,FY2023_Q3
META,FY2023_Q3,FY2023_Q4
META,FY2023_Q4,FY2024_Q1
META,FY2024_Q1,FY2024_Q2
META,FY2024_Q2,FY2024_Q3
META,FY2024_Q3,FY2024_Q4
META,FY2024_Q4,FY2025_Q1
META,FY2025_Q1,FY2025_Q2
META,FY2025_Q2,FY2025_Q3
META,FY2025_Q3,FY2025_Q4
MSFT,FY2018_Q4,FY2019_Q1
MSFT,FY2019_Q1,FY2019_Q2
MSFT,FY2019_Q2,FY2019_Q3
MSFT,FY2019_Q3,FY2019_Q4
MSFT,FY2019_Q4,FY2020_Q1
MSFT,FY2020_Q1,FY2020_Q2
MSFT,FY2020_Q2,FY2020_Q3
MSFT,FY2020_Q3,FY2020_Q4
MSFT,FY2020_Q4,FY2021_Q1
MSFT,FY2021_Q1,FY2021_Q2
MSFT,FY2021_Q2,FY2021_Q3
MSFT,FY2021_Q3,FY2021_Q4
MSFT,FY2021_Q4,FY2022_Q1
MSFT,FY2022_Q1,FY2022_Q2
