ticker,quarter,surface,pred_came_ge_v1p1_noguidance_anchor_guard_candidate
AAPL,FY2019_Q1,main_all12_topall,91000000000.0
AAPL,FY2019_Q2,main_all12_topall,57000000000.0
AAPL,FY2019_Q3,main_all12_topall,53500000000.0
AAPL,FY2019_Q4,main_all12_topall,32030500000.0
AAPL,FY2020_Q1,main_all12_topall,87499999999.99998
AAPL,FY2020_Q2,main_all12_topall,65000000000.00001
AAPL,FY2020_Q3,main_all12_topall,53927214792.60277
AAPL,FY2020_Q4,main_all12_topall,67257998174.1985
AAPL,FY2021_Q1,main_all12_topall,91928461116.64966
AAPL,FY2021_Q2,main_all12_topall,67939116533.84829
AAPL,FY2021_Q3,main_all12_topall,81586391796.18408
AAPL,FY2021_Q4,main_all12_topall,92613655354.81668
AAPL,FY2022_Q1,main_all12_topall,122981049976.96048
AAPL,FY2022_Q2,main_all12_topall,93356385386.90016
AAPL,FY2022_Q3,main_all12_topall,87585876283.06288
AAPL,FY2022_Q4,main_all12_topall,90086324525.78207
AAPL,FY2023_Q1,main_all12_topall,131161318798.92397
AAPL,FY2023_Q2,main_all12_topall,93000640895.40604
AAPL,FY2023_Q3,main_all12_topall,82701702424.2
AAPL,FY2023_Q4,main_all12_topall,87416839576.28404
AAPL,FY2024_Q1,main_all12_topall,122627409315.20802
AAPL,FY2024_Q2,main_all12_topall,98544079360.84056
AAPL,FY2024_Q3,main_all12_topall,80421289498.18916
AAPL,FY2024_Q4,main_all12_topall,93339195477.17416
AAPL,FY2025_Q1,main_all12_topall,124381808429.9252
AAPL,FY2025_Q2,main_all12_topall,99928529721.5149
AAPL,FY2025_Q3,main_all12_topall,90423707821.68454
AAPL,FY2025_Q4,main_all12_topall,97314385335.0618
AMZN,FY2019_Q1,main_all12_topall,51042000000.0
AMZN,FY2019_Q2,main_all12_topall,52886000000.0
AMZN,FY2019_Q3,main_all12_topall,64796497489.04415
AMZN,FY2019_Q4,main_all12_topall,79754355023.88013
AMZN,FY2020_Q1,main_all12_topall,71000000000.0
AMZN,FY2020_Q2,main_all12_topall,78000000000.0
AMZN,FY2020_Q3,main_all12_topall,89999999999.99998
AMZN,FY2020_Q4,main_all12_topall,114660574027.86716
AMZN,FY2021_Q1,main_all12_topall,109230097233.8404
AMZN,FY2021_Q2,main_all12_topall,120147691099.19092
AMZN,FY2021_Q3,main_all12_topall,120675894940.3248
AMZN,FY2021_Q4,main_all12_topall,138844300456.9733
AMZN,FY2022_Q1,main_all12_topall,120472550329.35793
AMZN,FY2022_Q2,main_all12_topall,124593948512.15125
AMZN,FY2022_Q3,main_all12_topall,131642352343.2634
AMZN,FY2022_Q4,main_all12_topall,149047778432.60654
AMZN,FY2023_Q1,main_all12_topall,127551023422.03716
AMZN,FY2023_Q2,main_all12_topall,134220136779.85466
AMZN,FY2023_Q3,main_all12_topall,142311235701.7281
AMZN,FY2023_Q4,main_all12_topall,163618867452.76248
AMZN,FY2024_Q1,main_all12_topall,145301205231.56363
AMZN,FY2024_Q2,main_all12_topall,150084170590.8703
AMZN,FY2024_Q3,main_all12_topall,156770925097.83505
AMZN,FY2024_Q4,main_all12_topall,183715497988.90903
AMZN,FY2025_Q1,main_all12_topall,164760945997.084
AMZN,FY2025_Q2,main_all12_topall,165869277955.5579
AMZN,FY2025_Q3,main_all12_topall,176950328888.74466
AMZN,FY2025_Q4,main_all12_topall,207309783978.1562
ASML,FY2019_Q1,main_all12_topall,2100000000.0
ASML,FY2019_Q2,main_all12_topall,2550000000.0
ASML,FY2019_Q3,main_all12_topall,3000000000.0
ASML,FY2019_Q4,main_all12_topall,3900000000.0
ASML,FY2020_Q1,main_all12_topall,3200000000.0
ASML,FY2020_Q2,main_all12_topall,2676873483.485739
ASML,FY2020_Q3,main_all12_topall,3700000000.0
ASML,FY2020_Q4,main_all12_topall,3700000000.0
ASML,FY2021_Q1,main_all12_topall,4000000000.0
ASML,FY2021_Q2,main_all12_topall,4050000000.0
ASML,FY2021_Q3,main_all12_topall,5317785888.569428
ASML,FY2021_Q4,main_all12_topall,5035749716.164115
ASML,FY2022_Q1,main_all12_topall,3423920923.733015
ASML,FY2022_Q2,main_all12_topall,5183242730.847527
ASML,FY2022_Q3,main_all12_topall,5278854249.244661
ASML,FY2022_Q4,main_all12_topall,6440565804.535939
ASML,FY2023_Q1,main_all12_topall,6372677688.30246
ASML,FY2023_Q2,main_all12_topall,6789256590.966916
ASML,FY2023_Q3,main_all12_topall,6756744673.36005
ASML,FY2023_Q4,main_all12_topall,7002161907.072471
ASML,FY2024_Q1,main_all12_topall,5234357347.489663
ASML,FY2024_Q2,main_all12_topall,6084516393.015172
ASML,FY2024_Q3,main_all12_topall,7009749156.780578
ASML,FY2024_Q4,main_all12_topall,9053386460.483736
ASML,FY2025_Q1,main_all12_topall,7974213875.99435
ASML,FY2025_Q2,main_all12_topall,7589908590.100515
ASML,FY2025_Q3,main_all12_topall,7642455438.433266
ASML,FY2025_Q4,main_all12_topall,9719245786.368143
AVGO,FY2019_Q1,main_all12_topall,5444000000.0
AVGO,FY2019_Q2,main_all12_topall,4844000000.0
AVGO,FY2019_Q3,main_all12_topall,5332249973.614797
AVGO,FY2019_Q4,main_all12_topall,5615812470.230438
AVGO,FY2020_Q1,main_all12_topall,5720494985.50088
AVGO,FY2020_Q2,main_all12_topall,5700000000.0
AVGO,FY2020_Q3,main_all12_topall,5750000000.0
AVGO,FY2020_Q4,main_all12_topall,6289768282.633173
AVGO,FY2021_Q1,main_all12_topall,5882785577.175968
AVGO,FY2021_Q2,main_all12_topall,6658620836.685612
AVGO,FY2021_Q3,main_all12_topall,6868850300.988088
AVGO,FY2021_Q4,main_all12_topall,7556686408.348088
AVGO,FY2022_Q1,main_all12_topall,7744729078.361199
AVGO,FY2022_Q2,main_all12_topall,8049335660.445376
AVGO,FY2022_Q3,main_all12_topall,8490924217.383145
AVGO,FY2022_Q4,main_all12_topall,9313360500.780554
AVGO,FY2023_Q1,main_all12_topall,9197717708.392012
AVGO,FY2023_Q2,main_all12_topall,9015180693.450878
AVGO,FY2023_Q3,main_all12_topall,8890656150.412958
AVGO,FY2023_Q4,main_all12_topall,9410156153.989958
AVGO,FY2024_Q1,main_all12_topall,9425576270.03546
AVGO,FY2024_Q2,main_all12_topall,12347748466.469095
AVGO,FY2024_Q3,main_all12_topall,12604670638.359535
AVGO,FY2024_Q4,main_all12_topall,14185267401.2447
AVGO,FY2025_Q1,main_all12_topall,14855395722.73761
AVGO,FY2025_Q2,main_all12_topall,15525639253.5823
AVGO,FY2025_Q3,main_all12_topall,15986552167.746548
AVGO,FY2025_Q4,main_all12_topall,17779799260.77248
GOOGL,FY2019_Q1,main_all12_topall,31146000000.0
GOOGL,FY2019_Q2,main_all12_topall,32657000000.0
GOOGL,FY2019_Q3,main_all12_topall,34444060803.98822
GOOGL,FY2019_Q4,main_all12_topall,39276000000.0
GOOGL,FY2020_Q1,main_all12_topall,43578084104.81218
GOOGL,FY2020_Q2,main_all12_topall,43380982724.19946
GOOGL,FY2020_Q3,main_all12_topall,39568524371.87263
GOOGL,FY2020_Q4,main_all12_topall,48571693296.55502
GOOGL,FY2021_Q1,main_all12_topall,52367550341.26417
GOOGL,FY2021_Q2,main_all12_topall,55314000000.0
GOOGL,FY2021_Q3,main_all12_topall,62436552357.12086
GOOGL,FY2021_Q4,main_all12_topall,70017849551.5122
GOOGL,FY2022_Q1,main_all12_topall,78446750724.41895
GOOGL,FY2022_Q2,main_all12_topall,67968611992.72174
GOOGL,FY2022_Q3,main_all12_topall,74025181793.01248
GOOGL,FY2022_Q4,main_all12_topall,69297939254.14828
GOOGL,FY2023_Q1,main_all12_topall,75814259217.41211
GOOGL,FY2023_Q2,main_all12_topall,75064515362.94821
GOOGL,FY2023_Q3,main_all12_topall,72644098290.30322
GOOGL,FY2023_Q4,main_all12_topall,78199153482.34225
GOOGL,FY2024_Q1,main_all12_topall,83226927553.66714
GOOGL,FY2024_Q2,main_all12_topall,83937344301.5011
GOOGL,FY2024_Q3,main_all12_topall,86225345031.12793
GOOGL,FY2024_Q4,main_all12_topall,88199831978.47537
GOOGL,FY2025_Q1,main_all12_topall,92798519086.4147
GOOGL,FY2025_Q2,main_all12_topall,93338769361.76602
GOOGL,FY2025_Q3,main_all12_topall,93938922601.92947
GOOGL,FY2025_Q4,main_all12_topall,111803430560.24544
INTC,FY2019_Q1,main_all12_topall,16000000000.0
INTC,FY2019_Q2,main_all12_topall,15600000000.0
INTC,FY2019_Q3,main_all12_topall,19163000000.0
INTC,FY2019_Q4,main_all12_topall,18657000000.0
INTC,FY2020_Q1,main_all12_topall,17155531069.877552
INTC,FY2020_Q2,main_all12_topall,18500000000.0
INTC,FY2020_Q3,main_all12_topall,18200000000.0
INTC,FY2020_Q4,main_all12_topall,18408743668.14761
INTC,FY2021_Q1,main_all12_topall,19227805038.85052
INTC,FY2021_Q2,main_all12_topall,20427800368.53603
INTC,FY2021_Q3,main_all12_topall,19591838826.96203
INTC,FY2021_Q4,main_all12_topall,19760973202.441235
INTC,FY2022_Q1,main_all12_topall,19684188353.071976
INTC,FY2022_Q2,main_all12_topall,19750658306.590027
INTC,FY2022_Q3,main_all12_topall,15452615502.663525
INTC,FY2022_Q4,main_all12_topall,15075812279.365696
INTC,FY2023_Q1,main_all12_topall,10870247942.476934
INTC,FY2023_Q2,main_all12_topall,11515631333.12059
INTC,FY2023_Q3,main_all12_topall,13287379002.390984
INTC,FY2023_Q4,main_all12_topall,14299310519.782528
INTC,FY2024_Q1,main_all12_topall,13142999020.092302
INTC,FY2024_Q2,main_all12_topall,13123291355.554943
INTC,FY2024_Q3,main_all12_topall,12833051450.00256
INTC,FY2024_Q4,main_all12_topall,13819704243.681423
INTC,FY2025_Q1,main_all12_topall,14017214017.38401
INTC,FY2025_Q2,main_all12_topall,12742335995.97777
INTC,FY2025_Q3,main_all12_topall,14031179876.388905
INTC,FY2025_Q4,main_all12_topall,14017856880.37978
META,FY2019_Q1,main_all12_topall,11966000000.0
META,FY2019_Q2,main_all12_topall,13231000000.0
META,FY2019_Q3,main_all12_topall,16531039599.115696
META,FY2019_Q4,main_all12_topall,19693387970.883217
META,FY2020_Q1,main_all12_topall,19292507638.045822
META,FY2020_Q2,main_all12_topall,20186527166.988045
META,FY2020_Q3,main_all12_topall,20057521090.595936
META,FY2020_Q4,main_all12_topall,24795793645.94484
META,FY2021_Q1,main_all12_topall,22623625753.099472
META,FY2021_Q2,main_all12_topall,31359454405.770912
META,FY2021_Q3,main_all12_topall,33996803213.422707
META,FY2021_Q4,main_all12_topall,33245901425.17916
META,FY2022_Q1,main_all12_topall,29006386814.708828
META,FY2022_Q2,main_all12_topall,29995017086.429527
META,FY2022_Q3,main_all12_topall,27981060338.46336
META,FY2022_Q4,main_all12_topall,31430827732.075348
META,FY2023_Q1,main_all12_topall,26981103786.131104
META,FY2023_Q2,main_all12_topall,31642422809.117325
META,FY2023_Q3,main_all12_topall,34276366149.046127
META,FY2023_Q4,main_all12_topall,40975851319.7452
META,FY2024_Q1,main_all12_topall,35635086609.55731
META,FY2024_Q2,main_all12_topall,38031447634.27526
META,FY2024_Q3,main_all12_topall,39669172330.37096
META,FY2024_Q4,main_all12_topall,46859774462.31646
META,FY2025_Q1,main_all12_topall,42148786858.51479
META,FY2025_Q2,main_all12_topall,44005918796.94164
META,FY2025_Q3,main_all12_topall,52826383150.7377
META,FY2025_Q4,main_all12_topall,58229689977.45254
MSFT,FY2019_Q1,main_all12_topall,24538000000.0
MSFT,FY2019_Q2,main_all12_topall,28918000000.0
MSFT,FY2019_Q3,main_all12_topall,26819000000.0
MSFT,FY2019_Q4,main_all12_topall,30085000000.0
MSFT,FY2020_Q1,main_all12_topall,32373686666.24543
MSFT,FY2020_Q2,main_all12_topall,36180376079.05621
MSFT,FY2020_Q3,main_all12_topall,35440467600.03326
MSFT,FY2020_Q4,main_all12_topall,36913302304.58495
MSFT,FY2021_Q1,main_all12_topall,37899358207.064354
